variable,date,value1,value2,value3,value4,value5,value6
NO3,  1 Aug 1990, 32.11823,17.90732,6.66513,4.47582,4.36696,4.50306
NO3,  2 Aug 1990, 22.38000,19.88324,8.60234,4.86998,4.39295,4.50774
NO3,  3 Aug 1990, 14.45866,18.54821,9.95295,5.46589,4.45636,4.51581
NO3,  4 Aug 1990, 8.93382,16.74014,10.99227,6.29347,4.62388,4.54024
NO3,  5 Aug 1990, 7.42296,15.67282,11.90667,7.31800,4.89680,4.58008
NO3,  6 Aug 1990, 6.52676,14.45768,12.30733,8.28886,5.24056,4.63560
NO3,  7 Aug 1990, 6.04565,13.43112,12.30253,9.05021,5.59411,4.69404
NO3,  8 Aug 1990, 5.55110,12.43399,11.99281,9.54147,5.92336,4.75866
NO3,  9 Aug 1990, 5.20583,11.95152,11.79174,9.91385,6.21390,4.81750
NO3, 10 Aug 1990, 4.75336,11.29019,11.42274,10.03702,6.40151,4.85486
NO3, 11 Aug 1990, 4.69973,10.78676,11.14053,10.09847,6.52874,4.87232
NO3, 12 Aug 1990, 4.15353,10.50003,10.91919,10.06235,6.58423,4.87164
NO3, 13 Aug 1990, 3.91647,10.31121,10.82313,10.06566,6.60289,4.85083
NO3, 14 Aug 1990, 3.55060,10.01903,10.69816,10.00865,6.58399,4.82214
NO3, 15 Aug 1990, 3.20586,9.79150,10.64024,9.96914,6.54824,4.77988
NO3, 16 Aug 1990, 3.03335,9.48013,10.57179,9.91680,6.49539,4.75404
NO3, 17 Aug 1990, 2.88342,9.21486,10.47941,9.78466,6.44427,4.73773
NO3, 18 Aug 1990, 2.58069,8.81534,10.29543,9.57673,6.37755,4.72521
NO3, 19 Aug 1990, 2.36058,8.72942,10.20968,9.46236,6.33444,4.71268
NO3, 20 Aug 1990, 1.97844,8.43124,10.10986,9.26469,6.27140,4.70021
NO3, 21 Aug 1990, 1.87150,8.37523,10.19103,9.23792,6.25270,4.68764
NO3, 22 Aug 1990, 1.52512,7.98237,10.05555,9.05017,6.19032,4.67519
NO3, 23 Aug 1990, 1.52271,7.81672,9.99394,8.99208,6.16521,4.66292
NO3, 24 Aug 1990, 1.30365,7.34862,9.71207,8.76531,6.08754,4.65056
NO3, 25 Aug 1990, 1.17824,7.06443,9.52525,8.61535,6.03504,4.63829
NO3, 26 Aug 1990, 1.03607,6.71520,9.29137,8.42532,5.97279,4.62628
NO3, 27 Aug 1990, 0.94534,6.49247,9.13461,8.29960,5.92884,4.61434
NO3, 28 Aug 1990, 0.80623,6.17060,8.91575,8.11957,5.87250,4.60251
NO3, 29 Aug 1990, 0.72894,5.95550,8.74741,7.98369,5.82430,4.59085
NO3, 30 Aug 1990, 0.60849,5.71669,8.56857,7.83712,5.77641,4.57919
NO3, 31 Aug 1990, 0.45819,5.45822,8.33398,7.62847,5.70293,4.56764
NO3,  1 Sep 1990, 0.32669,5.23434,8.19486,7.49494,5.66457,4.55627
NO3,  2 Sep 1990, 0.19442,4.92315,8.01042,7.32087,5.60574,4.54515
NO3,  3 Sep 1990, 0.10517,4.58835,7.81561,7.13464,5.53837,4.53428
NO3,  4 Sep 1990, 0.07495,4.23014,7.63174,6.96233,5.47607,4.52374
NO3,  5 Sep 1990, 0.04093,3.86512,7.44492,6.79597,5.41475,4.51333
NO3,  6 Sep 1990, 0.02507,3.54627,7.26190,6.63748,5.35540,4.50316
NO3,  7 Sep 1990, 0.01464,3.27163,7.08496,6.48610,5.29827,4.49316
NO3,  8 Sep 1990, 0.01639,3.03206,6.91516,6.34147,5.24321,4.48331
NO3,  9 Sep 1990, 0.00198,2.82100,6.75279,6.20331,5.19014,4.47362
NO3, 10 Sep 1990, 0.00966,2.63435,6.59721,6.07102,5.13889,4.46410
NO3, 11 Sep 1990, 0.00146,2.46859,6.44756,5.94373,5.08922,4.45472
NO3, 12 Sep 1990, 0.00286,2.30831,6.32167,5.82222,5.04126,4.44553
NO3, 13 Sep 1990, 0.00256,2.03043,6.32339,5.71316,4.99525,4.43659
NO3, 14 Sep 1990, 0.00243,1.70445,6.28184,5.62167,4.95170,4.42789
NO3, 15 Sep 1990, 0.00211,1.42023,6.13825,5.54587,4.91357,4.41942
NO3, 16 Sep 1990, 0.00594,1.19732,5.89953,5.46450,4.87252,4.41120
NO3, 17 Sep 1990, 0.00164,1.03827,5.63335,5.37992,4.83253,4.40314
NO3, 18 Sep 1990, 0.00222,0.91490,5.37847,5.29220,4.79325,4.39517
NO3, 19 Sep 1990, 0.00301,0.81325,5.14474,5.20270,4.75468,4.38731
NO3, 20 Sep 1990, 0.00355,0.72884,4.93495,5.11293,4.71694,4.37958
NO3, 21 Sep 1990, 0.00418,0.65495,4.74220,5.02388,4.68011,4.37201
NO3, 22 Sep 1990, 0.00441,0.58592,4.56363,4.93572,4.64408,4.36460
NO3, 23 Sep 1990, 0.00496,0.52494,4.39663,4.84812,4.60863,4.35735
NO3, 24 Sep 1990, 0.00557,0.47159,4.24269,4.76211,4.57395,4.35026
NO3, 25 Sep 1990, 0.00773,0.42350,4.09768,4.67708,4.53979,4.34331
NO3, 26 Sep 1990, 0.00718,0.38220,3.96352,4.59403,4.50641,4.33654
NO3, 27 Sep 1990, 0.01162,0.34721,3.84047,4.51370,4.47396,4.32997
NO3, 28 Sep 1990, 0.00318,0.31770,3.72776,4.43617,4.44243,4.32358
NO3, 29 Sep 1990, 0.00169,0.29358,3.62594,4.36195,4.41194,4.31734
NO3, 30 Sep 1990, 0.00062,0.27404,3.53423,4.29109,4.38250,4.31119
NO3,  1 Oct 1990, 0.00000,0.25717,3.44923,4.22259,4.35382,4.30513
NO3,  2 Oct 1990, 0.00000,0.24224,3.36938,4.15591,4.32569,4.29916
NO3,  3 Oct 1990, 0.00000,0.22908,3.29434,4.09104,4.29811,4.29328
NO3,  4 Oct 1990, 0.00000,0.21691,3.22228,4.02735,4.27089,4.28749
NO3,  5 Oct 1990, 0.00655,0.20614,3.15297,3.96477,4.24401,4.28181
NO3,  6 Oct 1990, 0.00602,0.19630,3.08778,3.90399,4.21768,4.27622
NO3,  7 Oct 1990, 0.00447,0.18713,3.02655,3.84528,4.19204,4.27072
NO3,  8 Oct 1990, 0.00618,0.16935,2.97029,3.78804,4.16685,4.26533
NO3,  9 Oct 1990, 0.00523,0.15346,2.91724,3.73283,4.14228,4.26002
NO3, 10 Oct 1990, 0.00465,0.13075,2.86493,3.67993,4.11826,4.25480
NO3, 11 Oct 1990, 0.00606,0.10417,2.80343,3.63007,4.09445,4.24970
NO3, 12 Oct 1990, 0.00594,0.07771,2.72634,3.58318,4.07109,4.24469
NO3, 13 Oct 1990, 0.00605,0.05538,2.62687,3.53711,4.04809,4.23978
NO3, 14 Oct 1990, 0.00642,0.03861,2.51629,3.49096,4.02540,4.23496
NO3, 15 Oct 1990, 0.00721,0.02555,2.40923,3.44472,4.00301,4.23025
NO3, 16 Oct 1990, 0.00694,0.01976,2.31184,3.39878,3.98100,4.22563
NO3, 17 Oct 1990, 0.00846,0.01795,2.22150,3.35298,3.95929,4.22114
NO3, 18 Oct 1990, 0.01019,0.01706,2.13706,3.30723,3.93782,4.21679
NO3, 19 Oct 1990, 0.00954,0.01687,2.05016,3.26452,3.91660,4.21264
NO3, 20 Oct 1990, 0.00743,0.01544,1.96695,3.22921,3.89591,4.20850
NO3, 21 Oct 1990, 0.00514,0.01142,1.77473,3.28467,3.87597,4.20437
NO3, 22 Oct 1990, 0.00430,0.00839,1.53552,3.35240,3.85686,4.20025
NO3, 23 Oct 1990, 0.00346,0.00580,1.31316,3.37267,3.83873,4.19614
NO3, 24 Oct 1990, 0.00429,0.00478,1.13730,3.32993,3.82120,4.19215
NO3, 25 Oct 1990, 0.00624,0.00505,1.01355,3.23511,3.80374,4.18835
NO3, 26 Oct 1990, 0.00983,0.01012,0.92024,3.11421,3.78603,4.18481
NO3, 27 Oct 1990, 0.01502,0.01414,0.84331,2.99347,3.76810,4.18156
NO3, 28 Oct 1990, 0.01619,0.01804,0.77772,2.87792,3.74999,4.17864
NO3, 29 Oct 1990, 0.01412,0.02218,0.72105,2.76816,3.73178,4.17605
NO3, 30 Oct 1990, 0.01348,0.02696,0.67158,2.66415,3.71351,4.17383
NO3, 31 Oct 1990, 0.00731,0.03114,0.62887,2.56734,3.69533,4.17186
NO3,  1 Nov 1990, 0.00222,0.03387,0.59248,2.47822,3.67732,4.16998
NO3,  2 Nov 1990, 0.00000,0.03434,0.56152,2.39665,3.65954,4.16808
NO3,  3 Nov 1990, 0.00000,0.03292,0.53518,2.32204,3.64198,4.16607
NO3,  4 Nov 1990, 0.02923,0.03256,0.51288,2.25147,3.62444,4.16459
NO3,  5 Nov 1990, 0.02636,0.03255,0.49338,2.18707,3.60718,4.16303
NO3,  6 Nov 1990, 0.02617,0.02905,0.47497,2.12676,3.59007,4.16150
NO3,  7 Nov 1990, 0.02658,0.02646,0.45616,2.06981,3.57310,4.16004
NO3,  8 Nov 1990, 0.03058,0.02595,0.43875,2.01557,3.55627,4.15881
NO3,  9 Nov 1990, 0.02934,0.02595,0.42313,1.96440,3.53963,4.15767
NO3, 10 Nov 1990, 0.02472,0.02537,0.40877,1.91664,3.52323,4.15640
NO3, 11 Nov 1990, 0.01863,0.02389,0.39556,1.87219,3.50710,4.15484
NO3, 12 Nov 1990, 0.01701,0.02259,0.38340,1.83010,3.49116,4.15322
NO3, 13 Nov 1990, 0.01308,0.02164,0.37221,1.79009,3.47541,4.15159
NO3, 14 Nov 1990, 0.01821,0.02150,0.36200,1.75139,3.45979,4.15029
NO3, 15 Nov 1990, 0.02782,0.02210,0.35272,1.71399,3.44430,4.14939
NO3, 16 Nov 1990, 0.03431,0.02295,0.34431,1.67808,3.42901,4.14874
NO3, 17 Nov 1990, 0.02610,0.02284,0.33655,1.64403,3.41395,4.14801
NO3, 18 Nov 1990, 0.01730,0.02181,0.32924,1.61200,3.39913,4.14700
NO3, 19 Nov 1990, 0.00350,0.02047,0.32230,1.58192,3.38458,4.14566
NO3, 20 Nov 1990, 0.00000,0.01848,0.31578,1.55323,3.37022,4.14426
NO3, 21 Nov 1990, 0.00000,0.01612,0.30969,1.52563,3.35603,4.14295
NO3, 22 Nov 1990, 0.00000,0.01411,0.30399,1.49912,3.34201,4.14171
NO3, 23 Nov 1990, 0.00000,0.01241,0.29867,1.47374,3.32823,4.14052
NO3, 24 Nov 1990, 0.00000,0.01095,0.29367,1.44944,3.31467,4.13937
NO3, 25 Nov 1990, 0.00000,0.00973,0.28895,1.42615,3.30135,4.13823
NO3, 26 Nov 1990, 0.00000,0.00875,0.28445,1.40380,3.28822,4.13708
NO3, 27 Nov 1990, 0.00000,0.00794,0.28018,1.38227,3.27527,4.13597
NO3, 28 Nov 1990, 0.00000,0.00725,0.27621,1.36148,3.26254,4.13502
NO3, 29 Nov 1990, 0.00000,0.00671,0.27252,1.34138,3.25002,4.13425
NO3, 30 Nov 1990, 0.00000,0.00635,0.26903,1.32198,3.23773,4.13364
NO3,  1 Dec 1990, 0.00000,0.00620,0.26567,1.30332,3.22572,4.13316
NO3,  2 Dec 1990, 0.00000,0.00616,0.26243,1.28527,3.21393,4.13294
NO3,  3 Dec 1990, 0.07072,0.02758,0.25984,1.26691,3.20216,4.13628
NO3,  4 Dec 1990, 0.07182,0.04276,0.26084,1.24995,3.19071,4.13908
NO3,  5 Dec 1990, 0.06995,0.04279,0.26204,1.23391,3.17955,4.14141
NO3,  6 Dec 1990, 0.07099,0.04256,0.26027,1.21828,3.16853,4.14352
NO3,  7 Dec 1990, 0.07890,0.04466,0.25734,1.20281,3.15765,4.14564
NO3,  8 Dec 1990, 0.07653,0.04749,0.25501,1.18756,3.14690,4.14765
NO3,  9 Dec 1990, 0.04907,0.04931,0.25340,1.17261,3.13630,4.14941
NO3, 10 Dec 1990, 0.06890,0.05311,0.25534,1.15789,3.12578,4.15247
NO3, 11 Dec 1990, 0.06564,0.05305,0.25727,1.14400,3.11545,4.15450
NO3, 12 Dec 1990, 0.03852,0.04379,0.25491,1.13067,3.10529,4.15566
NO3, 13 Dec 1990, 0.03106,0.03679,0.24863,1.11745,3.09528,4.15633
NO3, 14 Dec 1990, 0.02897,0.03284,0.24187,1.10421,3.08538,4.15680
NO3, 15 Dec 1990, 0.02820,0.03136,0.23680,1.09091,3.07558,4.15735
NO3, 16 Dec 1990, 0.02595,0.03227,0.23378,1.07754,3.06588,4.15818
NO3, 17 Dec 1990, 0.01792,0.03502,0.23277,1.06417,3.05626,4.15925
