Date       Tmax    Tmin    Rain    Evap    Radn    VP      RHmaxT  RHminT
()         (oC)    (oC)    (mm)    (mm)    (MJ/m2) (hPa)   (%)     (%)
  1/01/1980    19.5    17.5       2       3     7.4    17.1    75.5    85.6
  2/01/1980    18.3    14.7       0     1.8     6.7    13.1    62.3    78.4
  3/01/1980    24.6    14.5    30.2     2.6      11      16    51.7      97
  4/01/1980    27.3    16.2     3.6     6.4    15.8    19.4    53.5     100
  5/01/1980    29.5      16       0       9    30.7      16    38.8    88.1
  6/01/1980    25.5      17     8.8     6.8      19    17.1    52.4    88.3
  7/01/1980    21.1    14.2       0     3.2    11.5      14      56    86.5
  8/01/1980    24.2    11.4       0     7.6    28.4    11.5    38.1    85.4
  9/01/1980    26.1    12.1       0       5    29.4    11.5      34    81.5
 10/01/1980    24.6    15.3       0       8    23.9    13.1    42.4    75.4
 11/01/1980    32.6    11.7     1.6      15      27      15    30.5     100
 12/01/1980    17.7    10.6       2       6    22.9     7.1    35.1    55.6
 13/01/1980    20.3    11.4     6.6     4.4    11.6      14    58.8     100
 14/01/1980    22.4      10       0     2.8    18.8      14    51.7     100
 15/01/1980    28.3    10.2       0    11.4    31.3      14    36.4     100
 16/01/1980    25.7     9.8       0       8    31.6     8.7    26.4    71.9
 17/01/1980    28.8     9.7       0    10.2    28.7    13.1    33.1     100
 18/01/1980    33.8    13.2       0      16    22.8     5.3    10.1      35
 19/01/1980    25.2    16.6       0      12    28.4     8.7    27.1    46.1
 20/01/1980    23.4    11.9       0     3.4    21.6    10.7    37.2    76.8
 21/01/1980    27.1    11.7       0     9.8    28.1    13.1    36.5    95.3
 22/01/1980      29      15       0    13.2    26.6      14      35    82.1
 23/01/1980    30.4    16.8       0      11    29.1     8.7      20    45.5
 24/01/1980    30.1    12.8       0     9.6    28.3    13.1    30.7    88.7
 25/01/1980    30.7    14.7     5.8      13    21.5      15      34    89.7
 26/01/1980    23.6    14.2       0    11.6    28.7    11.5    39.5    71.1
 27/01/1980    23.3     9.8       0       6    25.1    13.1    45.8     100
 28/01/1980    33.4    13.4       0      13    25.6      16    31.1     100
 29/01/1980    31.2    18.3       0    12.6    26.7      16    35.2    76.1
 30/01/1980    29.6    16.3       0      12    23.4     7.6    18.3      41
 31/01/1980    33.5    10.2    13.4     9.4    25.4     8.1    15.7    65.1
  1/02/1980    24.3    13.7    16.2     1.6    10.6      22    72.4     100
  2/02/1980      29    18.1    18.6    10.6    21.1    20.6    51.4    99.2
  3/02/1980      25    18.1       0       8    22.6    17.1      54    82.4
  4/02/1980    26.6    10.6       0       8    25.4    13.1    37.6     100
  5/02/1980    29.4      14       0       7    22.9    17.1    41.7     100
  6/02/1980      28    10.8       0      10    28.8    11.5    30.4    88.8
  7/02/1980    23.3    11.5       0     4.4    21.2      10      35    73.7
  8/02/1980    26.6     8.4       0    13.2    29.4      10    28.7    90.8
  9/02/1980    23.7     7.6       0       8    29.2     7.6    25.9    72.9
 10/02/1980    20.8     8.3       0     6.2    27.1     8.7    35.4    79.5
 11/02/1980    28.6     8.4       0       6    26.4    12.3    31.4     100
 12/02/1980    29.3      11       0     7.2    22.2    11.5    28.2    87.7
 13/02/1980    31.7    10.4       0     4.4    26.9      16    34.2     100
 14/02/1980    29.4    14.6       0     6.8    27.6      14    34.2    84.3
 15/02/1980    32.6    10.3       0       8    27.8      14    28.5     100
 16/02/1980    34.3    12.7       0      12    27.9     9.4    17.4    64.1
 17/02/1980    33.6    11.4       0     5.2    24.1    12.3    23.6    91.3
 18/02/1980    32.8    14.4       0     6.6    19.8    17.1    34.4     100
 19/02/1980    33.4    17.5       0    10.6    24.7    17.1    33.2    85.6
 20/02/1980    35.9    16.3       0      12    19.6    18.2    30.8    98.3
 21/02/1980    34.4    19.4       0    10.8    21.5      14    25.7    62.2
 22/02/1980    25.3      19       0     8.4    21.1    17.1      53    77.9
 23/02/1980    24.4    16.2       0     5.6    16.6      15    49.1    81.5
 24/02/1980    27.2    11.6       0     9.8    25.7      15    41.6     100
 25/02/1980      27     7.6       0       8    27.1     8.1    22.7    77.6
 26/02/1980    27.3     9.7       0       7    21.9    12.3    33.9     100
 27/02/1980    29.8    12.9     6.8     6.6    14.5      14    33.4    94.2
 28/02/1980    29.6      13     2.2       5    23.7      15    36.2     100
 29/02/1980    27.4    11.8     0.4     5.2      22      14    38.4     100
  1/03/1980    27.4    14.7       0     6.4    18.9      14    38.4    83.8
  2/03/1980    26.2    13.6       0       8    17.6      15    44.1    96.4
  3/03/1980    30.3      18       0      12    24.6      15    34.8    72.7
  4/03/1980    31.7    10.4       0    10.2    23.4     8.1    17.3    64.3
  5/03/1980    31.8    13.1       0     7.6    17.8      15    31.9    99.6
  6/03/1980    27.6    17.1       0     4.8    13.8    19.4    52.5    99.5
  7/03/1980    29.2    14.8     1.6     6.8    18.7    17.1    42.2     100
  8/03/1980      26    12.3     7.6     3.6    11.3      16    47.6     100
  9/03/1980    16.4     9.1       0     4.2     6.8     9.4    50.4    81.4
 10/03/1980    19.2       8       0     5.2    21.4     8.1    36.4    75.6
 11/03/1980    21.6     5.5       0       4      21     8.1    31.4    89.7
 12/03/1980    21.5     7.3       0       4    20.5      10      39    97.8
 13/03/1980    24.4     5.6       0       8    22.3    11.5    37.6     100
 14/03/1980      24     9.4       0     6.4    20.7     8.7    29.2    73.8
 15/03/1980    26.6     9.6       0       8    23.3      10    28.7    83.7
 16/03/1980    28.5       7       0       8    22.9    11.5    29.6     100
 17/03/1980    29.6    13.4       0       7    21.4      15    36.2    97.6
 18/03/1980      32     9.2       0    11.6    21.3    12.3    25.9     100
 19/03/1980    33.6    10.7       0       8    21.9     8.1    15.6      63
 20/03/1980      28    13.7       0       8    19.7      14      37    89.4
 21/03/1980    32.6    11.1       0     9.2    20.5      15    30.5     100
 22/03/1980    31.7    13.8       0     5.4    17.3      16    34.2     100
 23/03/1980    29.6    13.4       0       8    19.8      14    33.8    91.1
 24/03/1980    29.5    11.3       0       8    19.6      15    36.4     100
 25/03/1980    26.9    10.7       0     5.8      20      14    39.5     100
 26/03/1980    29.4    12.6       0     5.2    17.9      16      39     100
 27/03/1980    29.4    15.7       0     7.6    14.8    17.1    41.7    95.9
 28/03/1980    26.7    14.2       0       8    19.6      16    45.7    98.9
 29/03/1980    24.5     5.7       0      10    20.8     8.7    28.3      95
 30/03/1980    22.3    11.2       0       8    18.7     8.7    32.3    65.4
 31/03/1980    23.6       5       0       4    20.3     8.7    29.9    99.8
  1/04/1980    27.1       6       0     7.2    20.3     8.1    22.6    86.7
  2/04/1980    23.9     8.6       0     8.6    19.8      10    33.7    89.6
  3/04/1980    26.1     9.8       0      10    17.7     8.1      24    66.9
  4/04/1980    23.4     3.6       0     4.2    19.6     8.7    30.2     100
  5/04/1980    24.9       3       0     5.8    19.6     8.7    27.6     100
  6/04/1980    22.1     8.3       0     3.8    13.4    12.3    46.3     100
  7/04/1980    20.3       4       0     5.6    19.3     8.1      34    99.7
  8/04/1980    21.7     2.6       0       4    19.1     8.1    31.2     100
  9/04/1980    21.8     1.4       0     3.2    18.2     8.1      31     100
 10/04/1980    22.8     2.4       0       4    18.2     8.1    29.2     100
 11/04/1980    24.6     4.2       0     2.4    16.5      10    32.3     100
 12/04/1980    26.5     4.3       0       4    16.1    10.7    30.9     100
 13/04/1980    27.1     4.4       0       8      16     8.1    22.6    96.9
 14/04/1980    26.6     5.9       0       4    17.7      10    28.7     100
 15/04/1980    25.2     7.8       0     3.4    15.9      14    43.7     100
 16/04/1980      25     8.7     0.2     4.2    13.9    13.1    41.4     100
 17/04/1980    23.7    11.6     0.6     0.8    13.3      16    54.6     100
 18/04/1980    22.7    11.4       0       3    11.9    13.1    47.5    97.2
 19/04/1980      21    11.9       0     1.6     4.4    13.1    52.7    94.1
 20/04/1980      21    14.5       0       3       9    13.1    52.7    79.4
 21/04/1980    21.6     4.8       0     2.4    13.8    10.7    41.5     100
 22/04/1980    23.8     6.4       0     4.6    13.8    12.1    41.1     100
 23/04/1980    25.8     9.6     0.2     4.4     7.7    10.7    32.2    89.6
 24/04/1980      18    11.5       0     5.4      15    11.5    55.8    84.8
 25/04/1980    19.5     4.2       0     2.4    11.4      10    44.1     100
 26/04/1980    21.3       6       0       4    14.1    10.7    42.3     100
 27/04/1980    15.5     5.6       0       4    14.1     7.1    40.3    78.1
 28/04/1980    16.6    -2.6       0       4    15.9     6.1    32.3     100
 29/04/1980    19.6    -0.8       0     1.6    14.7     7.1    31.1     100
 30/04/1980    16.7     4.4       0     4.4    12.9     8.7    45.8     100
  1/05/1980    16.6     2.9       0       2     7.9     9.4    49.8     100
  2/05/1980      17     8.9       0       4    10.5     9.4    48.5    82.5
  3/05/1980    18.4     7.5       0       4     9.3    11.5    54.4     100
  4/05/1980    19.4     9.5       0       2    10.5    12.3    54.6     100
  5/05/1980    19.8      10       0       2    10.8    11.5    49.8    93.7
  6/05/1980    21.4     6.6       0     1.6    13.6    11.5    45.1     100
  7/05/1980    19.9       6       0       2     7.1    12.3      53     100
  8/05/1980    19.4    11.7       0       4     6.3      14    62.2     100
  9/05/1980    19.5    12.7       4     2.2     6.2    12.3    54.3    83.8
 10/05/1980    20.8    13.6     5.6     3.8     5.6    17.1    69.6     100
 11/05/1980    19.8    13.6     8.4     6.4    11.6      14    60.7    89.9
 12/05/1980    15.7     9.7       0       2    11.7     8.7    48.8    72.3
 13/05/1980    17.5     4.3       0     1.4      11     9.4      47     100
 14/05/1980    17.9     5.8       0       1    12.5      10    48.8     100
 15/05/1980    15.7     3.8       0     1.8     9.3     9.4    52.7     100
 16/05/1980    17.9     7.3       0     4.6    10.3    11.5    56.1     100
 17/05/1980    17.3     9.7       0     3.2    12.8     6.1    30.9    50.7
 18/05/1980    14.8    -0.8       0     3.4    13.1     7.1    42.2     100
 19/05/1980    13.3    -2.4       0     3.2    12.5     6.6    43.2     100
 20/05/1980    12.3     2.7       0     2.8    10.7     7.1    49.7    95.8
 21/05/1980    11.8    -3.3       0       2      13     5.3    38.3     100
 22/05/1980    14.5    -3.3       0       4    11.6     6.1      37     100
 23/05/1980      14     1.8       0     1.2    11.5     7.6    47.6     100
 24/05/1980    14.9      -3       0     1.8     9.8     6.1      36     100
 25/05/1980    15.8    -0.7       0     1.4     7.2     7.6    42.4     100
 26/05/1980      16     4.3       0     0.6     4.8     8.7    47.9     100
 27/05/1980    13.2     5.4    20.8     2.2     3.1    11.3    74.5     100
 28/05/1980      15     9.1     5.4     1.2     3.3    14.8    86.8     100
 29/05/1980      15    11.3       0     2.2     5.3    11.5    67.5    85.9
 30/05/1980    13.3     9.8       0     1.8     6.8    10.7    70.1    88.4
 31/05/1980    13.3     8.8     0.6     0.6     3.8      10    65.5    88.4
  1/06/1980    15.2     8.1       0       2     8.7    10.7      62    99.1
  2/06/1980    13.6       3       0       3      10     8.7    55.9     100
  3/06/1980    11.4    -0.5       0     2.2     9.3     6.6      49     100
  4/06/1980    12.7     4.9       0     1.6     6.5     7.1    48.4      82
  5/06/1980    12.3     2.1     0.2     1.4     9.8     7.6    53.2     100
  6/06/1980    11.5    -0.3       0     0.8     9.3     6.1      45     100
  7/06/1980    13.6     0.5       0     1.2     8.9     6.6    42.4     100
  8/06/1980      14    -0.4       0       2     9.5     6.6    41.3     100
  9/06/1980    13.7     2.2     4.8       1     8.4     7.1    45.3    99.2
 10/06/1980    12.5     6.2       0     2.2     7.8     8.7    60.1    91.8
 11/06/1980    10.6    -2.6       0     2.4    10.5     5.7    44.6     100
 12/06/1980    12.2    -2.8       0     0.8     9.2     5.3    37.3     100
 13/06/1980    14.2       0       0       1     9.6     6.6    40.8     100
 14/06/1980    13.6     1.3       0       1     8.5     6.1    39.2    90.9
 15/06/1980    13.6     2.9       1     1.8     3.7     9.4    60.4     100
 16/06/1980    14.4     7.7     0.2       2    10.4    10.7    65.3     100
 17/06/1980    11.5     1.3       0     1.4     8.6     8.7    64.2     100
 18/06/1980    12.2    -1.2       0     1.8    11.5     6.1      43     100
 19/06/1980    13.6     2.9       0       2    10.9     7.1    45.6    94.4
 20/06/1980    12.6       0       0     2.6    10.5     7.1    48.7     100
 21/06/1980      13      -3       0     0.6    11.5     5.3    35.4     100
 22/06/1980    12.7    -2.2       0     0.8     9.6     6.1    41.6     100
 23/06/1980    12.5      -1       0     1.8       6     6.1    42.1     100
 24/06/1980    14.3     0.2       0     1.4    10.4     7.1    43.6     100
 25/06/1980    12.7    -4.6       0     0.8    10.9     4.9    33.4     100
 26/06/1980    14.6    -3.7       0     0.8    10.2     5.3    31.9     100
 27/06/1980    11.6    -1.6      20       6     3.3     7.1      52     100
 28/06/1980     6.4     2.5       4     3.6     4.9     7.1    73.9    97.1
 29/06/1980     9.9     3.2     0.2     1.6     7.3     7.6    62.4    98.9
 30/06/1980    11.2     5.7       0       2     9.6     8.1    60.9    88.5
  1/07/1980     8.5       4     0.8     2.6     5.3     7.6    68.5    93.5
  2/07/1980     7.7     2.3     0.4     0.6       4     7.6    72.4     100
  3/07/1980     8.2       2       6       4    10.7     6.6    60.7    93.6
  4/07/1980     8.4       3       0     1.6     9.6     6.1    55.4    80.5
  5/07/1980    12.6     3.8       0     1.6     9.9     6.6    45.3    82.3
  6/07/1980    10.1     2.5       0       2    11.3     7.6    61.5     100
  7/07/1980    11.7    -1.3       0     2.8     9.9     8.1    58.9     100
  8/07/1980    10.4       5       0     1.6    10.6     7.1    56.3    81.4
  9/07/1980    10.9    -1.7       0     1.6       9     5.7    43.7     100
 10/07/1980    10.4    -4.6       0       1    11.9     4.9    38.9     100
 11/07/1980     7.4    -5.6       0       1     5.3     4.5    43.7     100
 12/07/1980    11.9    -2.1       0     0.8    11.6     6.1    43.8     100
 13/07/1980      13    -3.2     0.8     0.8     7.2     5.7    38.1     100
 14/07/1980      13    -0.4       0       1     7.2     8.7    58.1     100
 15/07/1980      13       1       0     1.6     8.4     7.6    50.8     100
 16/07/1980    13.9    -2.2       0       1    11.5     6.1    38.4     100
 17/07/1980    12.4    -1.4       0       3    10.1     6.6    45.9     100
 18/07/1980    12.9     1.2       0     2.2    11.5     8.7    58.5     100
 19/07/1980    10.3    -3.8       0     1.6      11     5.7    45.5     100
 20/07/1980    10.6      -2     0.2     1.2    10.4     7.1    55.6     100
 21/07/1980    11.7     1.5       0       2    12.2     7.1    51.7     100
 22/07/1980    11.7    -3.6       0     2.8     7.5     4.9    35.7     100
 23/07/1980    12.7    -3.7       0     0.8    11.2     6.6      45     100
 24/07/1980    13.6     2.7       0     1.8     7.1     8.1      52     100
