Date	Block	T1Drain	T2Drain	T3Drain	T4Drain	T5Drain	T6Drain	T7Drain	T8Drain	T9Drain	T1CumDrain	T2CumDrain	T3CumDrain	T4CumDrain	T5CumDrain	T6CumDrain	T7CumDrain	T8CumDrain	T9CumDrain	T1NH4	T2NH4	T3NH4	T4NH4	T5NH4	T6NH4	T7NH4	T8NH4	T9NH4	T1CumNH4	T2CumNH4	T3CumNH4	T4CumNH4	T5CumNH4	T6CumNH4	T7CumNH4	T8CumNH4	T9CumNH4	T1NO3	T2NO3	T3NO3	T4NO3	T5NO3	T6NO3	T7NO3	T8NO3	T9NO3	T1CumNO3	T2CumNO3	T3CumNO3	T4CumNO3	T5CumNO3	T6CumNO3	T7CumNO3	T8CumNO3	T9CumNO3	T1MinN	T2MinN	T3MinN	T4MinN	T5MinN	T6MinN	T7MinN	T8MinN	T9MinN	T1CumMinN	T2CumMinN	T3CumMinN	T4CumMinN	T5CumMinN	T6CumMinN	T7CumMinN	T8CumMinN	T9CumMinN
()	()	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)
28/03/2011	1	29.166	29.962	13.310	17.606	76.628	12.568	0.000	0.000	7.636	29.166	29.962	13.310	17.606	76.628	12.568	0.000	0.000	7.636	0.102	0.035	-0.009	0.011	0.082	0.011	0.000	0.000	0.734	0.102	0.035	-0.009	0.011	0.082	0.011	0.000	0.000	0.734	0.425	0.216	0.037	0.022	0.456	0.012	0.000	0.000	-0.004	0.425	0.216	0.037	0.022	0.456	0.012	0.000	0.000	-0.004	1.807	0.836	0.213	0.187	0.703	0.186	0.000	0.000	9.549	1.807	0.836	0.213	0.187	0.703	0.186	0.000	0.000	9.549
29/04/2011	1	68.832	68.567	77.953	70.635	86.597	80.446	50.378	64.643	48.310	97.999	98.529	91.264	88.241	163.225	93.014	50.378	64.643	55.946	0.040	0.011	0.022	0.130	0.184	0.087	0.054	0.048	0.002	0.142	0.046	0.013	0.141	0.266	0.098	0.054	0.048	0.735	0.210	0.289	0.104	0.089	0.396	0.090	0.187	0.638	0.068	0.635	0.505	0.141	0.111	0.852	0.102	0.187	0.638	0.064	0.363	0.438	0.161	0.311	0.670	0.219	0.478	1.061	0.145	2.170	1.274	0.375	0.498	1.372	0.405	0.478	1.061	9.694
23/05/2011	1	26.462	38.287	31.128	28.000	37.863	22.803	11.242	35.318	16.121	124.460	136.816	122.392	116.241	201.088	115.817	61.620	99.961	72.067	0.046	0.117	0.077	-0.017	0.059	-0.012	0.042	0.081	0.035	0.188	0.163	0.090	0.124	0.325	0.086	0.096	0.130	0.770	0.043	0.265	0.027	0.179	0.314	0.059	0.002	0.227	0.009	0.678	0.770	0.169	0.290	1.165	0.161	0.189	0.865	0.072	0.337	0.996	0.334	0.580	0.983	0.208	0.390	0.873	0.269	2.507	2.270	0.709	1.078	2.355	0.613	0.868	1.934	9.964
30/05/2011	1	72.757	72.173	74.878	73.499	75.037	73.340	56.954	74.931	67.666	197.217	208.989	197.270	189.740	276.125	189.156	118.574	174.891	139.733	-0.034	0.043	-0.136	0.016	0.084	0.299	0.005	-0.094	-0.084	0.154	0.206	-0.046	0.140	0.409	0.385	0.100	0.035	0.686	0.157	0.212	0.191	0.421	0.759	3.935	0.162	0.590	0.102	0.835	0.982	0.359	0.711	1.925	4.096	0.351	1.454	0.174	0.168	0.353	0.073	0.594	1.123	5.773	0.292	0.661	0.026	2.675	2.624	0.782	1.672	3.478	6.386	1.161	2.595	9.990
13/06/2011	1	72.650	69.469	73.817	69.575	68.514	69.257	44.121	71.166	65.067	269.867	278.458	271.087	259.315	344.639	258.413	162.695	246.057	204.800	0.091	0.072	-0.089	-0.030	-0.002	0.204	-0.021	-0.103	-0.006	0.245	0.278	-0.135	0.110	0.406	0.589	0.080	-0.068	0.681	0.043	18.552	0.134	0.522	4.059	0.173	0.043	2.155	0.010	0.877	19.533	0.493	1.233	5.984	4.269	0.394	3.609	0.184	0.184	26.808	0.060	0.708	5.921	0.545	0.051	2.882	0.007	2.860	29.432	0.843	2.379	9.399	6.931	1.211	5.477	9.997
24/06/2011	1	58.704	54.196	60.984	55.257	58.067	56.476	44.810	54.780	52.340	328.571	332.654	332.071	314.571	402.706	314.889	207.505	300.837	257.140	-0.007	0.016	-0.001	0.041	-0.086	-0.114	-0.028	0.136	0.186	0.238	0.293	-0.136	0.151	0.320	0.475	0.052	0.068	0.866	-0.055	42.106	0.266	0.264	14.861	0.086	0.104	4.010	0.282	0.822	61.639	0.759	1.498	20.845	4.355	0.498	7.619	0.466	-0.107	77.721	0.435	0.552	25.445	-0.050	0.171	7.569	0.893	2.753	107.153	1.277	2.932	34.844	6.881	1.382	13.046	10.889
8/07/2011	1	56.848	53.772	60.772	55.840	53.348	56.583	48.469	54.620	51.439	385.419	386.426	392.843	370.411	456.054	371.472	255.974	355.457	308.579	-0.014	0.128	0.096	0.138	0.151	0.053	-0.016	0.241	0.064	0.223	0.421	-0.041	0.290	0.471	0.528	0.036	0.309	0.930	0.026	92.036	0.215	0.136	36.939	0.081	0.182	25.007	0.045	0.849	153.675	0.974	1.634	57.783	4.437	0.680	32.626	0.510	0.021	171.397	0.511	0.492	69.523	0.237	0.343	46.224	0.212	2.774	278.550	1.788	3.423	104.368	7.119	1.725	59.270	11.101
14/07/2011	1	70.901	71.749	74.400	71.961	72.226	74.241	56.583	71.696	70.317	456.319	458.175	467.243	442.373	528.280	445.713	312.556	427.153	378.896	0.044	0.075	-0.041	-0.068	0.195	0.063	0.222	0.467	-0.028	0.267	0.496	-0.082	0.222	0.666	0.591	0.258	0.775	0.902	-0.027	143.144	0.248	0.108	87.227	0.560	1.002	125.099	0.534	0.821	296.819	1.222	1.742	145.010	4.996	1.682	157.725	1.045	0.023	199.612	0.277	0.056	121.039	0.838	2.163	175.136	0.720	2.797	478.162	2.066	3.479	225.407	7.957	3.888	234.406	11.821
8/08/2011	1	34.363	31.181	38.606	32.825	31.500	32.772	25.931	33.780	27.575	490.682	489.357	505.849	475.198	559.780	478.486	338.488	460.933	406.472	-0.062	0.040	0.021	-0.068	0.082	-0.054	0.033	0.362	-0.056	0.205	0.537	-0.061	0.153	0.748	0.537	0.291	1.137	0.847	-0.017	55.361	0.078	0.108	50.808	0.056	1.239	81.117	0.224	0.805	352.180	1.300	1.850	195.818	5.052	2.921	238.842	1.269	-0.229	177.673	0.256	0.121	161.558	0.007	4.906	241.205	0.610	2.569	655.835	2.321	3.600	386.965	7.963	8.794	475.611	12.431
