Date	Block	T1Herbage	T2Herbage	T3Herbage	T4Herbage	T5Herbage	T6Herbage	T7Herbage	T8Herbage	T9Herbage	T1CumHerbage	T2CumHerbage	T3CumHerbage	T4CumHerbage	T5CumHerbage	T6CumHerbage	T7CumHerbage	T8CumHerbage	T9CumHerbage	T1HerbageN	T2HerbageN	T3HerbageN	T4HerbageN	T5HerbageN	T6HerbageN	T7HerbageN	T8HerbageN	T9HerbageN	T1HarvestedN	T2HarvestedN	T3HarvestedN	T4HarvestedN	T5HarvestedN	T6HarvestedN	T7HarvestedN	T8HarvestedN	T9HarvestedN	T1CumHarvestedN	T2CumHarvestedN	T3CumHarvestedN	T4CumHarvestedN	T5CumHarvestedN	T6CumHarvestedN	T7CumHarvestedN	T8CumHarvestedN	T9CumHarvestedN	T1StandingDM	T2StandingDM	T3StandingDM	T4StandingDM	T5StandingDM	T6StandingDM	T7StandingDM	T8StandingDM	T9StandingDM
()	()	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)	(kgha)
23/03/2011	1	658.892	1007.296	966.994	883.737	1425.169	1695.090	1595.394	2232.279	2060.994	658.892	1007.296	966.994	883.737	1425.169	1695.090	1595.394	2232.279	2060.994	3.004	2.730	2.660	2.300	2.945	2.363	2.993	2.872	2.943	19.796	27.498	25.718	20.330	41.976	40.047	47.754	64.108	60.647	19.796	27.498	25.718	20.330	41.976	40.047	47.754	64.108	60.647	2258.892	2607.296	2566.994	2483.737	3025.169	3295.090	3195.394	3832.279	3660.994
11/04/2011	1	511.205	509.084	458.706	532.417	597.643	712.187	609.310	907.866	911.048	1170.097	1516.380	1425.700	1416.154	2022.812	2407.277	2204.704	3140.145	2972.041	3.283	3.684	3.379	4.596	4.493	4.209	5.320	5.118	4.986	16.782	18.754	15.500	24.468	26.854	29.974	32.416	46.468	45.426	36.579	46.252	41.218	44.798	68.830	70.021	80.170	110.576	106.073	2111.205	2109.084	2058.706	2132.417	2197.643	2312.187	2209.310	2507.866	2511.048
29/04/2011	1	174.467	419.994	330.374	324.541	349.465	355.828	573.780	590.219	590.749	1344.564	1936.374	1756.074	1740.695	2372.277	2763.105	2778.483	3730.364	3562.790	4.043	3.890	3.878	4.184	3.835	3.929	4.455	4.127	4.001	7.053	16.339	12.810	13.579	13.401	13.980	25.562	24.361	23.635	43.632	62.591	54.029	58.376	82.231	84.001	105.731	134.937	129.709	1774.467	2019.994	1930.374	1924.541	1949.465	1955.828	2173.780	2190.219	2190.749
31/05/2011	1	418.668	1502.062	523.137	930.403	1272.444	1171.688	1218.354	1694.559	1471.305	1763.233	3438.436	2279.210	2671.099	3644.721	3934.793	3996.837	5424.923	5034.095	3.073	5.040	3.223	3.298	5.001	3.250	3.910	4.801	3.282	12.864	75.704	16.860	30.682	63.641	38.077	47.641	81.350	48.282	56.496	138.296	70.888	89.059	145.872	122.078	153.373	216.287	177.991	2018.668	3102.062	2123.137	2530.403	2872.444	2771.688	2818.354	3294.559	3071.305
27/06/2011	1	301.473	973.357	227.232	636.089	905.480	613.287	959.570	1064.568	931.464	2064.706	4411.794	2506.442	3307.188	4550.201	4548.080	4956.407	6489.491	5965.559	3.240	4.214	3.374	3.581	4.259	3.649	3.771	4.145	4.077	9.767	41.019	7.666	22.779	38.561	22.380	36.190	44.126	37.972	66.262	179.315	78.555	111.837	184.433	144.458	189.563	260.413	215.963	1901.473	2573.357	1827.232	2236.089	2505.480	2213.287	2559.570	2664.568	2531.464
28/07/2011	1	96.249	642.983	369.351	262.761	455.259	543.818	405.411	798.890	603.741	2160.954	5054.777	2875.793	3569.949	5005.459	5091.898	5361.818	7288.382	6569.301	3.128	3.914	2.959	3.448	4.156	3.341	4.110	3.800	3.528	3.011	25.169	10.929	9.060	18.920	18.168	16.662	30.354	21.299	69.273	204.484	89.484	120.897	203.353	162.627	206.225	290.767	237.262	1696.249	2242.983	1969.351	1862.761	2055.259	2143.818	2005.411	2398.890	2203.741
6/09/2011	1	139.733	1199.263	316.852	141.854	272.837	154.581	102.612	760.709	119.051	2300.687	6254.040	3192.644	3711.803	5278.296	5246.479	5464.430	8049.091	6688.352	2.454	3.795	4.958	3.197	4.193	5.497	3.906	4.487	5.359	3.430	45.510	15.710	4.536	11.441	8.498	4.008	34.136	6.380	72.703	249.993	105.194	125.433	214.794	171.124	210.233	324.903	243.642	1739.733	2799.263	1916.852	1741.854	1872.837	1754.581	1702.612	2360.709	1719.051
28/09/2011	1	292.193	1812.550	1870.352	370.146	978.926	1825.277	624.688	1245.134	1817.323	2592.880	8066.590	5062.996	4081.950	6257.222	7071.756	6089.118	9294.224	8505.675	2.440	3.335	5.619	2.565	3.954	5.588	3.203	3.736	5.736	7.130	60.447	105.094	9.495	38.705	101.995	20.012	46.522	104.234	79.833	310.440	210.288	134.928	253.499	273.119	230.245	371.426	347.876	1892.193	3412.550	3470.352	1970.146	2578.926	3425.277	2224.688	2845.134	3417.323
16/10/2011	1	70.794	1015.251	1730.619	672.680	1804.861	2059.403	1346.685	1865.845	2765.226	2663.674	9081.841	6793.616	4754.630	8062.083	9131.159	7435.804	11160.069	11270.901	3.094	3.456	4.995	3.125	3.979	5.147	3.200	3.891	4.978	2.190	35.086	86.444	21.020	71.810	105.989	43.099	72.595	137.645	82.023	345.525	296.732	155.948	325.310	379.109	273.344	444.021	485.521	1670.794	2615.251	3330.619	2272.680	3404.861	3659.403	2946.685	3465.845	4365.226
