Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),()
28/10/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.20421600,0.15399800,0.19485900,0.19304300,0.19399500,0.19200700,0.19207300,0.20894100,21.07881200,14.24680600,7.01830100,14.63285800,14.62186500,14.61847500,6.21885800,6.21515400,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
02/11/1985,5,3.00000000,1.24600000,0.18627900,0.12460000,0.06167900,0.06230000,0.06230000,0.00000000,0.00000000,0.00558200,0.00123400,0.00402500,0.00155800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00236700,0.00000000,30.60270100,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.37134700,1.00000000,1.00000000,0.00118300,0.00118300,0.07286500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,124.99336000,0.00093500,0.00000000,0.00093500,0.50000000,0.16650200,0.17733800,0.19174900,0.19312400,0.19397000,0.19204700,0.19242400,0.20865400,23.09393300,17.72094900,7.92170800,16.79152500,16.74001500,16.71481500,8.30486500,8.26094600,0.00186900,0.00093500,0.00000000,0.60716200,0.97673400,1.00000000
02/11/1985,5,3.00000000,1.24600000,0.18627900,0.12460000,0.06167900,0.06230000,0.06230000,0.00000000,0.00000000,0.00558200,0.00123400,0.00402500,0.00155800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00236700,0.00000000,30.60270100,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.37134700,1.00000000,1.00000000,0.00118300,0.00118300,0.07286500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,124.99336000,0.00093500,0.00000000,0.00093500,0.50000000,0.16650200,0.17733800,0.19174900,0.19312400,0.19397000,0.19204700,0.19242400,0.20865400,23.09393300,17.72094900,7.92170800,16.79152500,16.74001500,16.71481500,8.30486500,8.26094600,0.00186900,0.00093500,0.00000000,0.60716200,0.97673400,1.00000000
03/11/1985,6,3.29632800,1.59634000,0.25235700,0.15963000,0.09659000,0.09330900,0.06245900,0.00000000,0.00000000,0.01110700,0.00123100,0.00925800,0.00146600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69032800,0.00767800,0.00031800,30.43382300,1.20572400,1.00000000,0.00000000,12.32432800,0.51071700,0.25000000,12.23729200,1.00000000,1.00000000,0.00383200,0.00399000,0.09210100,0.00367500,0.00015900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00383400,144.87483100,0.00552500,0.00054100,0.00498500,0.52573000,0.16505400,0.17750900,0.19127300,0.19312100,0.19396500,0.19205500,0.19249200,0.20859900,23.52851900,17.91070600,8.01858200,17.05448900,17.00144000,16.97508400,8.56397900,8.51262700,0.01051000,0.00552500,0.03503400,0.84148700,0.88441000,1.00000000
03/11/1985,6,3.29632800,1.59634000,0.25235700,0.15963000,0.09659000,0.09330900,0.06245900,0.00000000,0.00000000,0.01110700,0.00123100,0.00925800,0.00146600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69032800,0.00767800,0.00031800,30.43382300,1.20572400,1.00000000,0.00000000,12.32432800,0.51071700,0.25000000,12.23729200,1.00000000,1.00000000,0.00383200,0.00399000,0.09210100,0.00367500,0.00015900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00383400,144.87483100,0.00552500,0.00054100,0.00498500,0.52573000,0.16505400,0.17750900,0.19127300,0.19312100,0.19396500,0.19205500,0.19249200,0.20859900,23.52851900,17.91070600,8.01858200,17.05448900,17.00144000,16.97508400,8.56397900,8.51262700,0.01051000,0.00552500,0.03503400,0.84148700,0.88441000,1.00000000
04/11/1985,7,3.54228800,2.71544600,0.47598600,0.27154000,0.20830800,0.20425700,0.06342100,0.00000000,0.00000000,0.01940300,0.00177300,0.01732600,0.00169300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87859400,0.01359700,0.00031800,30.26262100,1.27427800,1.00000000,0.00000000,21.82437100,0.51071700,0.25063700,12.29797900,1.00000000,1.00000000,0.00677500,0.00693300,0.11790800,0.01080800,0.00189000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01269800,164.82662300,0.00883900,0.00177200,0.00706700,0.55571300,0.16358600,0.17760200,0.19083100,0.19311300,0.19396000,0.19206400,0.19255900,0.20854400,23.86941100,18.04000100,8.09262300,17.27116400,17.21921000,17.19312900,8.78089800,8.72450800,0.01590600,0.00883900,0.11191100,1.03913200,0.90696500,1.00000000
04/11/1985,7,3.54228800,2.71544600,0.47598600,0.27154000,0.20830800,0.20425700,0.06342100,0.00000000,0.00000000,0.01940300,0.00177300,0.01732600,0.00169300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87859400,0.01359700,0.00031800,30.26262100,1.27427800,1.00000000,0.00000000,21.82437100,0.51071700,0.25063700,12.29797900,1.00000000,1.00000000,0.00677500,0.00693300,0.11790800,0.01080800,0.00189000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01269800,164.82662300,0.00883900,0.00177200,0.00706700,0.55571300,0.16358600,0.17760200,0.19083100,0.19311300,0.19396000,0.19206400,0.19255900,0.20854400,23.86941100,18.04000100,8.09262300,17.27116400,17.21921000,17.19312900,8.78089800,8.72450800,0.01590600,0.00883900,0.11191100,1.03913200,0.90696500,1.00000000
05/11/1985,8,3.80284900,4.98168500,0.92881700,0.49817000,0.43451500,0.42774100,0.06656100,0.00000000,0.00000000,0.03024300,0.00346000,0.02785700,0.00200200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06779400,0.02032500,0.00031800,30.08403800,1.37062200,1.00000000,0.00000000,32.62360200,0.51071700,0.25449800,13.02804900,1.00000000,1.00000000,0.01011100,0.01026800,0.15614500,0.02095000,0.00884100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02979000,184.75751300,0.01253100,0.00402900,0.00850200,0.59577900,0.16206300,0.17757500,0.19041800,0.19310000,0.19395600,0.19207200,0.19262600,0.20848900,24.13077900,18.11099200,8.14776600,17.44880500,17.39998400,17.37266500,8.96227600,8.90253700,0.02103300,0.01253100,0.22662400,1.18784100,0.93168900,1.00000000
05/11/1985,8,3.80284900,4.98168500,0.92881700,0.49817000,0.43451500,0.42774100,0.06656100,0.00000000,0.00000000,0.03024300,0.00346000,0.02785700,0.00200200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06779400,0.02032500,0.00031800,30.08403800,1.37062200,1.00000000,0.00000000,32.62360200,0.51071700,0.25449800,13.02804900,1.00000000,1.00000000,0.01011100,0.01026800,0.15614500,0.02095000,0.00884100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02979000,184.75751300,0.01253100,0.00402900,0.00850200,0.59577900,0.16206300,0.17757500,0.19041800,0.19310000,0.19395600,0.19207200,0.19262600,0.20848900,24.13077900,18.11099200,8.14776600,17.44880500,17.39998400,17.37266500,8.96227600,8.90253700,0.02103300,0.01253100,0.22662400,1.18784100,0.93168900,1.00000000
06/11/1985,9,4.00000000,6.99231400,1.33007300,0.69923000,0.63470900,0.62471600,0.07064800,0.00000000,0.00000000,0.04172600,0.00522700,0.03916500,0.00217700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.26822600,0.02838000,0.00031800,31.81081000,1.38000700,1.00000000,0.00000000,45.55441700,0.51071700,0.26709800,11.88313200,1.00000000,1.00000000,0.01409000,0.01424700,0.31738400,0.01123800,0.00486400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01610300,205.03848700,0.01325700,0.00202300,0.01123400,0.54130000,0.17937600,0.17804100,0.19004400,0.19308400,0.19395100,0.19208100,0.19269100,0.20843500,24.26254700,18.20316500,8.18613600,17.58976900,17.54626300,17.52043000,9.11377700,9.05001600,0.02449100,0.01325700,0.20106300,3.96297500,0.93372700,1.00000000
06/11/1985,9,4.00000000,6.99231400,1.33007300,0.69923000,0.63470900,0.62471600,0.07064800,0.00000000,0.00000000,0.04172600,0.00522700,0.03916500,0.00217700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.26822600,0.02838000,0.00031800,31.81081000,1.38000700,1.00000000,0.00000000,45.55441700,0.51071700,0.26709800,11.88313200,1.00000000,1.00000000,0.01409000,0.01424700,0.31738400,0.01123800,0.00486400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01610300,205.03848700,0.01325700,0.00202300,0.01123400,0.54130000,0.17937600,0.17804100,0.19004400,0.19308400,0.19395100,0.19208100,0.19269100,0.20843500,24.26254700,18.20316500,8.18613600,17.58976900,17.54626300,17.52043000,9.11377700,9.05001600,0.02449100,0.01325700,0.20106300,3.96297500,0.93372700,1.00000000
