Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sw_uptake(10),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress,AccumTT,GrainTempFactor
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),(),(oCd),()
28/10/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.21991800,0.19341500,0.19756700,0.18812300,0.18701800,0.19001000,0.19606100,0.21294500,0.21992400,0.20406700,20.17323900,15.12706500,7.04436000,14.64127900,14.43069500,14.61282700,6.21836700,6.21440100,7.22460400,7.23426200,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
06/11/1985,9,4.00000000,2.34468200,0.44649800,0.23447000,0.21282200,0.20997900,0.02369700,0.00000000,0.00000000,0.01381600,0.00173600,0.01302100,0.00071600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.26822600,0.00951200,0.00006400,55.01116800,1.36891900,1.00000000,0.00000000,45.51299300,0.30577600,0.26709300,11.88313200,1.00000000,1.00000000,0.00474500,0.00477700,0.84007900,0.00267000,0.00246200,0.00025900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00539000,271.22112500,0.00446700,0.00056600,0.00390200,0.53378400,0.19362500,0.20128000,0.20135400,0.18965700,0.18721100,0.19010900,0.19657700,0.21247000,0.21926900,0.20464800,24.36608500,17.80162200,8.85000700,17.73170300,16.81321900,17.34679000,9.11881300,9.05372200,11.46436200,11.50551900,0.00836900,0.00446700,0.06730100,10.48953900,0.93131300,1.00000000,107.93772900,1.00000000
07/11/1985,10,4.12895800,3.66116200,0.70936900,0.36612000,0.34404400,0.33788300,0.02744100,0.00000000,0.00000000,0.01856800,0.00283000,0.01765100,0.00083900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.45104300,0.01231400,0.00006400,53.03824000,1.43343400,1.00000000,0.00000000,58.91925900,0.30577600,0.28345900,11.60866700,1.00000000,1.00000000,0.00613800,0.00617000,0.81413100,0.00509000,0.00776000,0.00188500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01473500,293.03504600,0.00585000,0.00149000,0.00436000,0.57298400,0.17510100,0.19995400,0.20101800,0.18981100,0.18723500,0.19012200,0.19663100,0.21242000,0.21919800,0.20471000,24.65376700,17.75591500,8.87256900,17.85457800,16.96310000,17.47302100,9.24050200,9.17189200,11.64561000,11.69432300,0.01021000,0.00585000,0.13164800,7.27380700,0.94425600,1.00000000,119.54639500,1.00000000
08/11/1985,11,4.24491800,5.19593800,1.01556000,0.51959000,0.49683400,0.48562000,0.03310600,0.00000000,0.00000000,0.02398400,0.00429700,0.02288800,0.00101500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.62963800,0.01538300,0.00006600,52.77963300,1.48786700,1.00000000,0.00000000,73.60309300,0.31731100,0.32824500,12.25993700,1.00000000,1.00000000,0.00766200,0.00769500,0.93395500,0.00471300,0.00794200,0.00361900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01627300,314.61488800,0.00688900,0.00234800,0.00454000,0.60273400,0.17376200,0.19874100,0.20062000,0.18995600,0.18726100,0.19013400,0.19668400,0.21236900,0.21912900,0.20477200,54.53725400,17.70899400,8.88046600,17.95377200,17.09765100,17.58044400,9.34030500,9.26862200,11.79551400,11.85245500,0.01142900,0.00688900,0.15347800,8.80839500,0.95330700,1.00000000,131.80633300,1.00000000
09/11/1985,12,4.35815300,7.19905700,1.40886000,0.71991000,0.69615200,0.67036700,0.04234100,0.00000000,0.00000000,0.02992100,0.00616200,0.02838300,0.00124300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81825200,0.01883000,0.00024400,52.52400400,1.50731700,1.00000000,0.00000000,90.09697900,1.16799800,0.39600000,11.97189500,1.00000000,1.00000000,0.00937100,0.00949200,1.01766600,0.00496100,0.00880500,0.00565800,0.00001200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01943600,324.09819100,0.00781000,0.00272500,0.00508500,0.60567600,0.17241900,0.19761100,0.20017300,0.19009300,0.18728600,0.19014600,0.19673600,0.21231900,0.21906000,0.20483400,58.58315700,17.65300900,8.87740900,18.03307300,17.21839100,17.67181800,9.42182200,9.34738500,11.91902900,11.98470200,0.01289500,0.00781000,0.20031200,10.48822900,0.95617900,1.00000000,143.77822800,1.00000000
10/11/1985,13,4.47559500,10.29717300,2.01930700,1.02972000,1.00457100,0.95481100,0.05992400,0.00000000,0.00000000,0.03749500,0.00918700,0.03518700,0.00178200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00243500,0.02261900,0.00042900,57.79155000,1.55561600,1.00000000,0.00000000,108.22548800,2.05028600,0.50647200,12.41663900,1.00000000,1.00000000,0.01124600,0.01145800,1.46395900,0.01381200,0.01337900,0.00780600,0.00005500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.03505100,333.66580100,0.01061200,0.00549900,0.00511300,0.67483900,0.21197100,0.20971200,0.20069300,0.19023600,0.18731300,0.19015900,0.19678800,0.21227000,0.21899100,0.20489500,58.96059400,20.41645200,8.96368200,18.09890600,17.32671000,17.74950400,9.48902000,9.41198300,12.02148000,12.09600400,0.01572500,0.01061200,0.30981200,12.93958700,0.96258500,1.00000000,156.19486700,1.00000000
11/11/1985,14,4.59382500,14.31891000,2.81257900,1.43189000,1.40473600,1.32056500,0.08727800,0.00000000,0.00000000,0.04592100,0.01303200,0.04260200,0.00255600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.19346100,0.02703700,0.00061400,53.50922400,1.57568900,1.00000000,0.00000000,129.36409800,2.93849600,0.71680000,12.49997200,1.00000000,1.00000000,0.01342800,0.01373000,1.14401200,0.01005900,0.02147100,0.01400000,0.00021700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04574700,343.31815500,0.01228900,0.00636900,0.00592000,0.67487200,0.17134500,0.20690100,0.20085300,0.19038000,0.18734000,0.19017200,0.19683900,0.21222100,0.21892300,0.20495600,61.87662100,20.17032200,9.01093700,18.15392100,17.42385100,17.81551700,9.54488300,9.46520700,12.10680400,12.19017700,0.01821000,0.01228900,0.40217400,10.05733500,0.96496900,1.00000000,168.69483900,1.00000000
12/11/1985,15,4.71256100,18.49423900,3.63497400,1.84942000,1.81945900,1.69461900,0.12089500,0.00000000,0.00000000,0.05591900,0.01744800,0.05119800,0.00371600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.38576800,0.03203800,0.00080100,61.90552700,1.59805400,1.00000000,0.00000000,153.29098400,3.83050300,1.04399400,12.55341000,1.00000000,1.00000000,0.01589100,0.01628500,1.83308900,0.02152900,0.02158000,0.01183600,0.00031200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05525700,353.08669500,0.01444000,0.00845400,0.00598600,0.70694700,0.22905900,0.22927100,0.20417900,0.19057700,0.18736700,0.19018500,0.19688900,0.21217200,0.21885500,0.20501700,58.63701600,25.24925400,9.41816300,18.20723900,17.51096900,17.87157600,9.59222700,9.50987600,12.17911100,12.27103500,0.02042600,0.01444000,0.41753300,13.85117300,0.96745000,1.00000000,181.24824800,1.00000000
13/11/1985,16,4.81495600,24.28716900,4.78049500,2.42872000,2.39511400,2.21010900,0.17527300,0.00000000,0.00000000,0.06788700,0.02331400,0.06107900,0.00559100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.57889700,0.03769800,0.00096100,57.12831100,1.62024100,1.00000000,0.00000000,180.37182900,4.59975400,1.44611800,10.82583400,1.00000000,1.00000000,0.01867200,0.01914400,1.46898000,0.01985000,0.03580500,0.02279000,0.00094700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.07939200,362.98689200,0.01786900,0.01157600,0.00629200,0.73956600,0.18571200,0.22245400,0.20581800,0.19080000,0.18739600,0.19019800,0.19693800,0.21212300,0.21878800,0.20507700,60.89386700,24.52090300,9.64295200,18.25478000,17.58910400,17.91915900,9.63069800,9.54569800,12.23815500,12.33874900,0.02416100,0.01786900,0.57929300,10.71857700,0.96973900,1.00000000,192.07408200,1.00000000
14/11/1985,17,4.93011100,31.19691000,6.14584900,3.11969000,3.08129700,2.81467200,0.24988000,0.00000000,0.00000000,0.08061700,0.03046700,0.07079900,0.00835800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.74544800,0.04311400,0.00114200,56.68544400,1.64215800,1.00000000,0.00000000,206.28527000,5.46485700,2.09656400,12.17478500,1.00000000,1.00000000,0.02132600,0.02188500,1.45135200,0.02342000,0.04041500,0.02852200,0.00177400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.09413100,373.02271000,0.01992900,0.01384200,0.00608700,0.76602300,0.18490300,0.21748900,0.20648900,0.19103000,0.18742600,0.19021100,0.19698700,0.21207500,0.21872100,0.20513600,62.68871700,23.99440400,9.76683700,18.29728900,17.65918000,17.95952200,9.66259300,9.57491600,12.28715900,12.39630400,0.02601600,0.01992900,0.69097400,10.65371000,0.97184500,1.00000000,204.24886700,1.00000000
15/11/1985,18,5.00000000,39.07930500,7.17564500,3.90793000,3.33525400,3.49542300,0.32880300,0.01616500,0.00000000,0.09675300,0.03463900,0.08293700,0.01198500,0.00013100,0.00000000,0.00000000,0.00000000,0.00000000,2.93275300,0.04983500,0.00131900,56.24229400,1.66423900,1.00000000,0.00000000,238.44429600,6.31078000,2.98899100,11.90485400,1.00000000,1.00000000,0.02461000,0.02525300,1.43326700,0.02807900,0.04741000,0.03595100,0.00322200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.11466200,383.18937500,0.02037000,0.01691200,0.00345800,0.85489000,0.18359200,0.21360300,0.20653500,0.19125300,0.18745600,0.19022500,0.19703600,0.21202800,0.21865500,0.20519600,64.10433200,23.59418500,9.82860300,18.33489000,17.72202500,17.99374000,9.68875600,9.59839400,12.32743700,12.44505300,0.02382700,0.02037000,0.78823900,9.85297700,0.97382100,1.00000000,216.15372100,1.00000000
