ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
format = csv
precision = 8
Title = Maize_Exp1 2ND Yr3_2
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
13/01/2001,10,4.00000000,26.89978700,5.25388600,2.68998000,2.61241900,2.47201400,0.16945200,0.00000000,0.00000000,0.07889500,0.02155800,0.07474900,0.00333300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.05727800,0.05105400,0.00106500,250.14108300,1.46412100,1.00000000,0.00000000,72.93425500,1.52071900,0.42392400,18.66647800,1.00000000,1.00000000,0.02520400,0.02572300,1.91822600,0.09657800,0.21644600,0.00015900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.31318300,343.24122700,0.02832300,0.00717000,0.02115300,0.57246100,0.30903300,0.42209600,0.45719500,0.44000000,0.40000000,0.41000000,0.38000000,18.76132200,9.36252700,13.88755600,14.91702200,10.57905500,10.24423900,10.23724100,0.04947600,0.02832300
14/01/2001,11,4.17843800,38.18988800,7.47407900,3.81899000,3.73620500,3.48767500,0.25020000,0.00000000,0.00000000,0.10330200,0.03143900,0.09759500,0.00438800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.34445500,0.06623000,0.00168400,249.25858700,1.47358500,1.00000000,0.00000000,94.61383800,2.40514500,0.60518700,18.92000000,1.00000000,1.00000000,0.03257300,0.03338700,2.28425300,0.07483600,0.19870900,0.00448700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.27803200,376.24122700,0.03433100,0.00604500,0.02828600,0.54827000,0.30580200,0.42036700,0.45685100,0.44000000,0.40000000,0.41000000,0.38000000,18.66417500,9.17370400,13.85114500,14.92775000,10.59250400,10.25318000,10.24634500,0.06261700,0.03433100
15/01/2001,12,4.31126300,53.54934300,10.50362900,5.35493000,5.26467800,4.84907500,0.38987600,0.00000000,0.00000000,0.13551500,0.04508000,0.12708700,0.00659400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.63553100,0.08461900,0.00229200,248.43918200,1.50186900,1.00000000,0.00000000,120.88421500,3.27440000,0.89357000,18.59547600,1.00000000,1.00000000,0.04142700,0.04252500,2.68755600,0.11368200,0.34105100,0.02823400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.48296700,409.24122700,0.04591600,0.00992100,0.03599400,0.56056300,0.30247000,0.41773400,0.45641900,0.44000000,0.40000000,0.41000000,0.38000000,18.53823100,8.94087900,13.77450600,14.93842700,10.60549000,10.26098200,10.25406700,0.08191000,0.04591600
16/01/2001,13,4.44340500,65.02308700,12.75455000,6.50231000,6.40152300,5.83438100,0.51864600,0.00000000,0.00000000,0.17082500,0.05698400,0.15953600,0.00891500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.92161600,0.10606800,0.00289700,247.43904100,1.50409100,1.00000000,0.00000000,151.52624100,4.13919200,1.39241600,18.50000100,1.00000000,1.00000000,0.05165200,0.05302500,3.12356800,0.04406300,0.15605300,0.02918700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.22930300,442.24122700,0.04730400,0.00433900,0.04296500,0.52403600,0.29972100,0.41640400,0.45597000,0.44000000,0.40000000,0.41000000,0.38000000,18.43314200,8.72006700,13.65263700,14.94877200,10.61770300,10.26768000,10.26048200,0.09026900,0.04730400
17/01/2001,14,4.58716500,88.75850700,17.44939300,8.87585000,8.76226200,7.84933200,0.83780000,0.00000000,0.00000000,0.21876300,0.07652300,0.20135900,0.01443000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.20623100,0.13107600,0.00355600,246.71376400,1.53620700,1.00000000,0.00000000,187.25101900,5.08000800,1.85230700,20.12633500,1.00000000,1.00000000,0.06343600,0.06510000,3.62951500,0.10035000,0.40764800,0.14145300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.64945100,475.24122700,0.06759100,0.01126000,0.05633000,0.54543300,0.29671900,0.41342400,0.45514300,0.44000000,0.40000000,0.41000000,0.38000000,18.28449200,8.42464200,13.44777400,14.95921900,10.62964700,10.27372400,10.26603500,0.12392100,0.06759100
18/01/2001,15,4.72566500,114.42661700,22.52663800,11.44266000,11.31154800,9.97274200,1.24234700,0.00000000,0.00000000,0.27757800,0.09950400,0.25221000,0.02180400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.51586700,0.16285600,0.00419000,245.58714700,1.54867400,1.00000000,0.00000000,232.65076900,5.98640400,2.99214200,19.38999900,1.00000000,1.00000000,0.07820100,0.08013000,4.17809600,0.07488400,0.33277300,0.19754500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.60520200,508.24122700,0.08195000,0.00957500,0.07237500,0.53102400,0.29396500,0.41100800,0.45412000,0.44000000,0.40000000,0.41000000,0.38000000,18.12431700,8.09917800,13.14109600,14.96920900,10.64080800,10.27905500,10.27075200,0.15432400,0.08195000
19/01/2001,16,4.84605800,147.20657800,29.02500400,14.72066000,14.56692100,12.61370700,1.84437600,0.00000000,0.00000000,0.34951800,0.12812800,0.31159200,0.03382900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.81417500,0.19875100,0.00474200,244.52159100,1.56774700,1.00000000,0.00000000,283.93059800,6.77430000,4.43695500,16.85500000,1.00000000,1.00000000,0.09459800,0.09674200,4.85567500,0.05958200,0.28274400,0.26441500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.60674100,541.24122700,0.10076200,0.00874000,0.09202200,0.52266900,0.29139100,0.40896600,0.45287100,0.44000000,0.40000000,0.41000000,0.38000000,17.94699300,7.73300000,12.70406200,14.97891000,10.65143100,10.28392100,10.27490600,0.19278400,0.10076200
20/01/2001,17,4.97312900,183.74980900,36.26615300,18.37498000,18.19211100,15.46465600,2.60938600,0.00000000,0.00000000,0.43182400,0.16176800,0.37445700,0.05267300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.07348200,0.23465700,0.00532400,243.46963500,1.59576700,1.00000000,0.00000000,335.22370600,7.60590300,6.58705700,17.79000000,1.00000000,1.00000000,0.11070700,0.11307100,5.67664400,0.05613500,0.28527000,0.38396300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.72536800,574.24122700,0.11620300,0.00951700,0.10668600,0.52134900,0.28891300,0.40693100,0.45122600,0.44000000,0.40000000,0.41000000,0.38000000,17.76127800,7.34251500,12.14462900,14.98824500,10.66150100,10.28841200,10.27862600,0.22288800,0.11620300
21/01/2001,18,5.00000000,235.25339400,46.48564800,23.52534000,23.30608500,19.37555500,3.80400800,0.00000000,0.00000000,0.53427600,0.20612600,0.44845500,0.08045600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.34717500,0.27728800,0.00596600,242.31280900,1.61728800,1.00000000,0.00000000,396.12591100,8.52259000,9.31923600,18.28999900,1.00000000,1.00000000,0.12946200,0.13205500,6.62363900,0.06197000,0.33855400,0.61778100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,1.01830500,607.24122700,0.14713300,0.01218500,0.13494900,0.52159800,0.28646000,0.40455300,0.44880900,0.44000000,0.40000000,0.41000000,0.38000000,17.54399300,6.88248500,11.37788200,14.99789300,10.67172600,10.29287100,10.28221100,0.28208200,0.14713300
22/01/2001,19,5.05984200,293.25362800,54.05241200,29.32536000,25.17348000,23.59057900,5.03601400,0.25233900,0.00000000,0.65582500,0.23819000,0.53239300,0.11532200,0.00125700,0.00000000,0.00000000,0.00000000,0.00000000,4.62855900,0.32589900,0.00735600,240.87559100,1.63361300,1.00000000,0.00000000,465.56978200,10.50905500,13.58574300,18.85850100,1.00000000,1.00000000,0.15036600,0.15348500,7.52569100,0.07957500,0.46966100,1.08209400,0.00009100,-0.00000000,-0.00000000,-0.00000000,1.63142100,640.24122700,0.15402500,0.01776200,0.13626300,0.53059400,0.28394100,0.40130400,0.44485800,0.44000000,0.40000000,0.41000000,0.38000000,17.33412200,6.43342400,10.54906500,14.98243600,10.68188800,10.29724500,10.28565100,0.29028900,0.15402500
