Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress,AccumTT,GrainTempFactor
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),(),(oCd),()
16/12/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.17009400,0.21887800,0.24712600,0.27267500,0.22181900,0.19911300,0.18508000,0.19498100,21.42798600,13.97535700,7.14450000,14.32449400,14.72203300,14.63670300,5.89181900,6.22103700,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
25/12/1985,8,3.77741400,1.72953400,0.32323700,0.17295000,0.15028300,0.14934300,0.02361000,0.00000000,0.00000000,0.01015900,0.00117800,0.00946000,0.00069900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04011900,0.00695200,0.00000000,57.40787100,1.36065700,1.00000000,0.00000000,31.31620800,0.00000000,0.25393800,12.66210400,1.00000000,1.00000000,0.00347000,0.00347000,0.57973700,0.00492000,0.00624200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01116100,232.13942100,0.00420900,0.00119100,0.00301900,0.58235100,0.18188500,0.22436900,0.23778500,0.24953100,0.22923200,0.20056400,0.18580900,0.19482700,28.31045500,15.24020000,8.02901600,16.06244100,18.16989100,17.78659600,7.90050800,9.19594000,0.00722800,0.00420900,0.08079100,4.19636700,0.92945800,1.00000000,96.43807000,1.00000000
26/12/1985,9,4.00000000,2.75749600,0.52852900,0.27575000,0.25277900,0.25015500,0.02559500,0.00000000,0.00000000,0.01452400,0.00207500,0.01372100,0.00080300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.23492000,0.00967100,0.00000000,57.16857700,1.41881700,1.00000000,0.00000000,43.56106800,0.00000000,0.26587800,11.90182300,1.00000000,1.00000000,0.00482400,0.00482400,0.79427200,0.00660100,0.00987200,0.00048800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01696000,265.13942100,0.00526300,0.00171800,0.00354600,0.59749200,0.18291500,0.22347500,0.23666300,0.24820200,0.22957500,0.20075200,0.18589200,0.19481100,28.60957500,15.10766200,8.00000700,16.06662200,18.28079600,17.90025500,8.06333300,9.30481600,0.00880900,0.00526300,0.10279600,4.81405200,0.94154900,1.00000000,108.33989200,1.00000000
27/12/1985,10,4.12542800,4.34308100,0.84514000,0.43431000,0.41083200,0.40443100,0.02987700,0.00000000,0.00000000,0.01928800,0.00342600,0.01835800,0.00093000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41802500,0.01256700,0.00000000,75.87842600,1.46078700,1.00000000,0.00000000,56.60758700,0.00000000,0.28823100,12.57695100,1.00000000,1.00000000,0.00626400,0.00626400,1.83293300,0.01220000,0.01151700,0.00306200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02677900,298.13942100,0.00612000,0.00191900,0.00420100,0.59294800,0.24437100,0.25406300,0.27941200,0.27235600,0.23124900,0.20095900,0.18597500,0.19479600,20.11329700,17.19453600,12.15825800,18.27862200,18.47470900,18.00202400,8.21584600,9.39472600,0.01032100,0.00612000,0.15855800,10.85298000,0.94899900,1.00000000,120.91684300,1.00000000
28/12/1985,11,4.24323300,6.43832300,1.26072400,0.64383000,0.61953400,0.60391600,0.03727400,0.00000000,0.00000000,0.02459200,0.00521700,0.02342500,0.00108500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.61151700,0.01593500,0.00007000,71.15067500,1.47003200,1.00000000,0.00000000,71.77885200,0.31409300,0.33645200,12.53801400,1.00000000,1.00000000,0.00793600,0.00797000,1.97219400,0.00687200,0.01110900,0.00743600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02541700,331.13942100,0.00710100,0.00176100,0.00534100,0.57075200,0.20658600,0.24988900,0.27224400,0.27142400,0.23281800,0.20118500,0.18605900,0.19478000,20.77310800,16.71570000,11.88296100,18.29436100,18.63936800,18.08795000,8.35854700,9.46754200,0.01244200,0.00710100,0.20952400,16.25767900,0.95051200,1.00000000,133.45485700,1.00000000
29/12/1985,12,4.34949600,9.00055200,1.76435200,0.90006000,0.87451800,0.84099600,0.04883800,0.00000000,0.00000000,0.03074100,0.00752000,0.02911400,0.00133600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.80440900,0.01962500,0.00024700,70.39684900,1.48348300,1.00000000,0.00000000,88.40286600,1.11076900,0.41975300,11.30970000,1.00000000,1.00000000,0.00976500,0.00988700,2.21649500,0.00750900,0.01217500,0.01076100,0.00022100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.03066600,364.13942100,0.00846300,0.00205300,0.00641000,0.56901100,0.20776900,0.24987800,0.26500500,0.26900000,0.23416700,0.20142900,0.18614400,0.19476600,21.35650600,16.48148900,11.52143900,18.17730300,18.77475400,18.16041000,8.49193000,9.52648900,0.01487300,0.00846300,0.25622300,18.51950600,0.95263400,1.00000000,144.76455700,1.00000000
30/12/1985,13,4.45270600,11.89689000,2.33374200,1.18969000,1.16240300,1.10629900,0.06504100,0.00000000,0.00000000,0.03746300,0.01022800,0.03522900,0.00173800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.97840500,0.02338100,0.00041800,69.71111500,1.50672900,1.00000000,0.00000000,105.31923200,1.88455500,0.54997700,10.98475300,1.00000000,1.00000000,0.01162200,0.01182900,2.38191200,0.00778500,0.01228600,0.01181400,0.00136900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.03325500,397.13942100,0.00944600,0.00217300,0.00727300,0.56499200,0.20962500,0.24987700,0.25883000,0.26626700,0.23528900,0.20168700,0.18622900,0.19475100,21.91453000,16.24857300,11.19688900,18.02439500,18.88285400,18.22118400,8.61648100,9.57419000,0.01671900,0.00944600,0.28963400,20.74496300,0.95609500,1.00000000,155.74931100,1.00000000
31/12/1985,14,4.55746700,15.95769100,3.13420000,1.59577000,1.56615800,1.47599700,0.09204500,0.00000000,0.00000000,0.04522700,0.01392300,0.04208400,0.00243000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.14740100,0.02744300,0.00059300,69.07763900,1.53351400,1.00000000,0.00000000,123.61760800,2.66997000,0.73244000,11.14984400,1.00000000,1.00000000,0.01362800,0.01392000,2.55642000,0.01133300,0.01684800,0.01662300,0.00548000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05028300,430.13942100,0.01147800,0.00319000,0.00828800,0.58069400,0.21190700,0.24689900,0.25547500,0.26377100,0.23621800,0.20195600,0.18631500,0.19473700,22.44195600,15.88547100,11.00026800,17.87522100,18.96958900,18.27362300,8.73267500,9.61276700,0.01976700,0.01147800,0.40608000,20.64540200,0.95977700,1.00000000,166.89915500,1.00000000
01/01/1986,15,4.64992700,20.24992000,3.98056600,2.02499000,1.99224900,1.86303900,0.12527900,0.00000000,0.00000000,0.05320800,0.01774900,0.04914700,0.00316000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.31893700,0.03204300,0.00074700,68.47014600,1.53379700,1.00000000,0.00000000,144.33584100,3.36315700,1.03654000,9.84057000,1.00000000,1.00000000,0.01589400,0.01626100,2.79965200,0.00508800,0.00720300,0.00712200,0.00477400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02418900,463.13942100,0.01183600,0.00147400,0.01036100,0.53320400,0.21356700,0.24414400,0.25297600,0.26154400,0.23698100,0.20223600,0.18640200,0.19472300,22.88595200,15.56286600,10.84421100,17.73050100,19.03793500,18.31866100,8.84097900,9.64320000,0.02219700,0.01183600,0.42922300,49.67950100,0.95981400,1.00000000,176.73972500,1.00000000
02/01/1986,16,4.76128000,25.71972300,5.05861100,2.57197000,2.53524500,2.34932700,0.17403900,0.00000000,0.00000000,0.06286400,0.02301600,0.05707400,0.00465400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.47033000,0.03649200,0.00093200,67.92365300,1.56400100,1.00000000,0.00000000,164.38055500,4.19799200,1.41079500,11.85141600,1.00000000,1.00000000,0.01808100,0.01853800,3.12615800,0.01333300,0.01820000,0.01802300,0.02024700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.06980300,496.13942100,0.01495900,0.00405800,0.01090000,0.57846500,0.21451000,0.24170300,0.25071400,0.25947700,0.23760600,0.20252300,0.18649000,0.19470900,23.24974100,15.27908600,10.70304100,17.58857500,19.09286700,18.35948400,8.94184500,9.66765200,0.02585900,0.01495900,0.54698000,24.49690400,0.96360000,1.00000000,188.59114100,1.00000000
03/01/1986,17,4.86432800,31.74377700,6.24670400,3.17438000,3.13258000,2.87986600,0.23425800,0.00000000,0.00000000,0.07422600,0.02886800,0.06653100,0.00634200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.65266000,0.04240700,0.00110300,67.36061300,1.56886700,1.00000000,0.00000000,191.02222000,4.97056600,1.95990200,10.96755300,1.00000000,1.00000000,0.02098000,0.02152000,3.52613900,0.01398200,0.01858700,0.01842000,0.03110100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.08209000,529.13942100,0.01726000,0.00454300,0.01271700,0.57577900,0.21493400,0.23961400,0.24871900,0.25755800,0.23811000,0.20281600,0.18657800,0.19469600,23.55171600,15.02857400,10.57511100,17.44697000,19.13671100,18.39717900,9.03571200,9.68755300,0.02997700,0.01726000,0.60240500,25.87612900,0.96417600,1.00000000,199.55869400,1.00000000
