ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Maize_Exp1 3N Yr1_2
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress,AccumTT,GrainTempFactor
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),(),(oCd),()
28/02/1999,10,3.88494300,7.80303600,1.48125800,0.78030000,0.71008200,0.68989800,0.08127800,0.00000000,0.00000000,0.04774600,0.00596200,0.04483700,0.00239200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67260100,0.03300500,0.00046900,258.73820900,1.35849300,1.00000000,0.00000000,49.26154600,0.69954300,0.27960100,14.95500000,1.00000000,1.00000000,0.01636700,0.01659800,2.62406200,0.00419400,0.00483900,0.00000700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00904000,346.51468500,0.01378900,0.00048400,0.01330500,0.50892900,0.36105600,0.42874900,0.45752800,0.44000000,0.40000000,0.41000000,0.38000000,51.63305700,11.01092400,22.37016900,11.28033400,8.88217700,4.50278800,1.21762600,0.02709400,0.01378900,0.17805800,51.68455400,0.92896500,1.00000000,150.44311400,1.00000000
01/03/1999,11,4.00000000,10.12363100,1.93269100,1.01236000,0.94072200,0.89944800,0.09252100,0.00000000,0.00000000,0.06231300,0.00805200,0.05852400,0.00269900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90267800,0.04200800,0.00099500,268.73421900,1.39317300,1.00000000,0.00000000,62.69830700,1.48486800,0.30327500,16.80000000,1.00000000,1.00000000,0.02078500,0.02127200,3.97814000,0.01442400,0.01220300,0.00030300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02693000,379.51468500,0.01667000,0.00143000,0.01524000,0.52240800,0.41874400,0.43528500,0.45867700,0.44000000,0.40000000,0.41000000,0.38000000,52.18793100,11.95797800,22.43187700,11.28934000,8.89363600,4.51067300,1.22555200,0.03191000,0.01667000,0.23205900,34.27976000,0.93648800,1.00000000,167.24311400,1.00000000
02/03/1999,12,4.15978100,13.94067600,2.68185200,1.39407000,1.32054500,1.24519100,0.11611600,0.00000000,0.00000000,0.08057900,0.01115300,0.07577500,0.00312300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.16114000,0.05384700,0.00153000,287.95150800,1.40724000,1.00000000,0.00000000,80.36846200,2.28304800,0.34522700,17.07500000,1.00000000,1.00000000,0.02656400,0.02730800,5.26905900,0.01997500,0.01894100,0.00155600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04047300,412.51468500,0.02138300,0.00183900,0.01954400,0.52246700,0.43643000,0.46487400,0.48740100,0.44822200,0.40246700,0.41074000,0.38022200,42.56800500,18.71180500,24.97550600,11.79237400,8.96936200,4.53692900,1.23529300,0.04092600,0.02138300,0.38170500,49.69293000,0.93931400,1.00000000,184.31811400,1.00000000
03/03/1999,13,4.29720900,19.46159100,3.76797900,1.94616000,1.86999500,1.73861500,0.15936900,0.00000000,0.00000000,0.10349200,0.01576300,0.09719500,0.00393700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.42383200,0.06796800,0.00213200,300.56663500,1.43001200,1.00000000,0.00000000,101.44452500,3.18243200,0.43326700,19.24000000,1.00000000,1.00000000,0.03341300,0.03444300,5.91994200,0.03663000,0.03928100,0.00722700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.08313800,445.51468500,0.02754500,0.00337100,0.02417400,0.53259200,0.43364100,0.46473800,0.49497600,0.47120500,0.41108800,0.41384400,0.38130900,36.02180100,21.30119500,26.84695200,13.32667500,9.23439600,4.62894600,1.25747500,0.05171800,0.02754500,0.55209100,39.31254600,0.94363300,1.00000000,203.55811300,1.00000000
04/03/1999,14,4.42692400,34.68564700,6.78877000,3.46856000,3.38866100,3.09368300,0.30642700,0.00000000,0.00000000,0.13690800,0.02724400,0.12724800,0.00663800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.71983200,0.08676300,0.00270100,319.99469800,1.46662200,1.00000000,0.00000000,129.49649500,4.03133100,0.59466000,18.16000100,1.00000000,1.00000000,0.04245400,0.04374600,6.31042200,0.11673700,0.15271800,0.05123200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.32068700,478.51468500,0.04493000,0.01104100,0.03388800,0.57004200,0.41236400,0.46398200,0.49482900,0.47500000,0.43500000,0.44500000,0.39757800,26.66193800,22.46546600,29.66888400,15.61822200,10.45274100,5.63082100,1.53402100,0.07881800,0.04493000,1.52240600,29.95764000,0.94995900,1.00000000,221.71811400,1.00000000
05/03/1999,15,4.56146000,52.90524900,10.40033200,5.29052000,5.20384400,4.67387000,0.52261800,0.00000000,0.00000000,0.17752100,0.04337200,0.16198100,0.01181000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.99921700,0.10777800,0.00329100,313.38927800,1.50290900,1.00000000,0.00000000,160.86275000,4.91178300,1.14338400,18.83500000,1.00000000,1.00000000,0.05246300,0.05402100,6.52958500,0.13904700,0.20508500,0.11889600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.46302900,511.51468500,0.05679500,0.01536100,0.04143400,0.57818900,0.38979500,0.45144900,0.48762700,0.47290700,0.43437200,0.44481200,0.40274800,26.75382200,21.59692400,29.13553200,15.76725500,10.50192200,5.76874500,1.68926200,0.09822900,0.05679500,1.82196000,25.69310600,0.95554400,1.00000000,240.55311400,1.00000000
06/03/1999,16,4.69299500,74.67163300,14.71500100,7.46716000,7.37007400,6.51609300,0.82883400,0.00000000,0.00000000,0.22570600,0.06283700,0.20219000,0.01908500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.28898600,0.13326800,0.00386800,308.01209600,1.51716800,1.00000000,0.00000000,198.90731500,5.77260200,1.95006800,18.41500000,1.00000000,1.00000000,0.06446200,0.06627000,7.08316700,0.11928200,0.18149700,0.16565800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.46643700,544.51468500,0.06773700,0.01469400,0.05304300,0.56083000,0.37996300,0.44253400,0.48103900,0.46951200,0.43291400,0.44424200,0.40619600,26.70967500,20.92136000,28.55069200,15.80015500,10.52076800,5.89114700,1.83443200,0.12077900,0.06773700,2.17663800,33.05373600,0.95756700,1.00000000,258.96811400,1.00000000
07/03/1999,17,4.82138800,101.05071100,19.94593600,10.10507000,9.99324200,8.68994500,1.26274900,0.00000000,0.00000000,0.28459600,0.08692800,0.24899200,0.03047800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.57229400,0.16231200,0.00443100,302.75521100,1.53402700,1.00000000,0.00000000,242.25746200,6.61285200,3.09266300,17.97500000,1.00000000,1.00000000,0.07795000,0.07999100,7.84737700,0.12934500,0.20252900,0.26466700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.59654100,577.51468500,0.08310700,0.01779900,0.06530800,0.55996400,0.37257100,0.43626500,0.47516100,0.46547100,0.43068100,0.44317400,0.40829000,26.56448400,20.38060400,27.93382600,15.75628800,10.50900400,5.99354500,1.96811900,0.14841500,0.08310700,2.63790800,34.70117300,0.95984400,1.00000000,276.94311400,1.00000000
08/03/1999,18,4.94103100,127.37770100,25.16230300,12.73777000,12.60595500,10.79738800,1.75896000,0.00000000,0.00000000,0.34953700,0.11163600,0.30010100,0.04366100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.84883200,0.19502200,0.00495500,297.43302900,1.53880700,1.00000000,0.00000000,291.07785600,7.39584000,4.71175100,16.75000000,1.00000000,1.00000000,0.09290800,0.09515200,8.77888200,0.06683000,0.10797900,0.18986800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.36467700,610.51468500,0.08982300,0.01031400,0.07950900,0.53045500,0.36680800,0.43257200,0.47063800,0.46121100,0.42784000,0.44157400,0.40927500,26.40690600,19.95358300,27.32289500,15.66614000,10.47295300,6.07448900,2.08918900,0.16933300,0.08982300,2.63269900,63.37698800,0.96046700,1.00000000,293.69311400,1.00000000
09/03/1999,19,5.00000000,161.05492500,29.58645500,16.10549000,13.69209100,13.42025500,2.35253400,0.12157500,0.00000000,0.42433300,0.12917700,0.35618700,0.06114600,0.00058800,0.00000000,0.00000000,0.00000000,0.00000000,4.10652400,0.22977600,0.00546400,292.45361300,1.55014800,1.00000000,0.00000000,342.94964100,8.15498700,6.56328400,16.24000000,1.00000000,1.00000000,0.10853400,0.11096600,9.65201100,0.05392700,0.09003700,0.19533000,0.00004100,-0.00000000,-0.00000000,-0.00000000,0.33933500,643.51468500,0.09256000,0.00917800,0.08338200,0.52608100,0.36190000,0.43013300,0.46706500,0.45716300,0.42463700,0.43949300,0.40934000,26.25247800,19.59573200,26.74593900,15.55280100,10.42102000,6.13453000,2.19661800,0.17594200,0.09256000,3.36772200,95.79122400,0.96190900,1.00000000,309.93311400,1.00000000
