ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Maize_Exp1 3N Yr1_3
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
28/02/1999,10,3.88494300,7.78284400,1.41231900,0.77828000,0.64240000,0.68867500,0.08124500,0.00000000,0.00000000,0.04791300,0.00522300,0.04497900,0.00239800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67260100,0.03308800,0.00046900,258.73902900,1.35935400,1.00000000,0.00000000,49.38561000,0.69954300,0.27950400,14.95500000,1.00000000,1.00000000,0.01640800,0.01663900,2.62412600,0.00419000,0.00483400,0.00000700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00903000,346.51468500,0.01390800,0.00048300,0.01342500,0.50884100,0.36106100,0.42874900,0.45752800,0.44000000,0.40000000,0.41000000,0.38000000,51.62678900,11.00974700,22.37014200,11.28033400,8.88217700,4.50278800,1.21762600,0.02733200,0.01390800
01/03/1999,11,4.00000000,10.10972800,1.86517500,1.01097000,0.87380400,0.89885300,0.09251800,0.00000000,0.00000000,0.06247900,0.00733000,0.05866500,0.00270400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90267800,0.04209100,0.00099500,268.73518400,1.39375900,1.00000000,0.00000000,62.82237000,1.48486800,0.30315200,16.80000000,1.00000000,1.00000000,0.02082600,0.02131300,3.97821400,0.01446400,0.01223500,0.00030400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02700300,379.51468500,0.01668300,0.00143400,0.01524900,0.52245200,0.41874800,0.43528600,0.45867700,0.44000000,0.40000000,0.41000000,0.38000000,52.18149200,11.95680300,22.43185600,11.28934000,8.89363600,4.51067300,1.22555200,0.03193100,0.01668300
02/03/1999,12,4.15978100,13.93473900,2.61608000,1.39347000,1.25455700,1.24536100,0.11616300,0.00000000,0.00000000,0.08074500,0.01044300,0.07591600,0.00312700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.16114000,0.05393000,0.00153000,287.95274400,1.40768400,1.00000000,0.00000000,80.49252500,2.28304800,0.34521800,17.07500000,1.00000000,1.00000000,0.02660500,0.02734900,5.26907800,0.02001700,0.01898100,0.00156000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04055700,412.51468500,0.02139400,0.00184300,0.01955200,0.52250000,0.43643100,0.46487300,0.48740400,0.44822300,0.40246700,0.41074000,0.38022200,42.56234000,18.70982600,24.97533800,11.79241300,8.96936800,4.53693100,1.23529300,0.04094600,0.02139400
03/03/1999,13,4.29720900,19.46457600,3.70413400,1.94646000,1.80503200,1.73961700,0.15948600,0.00000000,0.00000000,0.10366000,0.01506500,0.09733700,0.00394200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.42383200,0.06805100,0.00213200,300.56803100,1.43035800,1.00000000,0.00000000,101.56858800,3.18243200,0.43344200,19.24000000,1.00000000,1.00000000,0.03345300,0.03448300,5.91996100,0.03668900,0.03934400,0.00723800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.08327200,445.51468500,0.02755700,0.00337600,0.02418100,0.53262800,0.43364200,0.46473800,0.49497600,0.47120700,0.41108900,0.41384500,0.38130900,36.01690300,21.29876300,26.84625200,13.32678600,9.23442500,4.62895600,1.25747600,0.05173900,0.02755700
04/03/1999,14,4.42692400,34.70795700,6.72892200,3.47080000,3.32576000,3.09643200,0.30673000,0.00000000,0.00000000,0.13708300,0.02656600,0.12739300,0.00664600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.71983200,0.08684600,0.00270100,319.99626500,1.46689200,1.00000000,0.00000000,129.62055900,4.03133100,0.59509500,18.16000100,1.00000000,1.00000000,0.04249400,0.04378600,6.31046400,0.11688600,0.15291000,0.05129700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.32109400,478.51468500,0.04495400,0.01105400,0.03390000,0.57009100,0.41236600,0.46398100,0.49482900,0.47500000,0.43500000,0.44500000,0.39758200,26.65811500,22.46263300,29.66745000,15.61807700,10.45275600,5.63088300,1.53408600,0.07885400,0.04495400
05/03/1999,15,4.56146000,52.94548200,10.34419000,5.29455000,5.14286100,4.67819500,0.52313400,0.00000000,0.00000000,0.17770300,0.04271400,0.16212700,0.01182400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.99921700,0.10786100,0.00329100,313.39017100,1.50311200,1.00000000,0.00000000,160.98681400,4.91178300,1.14451600,18.83500000,1.00000000,1.00000000,0.05250200,0.05406000,6.52960100,0.13918600,0.20528600,0.11901300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.46348400,511.51468500,0.05682100,0.01537400,0.04144700,0.57822600,0.38979600,0.45144700,0.48762600,0.47290700,0.43437200,0.44481200,0.40275100,26.74987000,21.59412600,29.13401200,15.76707600,10.50193000,5.76880500,1.68932200,0.09826900,0.05682100
06/03/1999,16,4.69299500,74.72887800,14.66237600,7.47289000,7.31091400,6.52187200,0.82958900,0.00000000,0.00000000,0.22589600,0.06219700,0.20233700,0.01910600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.28898600,0.13335100,0.00386800,308.01213500,1.51732800,1.00000000,0.00000000,199.03137800,5.77260200,1.95199400,18.41500000,1.00000000,1.00000000,0.06450100,0.06630900,7.08313700,0.11937500,0.18163900,0.16578800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.46680200,544.51468500,0.06776200,0.01470400,0.05305800,0.56085000,0.37996200,0.44253200,0.48103800,0.46951200,0.43291400,0.44424200,0.40619800,26.70562900,20.91857000,28.54908200,15.79994200,10.52076800,5.89120300,1.83448900,0.12082000,0.06776200
07/03/1999,17,4.82138800,101.12447700,19.89672400,10.11245000,9.93585300,8.69709500,1.26377700,0.00000000,0.00000000,0.28479500,0.08630700,0.24913900,0.03050800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.57229400,0.16239600,0.00443100,302.75465800,1.53415000,1.00000000,0.00000000,242.38152500,6.61285200,3.09548200,17.97500000,1.00000000,1.00000000,0.07798900,0.08002900,7.84731800,0.12942500,0.20265600,0.26483300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.59691400,577.51468500,0.08313300,0.01780800,0.06532500,0.55997700,0.37256900,0.43626300,0.47515900,0.46547100,0.43068100,0.44317400,0.40829100,26.56034700,20.37780600,27.93211700,15.75604400,10.50899300,5.99359800,1.96817200,0.14845800,0.08313300
08/03/1999,18,4.94103100,127.46485300,25.11587300,12.74649000,12.55001800,10.80561500,1.76024000,0.00000000,0.00000000,0.34974500,0.11103100,0.30024900,0.04369900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.84883200,0.19510500,0.00495500,297.43194600,1.53890600,1.00000000,0.00000000,291.20191900,7.39584000,4.71558400,16.75000000,1.00000000,1.00000000,0.09294500,0.09519000,8.77879800,0.06686400,0.10803400,0.18996500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.36486300,610.51468500,0.08984600,0.01031800,0.07952800,0.53046000,0.36680600,0.43257000,0.47063600,0.46121000,0.42784000,0.44157400,0.40927600,26.40269100,19.95078100,27.32109600,15.66586600,10.47293200,6.07453700,2.08923900,0.16937400,0.08984600
09/03/1999,19,5.00000000,161.15619300,29.54200500,16.11562000,13.63673300,13.42958300,2.35406200,0.12162600,0.00000000,0.42455000,0.12858200,0.35633400,0.06119500,0.00058900,0.00000000,0.00000000,0.00000000,0.00000000,4.10652400,0.22985900,0.00546400,292.45225100,1.55022700,1.00000000,0.00000000,343.07370500,8.15498700,6.56805800,16.24000000,1.00000000,1.00000000,0.10857100,0.11100300,9.65191500,0.05394900,0.09007400,0.19541300,0.00004100,-0.00000000,-0.00000000,-0.00000000,0.33947700,643.51468500,0.09257800,0.00918000,0.08339800,0.52608400,0.36189700,0.43013100,0.46706400,0.45716200,0.42463600,0.43949300,0.40934100,26.24821100,19.59292800,26.74406600,15.55250400,10.42098900,6.13457200,2.19666500,0.17597600,0.09257800
