Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),()
28/11/1989,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.39607100,0.42000000,0.48190000,0.48360000,0.48840000,0.44360000,0.40378000,0.41938400,0.41903600,5.78278000,5.86826600,4.90470300,5.06103800,3.15368400,1.19733500,2.00823000,0.84035400,0.44714700,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
07/12/1989,9,3.77104800,7.76677400,1.47607300,0.77668000,0.70436300,0.68864700,0.08306300,0.00000000,0.00000000,0.03155700,0.00618600,0.02856300,0.00282900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.50457100,0.01883600,0.00013600,203.35836000,1.51641200,1.00000000,0.00000000,26.90842800,0.19409700,0.26681900,15.85000000,1.00000000,1.00000000,0.00937400,0.00944100,1.81487000,0.03535600,0.02027100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05562700,314.00000000,0.01098400,0.00591600,0.00506900,0.68425700,0.40976400,0.43352900,0.49469400,0.48008600,0.48928700,0.44139500,0.40209200,0.42117000,0.42003600,92.46627000,19.05825400,5.71693200,4.92397000,3.13048200,1.17041600,2.21289400,1.10189100,0.71984700,0.01605300,0.01098400,0.30105300,9.82213900,0.95746200,1.00000000
08/12/1989,10,3.91186100,10.94033500,2.09559500,1.09403000,1.02031100,0.97966300,0.09562100,0.00000000,0.00000000,0.03988400,0.00913000,0.03615200,0.00316100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74841800,0.02391000,0.00047200,202.04578800,1.51198800,1.00000000,0.00000000,34.15743900,0.67463400,0.29665400,14.08129400,1.00000000,1.00000000,0.01188400,0.01211700,2.30962700,0.02676200,0.02063000,0.00004600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04743900,347.00000000,0.01128300,0.00484200,0.00644100,0.63660400,0.40982200,0.42345800,0.49604600,0.48007700,0.48929600,0.44125500,0.40194600,0.42124800,0.42015700,96.92755100,19.07993500,5.77187900,4.91168400,3.12019000,1.15711900,2.20887900,1.10672000,0.72822900,0.01772400,0.01128300,0.31735600,15.45093800,0.95684300,1.00000000
09/12/1989,11,4.00000000,15.23404300,2.93676600,1.52340000,1.44764100,1.37087500,0.11825100,0.00000000,0.00000000,0.05002200,0.01330400,0.04518300,0.00385600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.96505300,0.02921500,0.00080300,200.97307200,1.54657100,1.00000000,0.00000000,41.73593200,1.14742500,0.34150300,13.89109900,1.00000000,1.00000000,0.01450100,0.01489700,2.70362400,0.03897700,0.03239100,0.00126000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.07262800,380.00000000,0.01433100,0.00734200,0.00698900,0.67218300,0.40974000,0.41978400,0.49254300,0.48006900,0.48930300,0.44113000,0.40180800,0.42130400,0.42027200,100.03181500,19.12701600,5.73927000,4.90211300,3.11192400,1.14554500,2.20110700,1.10960200,0.73449800,0.02132000,0.01433100,0.42937100,15.98351200,0.96146000,1.00000000
10/12/1989,12,4.07563900,21.92645300,4.25359600,2.19265000,2.11398700,1.97741500,0.16219500,0.00000000,0.00000000,0.06304000,0.02011600,0.05624600,0.00537900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.17876200,0.03526000,0.00113800,200.00960900,1.59520100,1.00000000,0.00000000,50.37112900,1.62521300,0.42232300,14.06970200,1.00000000,1.00000000,0.01747500,0.01803400,3.17675400,0.06772100,0.05995900,0.00738300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.13506300,413.00000000,0.01985600,0.01318700,0.00666900,0.74858100,0.40916700,0.41960000,0.48654500,0.48006300,0.48931000,0.44101700,0.40167800,0.42134100,0.42037900,102.36370100,19.18785500,5.66790000,4.89425800,3.10488200,1.13480400,2.19383700,1.11116600,0.73944900,0.02652500,0.01985600,0.66924100,15.74089900,0.96714300,1.00000000
11/12/1989,13,4.13825500,30.22832600,5.88555200,3.02283000,2.93994600,2.71739000,0.22821600,0.00000000,0.00000000,0.07874500,0.02908200,0.06891700,0.00791400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.39521900,0.04225800,0.00151400,199.07395900,1.63084800,1.00000000,0.00000000,60.36875100,2.16264000,0.57926800,15.85049500,1.00000000,1.00000000,0.02090700,0.02164800,3.73568400,0.09507700,0.08802800,0.02211700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.20522200,446.00000000,0.02471200,0.01898900,0.00572300,0.81196700,0.40844300,0.41941300,0.48085700,0.48005600,0.48931700,0.44091500,0.40155600,0.42136300,0.42047700,103.36339600,19.78381000,5.61081700,4.88810600,3.09905600,1.12489700,2.18706800,1.11170000,0.74333200,0.03043500,0.02471200,0.83018700,15.11198900,0.97077700,1.00000000
12/12/1989,14,4.20837500,40.26288300,7.85695800,4.02629000,3.93752200,3.59635100,0.32308500,0.00000000,0.00000000,0.09722100,0.03909700,0.08370500,0.01104000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.63907300,0.05131400,0.00193700,198.13398400,1.63123300,1.00000000,0.00000000,73.30579900,2.76650200,0.81505600,17.75000000,1.00000000,1.00000000,0.02533100,0.02627400,4.40485300,0.10345300,0.09835600,0.04067700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.24248600,479.00000000,0.02854900,0.02105400,0.00749500,0.79205800,0.40864400,0.41934400,0.47458600,0.48000000,0.48912200,0.44082400,0.40144100,0.42137100,0.42056700,104.52553600,19.72461700,5.53695200,4.88232500,3.09311200,1.11571900,2.18073900,1.11038200,0.74638300,0.03604400,0.02854900,1.00345600,18.22813800,0.97081400,1.00000000
13/12/1989,15,4.28047100,49.43055200,9.65247000,4.94306000,4.84641400,4.37983600,0.42622000,0.00000000,0.00000000,0.11691000,0.04722700,0.10052700,0.01334600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.91215000,0.06314100,0.00237100,197.20744700,1.59209600,1.00000000,0.00000000,90.20195200,3.38737600,1.15387700,18.25000000,1.00000000,1.00000000,0.03107800,0.03222600,4.93666600,0.06700700,0.06493100,0.03070300,0.00044000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.16308200,512.00000000,0.02789700,0.01379100,0.01410500,0.66417500,0.40916600,0.41956700,0.46912000,0.47999700,0.48834200,0.44074100,0.40133400,0.42136700,0.42064700,105.39347800,19.65979000,5.47169800,4.87546300,3.08459900,1.10720700,2.17481000,1.10788500,0.74878600,0.04200200,0.02789700,0.91676700,27.75156400,0.96680600,1.00000000
14/12/1989,16,4.34881300,56.64158000,11.05850900,5.66416000,5.55782400,4.97804700,0.52263800,0.00000000,0.00000000,0.13888800,0.05382200,0.12005600,0.01528100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.19291900,0.07746900,0.00278300,213.75402800,1.54972400,1.00000000,0.00000000,110.67032300,3.97592900,1.52221300,17.30000000,1.00000000,1.00000000,0.03799400,0.03933200,7.21906600,0.03250000,0.04467800,0.01895500,0.00123100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.09736400,545.00000000,0.02866800,0.00681800,0.02185000,0.56747600,0.42400700,0.49089600,0.49386300,0.47999200,0.48834200,0.44066700,0.40123400,0.42135400,0.42071700,86.42887900,36.16524500,7.31573400,4.87103900,3.08229000,1.09957500,2.16939500,1.10557300,0.75064700,0.05051900,0.02866800,0.72110300,53.46604400,0.96185600,1.00000000
15/12/1989,17,4.40668700,66.58175900,13.01379100,6.65818000,6.54072600,5.79485800,0.67820700,0.00000000,0.00000000,0.16630300,0.06217600,0.14360700,0.01871400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.45907300,0.09343400,0.00313200,215.14336800,1.53698300,1.00000000,0.00000000,133.47738600,4.47432900,1.86656400,14.65000100,1.00000000,1.00000000,0.04564300,0.04713600,7.95388000,0.02541000,0.03776800,0.01850700,0.00289800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.08458300,578.00000000,0.03587600,0.00549600,0.03038000,0.54147200,0.42258200,0.49174800,0.50356700,0.48034200,0.48838200,0.44060000,0.40114100,0.42133200,0.42077900,83.95323200,37.10968400,8.07174500,4.86993300,3.08169100,1.09315900,2.16470500,1.10356400,0.75204400,0.06625600,0.03587600,0.99401800,93.47439100,0.96023100,1.00000000
16/12/1989,18,4.45648600,79.83518400,15.61402500,7.98352000,7.85298700,6.84582700,0.91521100,0.00000000,0.00000000,0.19916300,0.07382700,0.16912800,0.02530800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.68445700,0.10875600,0.00372600,211.80239900,1.55512500,1.00000000,0.00000000,155.36504600,5.32243400,2.42216800,12.60595100,1.00000000,1.00000000,0.05292600,0.05468800,8.12804700,0.03904900,0.06034100,0.03683300,0.01071800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.14694100,611.00000000,0.04463500,0.00889300,0.03574100,0.55532400,0.40974000,0.47510200,0.50953500,0.48121500,0.48852500,0.44054000,0.40105400,0.42130400,0.42083100,84.35424800,35.72277100,8.57276200,4.87488900,3.08316000,1.08801600,2.16079300,1.10189200,0.75309200,0.08037600,0.04463500,1.32534200,73.31133000,0.96252500,1.00000000
