ApsimVersion = 7.10 rfe34a9f26db4a824bcfbc8bf7b5866b27e75688a
precision = 8
Title = Maize_Exp1 3N Yr1_1
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield            RUE             TE          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)            vpd     transp_eff       sw_avail
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()             ()             ()        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)             ()         (g/m2)           (mm)
     01/03/1999              11     4.00000000    10.04919200     1.91812000     1.00492000     0.93331000     0.89247800     0.09233300     0.00000000     0.00000000     0.06168900     0.00789200     0.05768200     0.00262700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     1.90267800     0.04199100     0.00099500   268.73481000     1.37367400     1.00000000     0.00000000    62.67339800     1.48486800     0.30275800     0.02077700     0.02126400     3.97817900   379.51468500    67.38715400     0.93235800     0.00000000     0.00000000     0.23104300    34.28009200     0.41874600     0.43528700     0.45867700     0.44000000     0.40000000     0.41000000     0.38000000     1.04444300     8.61703100    59.37280800
     02/03/1999              12     4.15978100    13.84791200     2.66371300     1.38479000     1.31131500     1.23658300     0.11581500     0.00000000     0.00000000     0.07981700     0.01092600     0.07466200     0.00303500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     2.16114000     0.05383000     0.00153000   287.95213300     1.38698200     1.00000000     0.00000000    80.34355300     2.28304800     0.34452700     0.02655600     0.02730000     5.26905700   412.51468500    66.42291300     0.93520400     0.00000000     0.00000000     0.37987200    49.69290800     0.43643100     0.46487400     0.48740300     0.44822200     0.40246700     0.41074000     0.38022200     0.95429100     9.43108200    75.31675600
     03/03/1999              13     4.29720900    19.34298600     3.74478400     1.93430000     1.85820000     1.72771800     0.15886500     0.00000000     0.00000000     0.10228100     0.01537800     0.09553400     0.00377800     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     2.42383200     0.06795100     0.00213200   300.56737500     1.40591900     1.00000000     0.00000000   101.41961600     3.18243200     0.43214500     0.03340500     0.03443500     5.91993800   445.51468500    65.32952900     0.93905400     0.00000000     0.00000000     0.54950700    39.31252100     0.43364200     0.46473900     0.49497600     0.47120700     0.41108900     0.41384500     0.38130900     1.35527900     6.64069800    83.27374500
     04/03/1999              14     4.42692400    34.48950600     6.75020400     3.44895000     3.36913600     3.07589400     0.30517400     0.00000000     0.00000000     0.13357600     0.02591100     0.12386100     0.00593500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     2.71983200     0.08674600     0.00270100   319.99536900     1.42785500     1.00000000     0.00000000   129.47158600     4.03133100     0.59278100     0.04244600     0.04373800     6.31041400   478.51468500    64.02583300     0.94323700     0.00000000     0.00000000     1.51465200    29.95760000     0.41236700     0.46398700     0.49483000     0.47500000     0.43500000     0.44500000     0.39758100     1.89580300     4.74732800    87.91715800
     05/03/1999              15     4.56146000    52.57679300    10.33549800     5.25768000     5.17112600     4.64457600     0.51979600     0.00000000     0.00000000     0.17229900     0.04098200     0.15731600     0.01034200     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     2.99921700     0.10776100     0.00329100   313.39136100     1.45985100     1.00000000     0.00000000   160.83784100     4.91178300     1.13871100     0.05245500     0.05401300     6.52969400   511.51468500    62.80399300     0.94884400     0.00000000     0.00000000     1.80872900    25.69353600     0.38980400     0.45146300     0.48763100     0.47290700     0.43437200     0.44481200     0.40275000     2.28723900     3.93487600    89.23745700
     06/03/1999              16     4.69299500    74.18729900    14.61923700     7.41873000     7.32183400     6.47358500     0.82381800     0.00000000     0.00000000     0.21990600     0.05994800     0.19728900     0.01712100     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     3.28898600     0.13325100     0.00386800   308.01739100     1.48058000     1.00000000     0.00000000   198.88240600     5.77260200     1.93953700     0.06445500     0.06626200     7.08350600   544.51468500    61.63692500     0.95218400     0.00000000     0.00000000     2.16105100    33.05531700     0.37997900     0.44255200     0.48104700     0.46951400     0.43291500     0.44424300     0.40619800     1.92863200     4.66651900    92.54891200
     07/03/1999              17     4.82138800   100.41489000    19.82015900    10.04149000     9.92995000     8.63496700     1.25524200     0.00000000     0.00000000     0.27798800     0.08346900     0.24385700     0.02779000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     3.57229400     0.16229600     0.00443100   302.76372900     1.50254900     1.00000000     0.00000000   242.23255300     6.61285200     3.07394900     0.07794300     0.07998300     7.84792500   577.51468500    60.48411600     0.95549100     0.00000000     0.00000000     2.62275900    34.70359900     0.37259200     0.43628600     0.47517400     0.46547500     0.43068300     0.44317500     0.40829100     2.03527400     4.42200900    96.48921300
     08/03/1999              18     4.94103100   126.61990600    25.01242900    12.66199000    12.53059100    10.73268400     1.74915400     0.00000000     0.00000000     0.34432200     0.10862700     0.29593000     0.04125400     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     3.84883200     0.19500500     0.00495500   297.44485100     1.51754900     1.00000000     0.00000000   291.05294700     7.39584000     4.68374000     0.09290000     0.09514500     8.77964700   610.51468500    59.36250300     0.95762000     0.00000000     0.00000000     2.62050200    63.38250600     0.36683100     0.43258900     0.47065200     0.46121700     0.42784300     0.44157500     0.40927600     1.24666600     7.21925500   100.72081200
     09/03/1999              19     5.00000000   160.19456100    29.42324900    16.01946000    13.61349400    13.34763000     2.34092000     0.12120500     0.00000000     0.41992200     0.12673700     0.35264100     0.05878800     0.00057500     0.00000000      0.00000000     0.00000000     0.00000000     4.10652400     0.22976000     0.00546400   292.46696500     1.53482600     1.00000000     0.00000000   342.92473200     8.15498700     6.52669400     0.10852700     0.11095900     9.65285000   643.51468500    58.27145800     0.95994900     0.00000000     0.00000000     3.35746500    95.79954600     0.36192400     0.43014600     0.46707900     0.45717000     0.42464100     0.43949500     0.40934200     0.90684800     9.92448300   105.34573600
     10/03/1999              20     5.04241600   195.83091900    34.08223500    19.58309000    14.76226700    16.02095900     3.03553400     0.26347600     0.00000000     0.50468100     0.14196600     0.41416100     0.07992900     0.00129200     0.00000000      0.00000000     0.00000000     0.00000000     4.35637000     0.26722800     0.00635500   287.68620300     1.54983800     1.00000000     0.00000000   398.84842500     9.48495800     8.73477600     0.12507200     0.12784800     9.92471700   676.51468500    57.15623900     0.96187000     0.00000000     0.00000000     3.56363600    62.04135700     0.35736000     0.42807500     0.46384500     0.45350300     0.42130200     0.43703700     0.40865000     1.43972400     6.25119700   109.95690100
