ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Champ83
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
22/05/1983,10,3.31219900,3.03872200,0.42968300,0.30387000,0.12581100,0.21400700,0.08986500,0.00000000,0.00000000,0.01606700,0.00076700,0.01365200,0.00241500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81246000,0.01000800,0.00000000,195.65109300,1.36409500,1.00000000,0.00000000,11.24530000,0.00000000,0.25039000,11.11693700,1.00000000,1.00000000,0.00499200,0.00499200,3.93726500,0.00690600,0.00318700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01009300,314.00000000,0.00542500,0.00031700,0.00510900,0.51503000,0.56310900,0.57387500,0.53543100,0.50649400,0.49172000,0.44031000,33.09024400,12.35640000,2.86407500,1.01785300,0.69721700,0.66687800,0.01053400,0.00542500
23/05/1983,11,3.39879600,4.99564400,0.82081600,0.49956000,0.32125100,0.40737600,0.09218800,0.00000000,0.00000000,0.02227000,0.00213800,0.01959400,0.00267600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98349000,0.01430100,0.00000000,193.57757600,1.37011900,1.00000000,0.00000000,16.06828900,0.00000000,0.25242900,8.65971200,1.00000000,1.00000000,0.00712500,0.00712500,4.53066100,0.01065700,0.00662200,0.00000600,-0.00000000,-0.00000000,-0.00000000,0.01728500,333.80000000,0.00757600,0.00057900,0.00699700,0.51986300,0.54718700,0.56700300,0.53561000,0.50808700,0.49440800,0.44036400,36.65568500,13.12274800,3.03700900,1.03709400,0.70281900,0.66703200,0.01457300,0.00757600
24/05/1983,12,3.50061700,8.15079200,1.45120300,0.81508000,0.63612400,0.71743300,0.09764600,0.00000000,0.00000000,0.02911400,0.00468700,0.02603400,0.00307900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11671600,0.01807400,0.00000000,191.08103900,1.44039300,1.00000000,0.00000000,20.30830300,0.00000000,0.25895500,10.18211100,1.00000000,1.00000000,0.00899600,0.00899600,4.77227300,0.02998100,0.01920700,0.00015200,-0.00000000,-0.00000000,-0.00000000,0.04934000,353.60000000,0.00939700,0.00181900,0.00757700,0.55359000,0.53980000,0.54899000,0.53578700,0.50964500,0.49694500,0.44042300,40.51689500,13.55617000,3.21278400,1.05692500,0.70820200,0.66720100,0.01697400,0.00939700
25/05/1983,13,3.58380100,10.35015300,1.88980300,1.03502000,0.85478800,0.93248800,0.10252700,0.00000000,0.00000000,0.03643000,0.00697200,0.03311900,0.00331200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.27336400,0.02294200,0.00000000,189.60813100,1.44360300,1.00000000,0.00000000,25.77725600,0.00000000,0.27428700,8.31839900,1.00000000,1.00000000,0.01140500,0.01140500,5.07656200,0.01272300,0.00831500,0.00019700,-0.00000000,-0.00000000,-0.00000000,0.02123600,373.40000000,0.00961200,0.00084700,0.00876400,0.52306000,0.53646300,0.53841300,0.53423200,0.51096600,0.49932100,0.44048700,44.31038700,14.10320000,3.29962900,1.07529800,0.71332600,0.66738300,0.01837600,0.00961200
26/05/1983,14,3.65930500,14.47152100,2.71236700,1.44715000,1.26521500,1.33281100,0.11434100,0.00000000,0.00000000,0.04445300,0.01049000,0.04073500,0.00371800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.40133900,0.02736700,0.00000000,188.46292100,1.48846600,1.00000000,0.00000000,30.74973500,0.00000000,0.28799800,7.55044400,1.00000000,1.00000000,0.01359000,0.01359000,5.40379000,0.02723200,0.01846200,0.00090000,-0.00000000,-0.00000000,-0.00000000,0.04659500,393.20000000,0.01155500,0.00198400,0.00957000,0.54697100,0.53142900,0.53358300,0.53201600,0.51201100,0.50152100,0.44055500,47.98608000,14.75305200,3.33820900,1.09154000,0.71814400,0.66757900,0.02112500,0.01155500
27/05/1983,15,3.74686900,17.90048600,3.39562900,1.79005000,1.60558100,1.66387500,0.12617300,0.00000000,0.00000000,0.05245000,0.01407000,0.04829800,0.00415200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.51750000,0.03174500,0.00000000,187.45266700,1.52146200,1.00000000,0.00000000,35.66814000,0.00000000,0.32118200,8.75633400,1.00000000,1.00000000,0.01574700,0.01574700,5.75942000,0.02631400,0.01838200,0.00153400,-0.00000000,-0.00000000,-0.00000000,0.04622900,413.00000000,0.01159800,0.00208000,0.00951800,0.54925500,0.52731100,0.52992200,0.52972000,0.51281400,0.50353700,0.44062700,51.63385000,15.40430800,3.35509000,1.10565200,0.72262200,0.66778800,0.02111500,0.01159800
28/05/1983,16,3.84719200,20.22768200,3.85785800,2.02277000,1.83508900,1.88723400,0.13553400,0.00000000,0.00000000,0.06093000,0.01686700,0.05647400,0.00445600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.65221300,0.03722700,0.00000000,202.72524300,1.51703600,1.00000000,0.00000000,41.82766700,0.00000000,0.35441900,10.03234900,1.00000000,1.00000000,0.01844100,0.01844100,7.50719400,0.01319300,0.00756000,0.00091900,-0.00000000,-0.00000000,-0.00000000,0.02167200,432.80000000,0.01130500,0.00093800,0.01036700,0.52163600,0.60434500,0.54488800,0.53174700,0.51388700,0.50542700,0.44070400,52.86648900,17.83379600,3.65520500,1.12275600,0.72689200,0.66801100,0.02167200,0.01130500
29/05/1983,17,3.94094600,27.58766500,5.32618400,2.75877000,2.56741700,2.58839700,0.17037000,0.00000000,0.00000000,0.07256800,0.02263800,0.06738500,0.00518300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.80655700,0.04408300,0.00000000,199.56839000,1.52858200,1.00000000,0.00000000,49.53202300,0.00000000,0.38071500,9.37536800,1.00000000,1.00000000,0.02180100,0.02180100,7.65300800,0.04630800,0.02934800,0.00515400,-0.00000000,-0.00000000,-0.00000000,0.08080900,452.60000000,0.01744300,0.00367200,0.01377100,0.55882200,0.57702600,0.54280900,0.53277600,0.51504800,0.50721700,0.44078600,55.61963300,18.78350800,3.90664200,1.14138100,0.73101000,0.66824600,0.03121300,0.01744300
30/05/1983,18,4.00000000,32.44309500,6.29213500,3.24431000,3.04782600,3.04671600,0.19759300,0.00000000,0.00000000,0.08436900,0.02773800,0.07843300,0.00593700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.95079300,0.05115600,0.00000000,197.54789700,1.53319900,1.00000000,0.00000000,57.47896900,0.00000000,0.47856700,7.11111100,1.00000000,1.00000000,0.02525400,0.02525400,7.95440200,0.02156000,0.01457800,0.00350700,-0.00000000,-0.00000000,-0.00000000,0.03964400,472.40000000,0.01694600,0.00186800,0.01507800,0.52916300,0.56039100,0.54022400,0.53296800,0.51617000,0.50891500,0.44087100,58.60696400,19.57659300,4.10356600,1.16031200,0.73498800,0.66849400,0.03202500,0.01694600
31/05/1983,19,4.04527900,35.55494000,6.90840800,3.55549000,3.35291400,3.33774300,0.21775000,0.00000000,0.00000000,0.09528600,0.03171700,0.08851600,0.00677000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06019500,0.05702900,0.00000000,196.13291200,1.55212200,1.00000000,0.00000000,64.07776300,0.00000000,0.55503800,6.94444400,1.00000000,1.00000000,0.02811200,0.02811200,8.36907100,0.00796900,0.00562500,0.00177900,-0.00000000,-0.00000000,-0.00000000,0.01537300,492.20000000,0.01495100,0.00074500,0.01420700,0.51276900,0.54948900,0.53745700,0.53254800,0.51718500,0.51051900,0.44096100,61.79124800,20.24158500,4.25115600,1.17865600,0.73881500,0.66875500,0.02915800,0.01495100
01/06/1983,20,4.09616700,46.56888200,9.10449100,4.65689000,4.44760300,4.10475000,0.55213800,0.00000000,0.00000000,0.11501600,0.04060000,0.10099900,0.01401700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.16703300,0.06316500,0.00000000,192.97820300,1.59895900,1.00000000,0.00000000,70.97220400,0.00000000,0.61165900,9.15996500,1.00000000,1.00000000,0.03108900,0.03108900,8.65412600,0.07488600,0.05647800,0.02287600,-0.00000000,-0.00000000,-0.00000000,0.15424000,512.00000000,0.02867600,0.00767300,0.02100300,0.57722100,0.53041100,0.53243600,0.53128500,0.51801900,0.51201900,0.44105500,65.10192100,20.71499800,4.32399300,1.19533500,0.74245400,0.66902800,0.04967900,0.02867600
02/06/1983,21,4.14715500,48.77796800,9.53547500,4.87780000,4.65961600,4.30632700,0.56953200,0.00000000,0.00000000,0.13011500,0.04502500,0.11363700,0.01643700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.30795500,0.07177000,0.00003200,192.20632200,1.58333500,1.00000000,0.00000000,80.64098200,0.03629000,1.55095000,9.17786100,1.00000000,1.00000000,0.03524900,0.03526500,9.21232500,0.00507900,0.00391500,0.00196600,-0.00000000,-0.00000000,-0.00000000,0.01096000,531.80000000,0.01960600,0.00055000,0.01905600,0.50711700,0.52776500,0.52981600,0.52979500,0.51866200,0.51340400,0.44115300,68.49165300,21.19105300,4.35683600,1.20996000,0.74587200,0.66931300,0.03866200,0.01960600
03/06/1983,22,4.20420600,52.46570000,10.25095600,5.24657000,5.01907000,4.62976300,0.60212300,0.00000000,0.00000000,0.14639000,0.04919100,0.12750200,0.01856200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.44915300,0.08096400,0.00025500,223.29197700,1.57480300,1.00000000,0.00000000,90.97065900,0.28673700,1.59981000,10.26904700,1.00000000,1.00000000,0.03967300,0.03979600,12.51103500,0.01204900,0.00947600,0.00495300,-0.00000000,-0.00000000,-0.00000000,0.02647800,551.60000000,0.02053000,0.00113500,0.01939500,0.51421200,0.60620700,0.60193700,0.55179200,0.52318400,0.51517000,0.44125600,59.58319100,30.65709300,7.12319200,1.28908500,0.75047500,0.66961400,0.03992600,0.02053000
04/06/1983,23,4.26976500,70.48469700,13.82791900,7.04847000,6.81093200,6.04383900,0.97314800,0.00000000,0.00000000,0.17427000,0.06210300,0.14662200,0.02699200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.60713800,0.09215500,0.00051100,219.22832500,1.59104500,1.00000000,0.00000000,103.54465800,0.57453900,1.69135800,11.80069400,1.00000000,1.00000000,0.04503200,0.04527600,12.57654700,0.08612400,0.07753000,0.04889600,-0.00000000,-0.00000000,-0.00000000,0.21254900,571.40000000,0.04089100,0.00914700,0.03174500,0.56296300,0.57253400,0.60018500,0.55005200,0.52652000,0.51712100,0.44136500,61.92686100,31.20634700,7.42638800,1.35800800,0.75579000,0.66993400,0.07263600,0.04089100
05/06/1983,24,4.33985900,86.16317300,16.93087400,8.61632000,8.36515700,7.41996500,1.14575100,0.00000000,0.00000000,0.20394200,0.07696100,0.16891300,0.03402000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.78868700,0.10628700,0.00078500,218.08057400,1.58921800,1.00000000,0.00000000,119.42381600,0.88224600,2.73356100,12.61681300,1.00000000,1.00000000,0.05175600,0.05212800,13.02470300,0.08547300,0.08035500,0.06157400,-0.00000000,-0.00000000,-0.00000000,0.22740200,591.20000000,0.04465400,0.00969200,0.03496200,0.56086600,0.56140500,0.59693900,0.54882400,0.52905000,0.51913100,0.44148000,64.39492800,31.58287400,7.72116600,1.41932500,0.76150100,0.67027500,0.07961600,0.04465400
06/06/1983,25,4.39198600,103.26664700,20.32011300,10.32666000,10.05877500,8.90352400,1.35781400,0.00000000,0.00000000,0.23631800,0.09271800,0.19444500,0.04060500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.98279200,0.12314000,0.00098900,217.17627000,1.57905000,1.00000000,0.00000000,138.35994900,1.11108000,3.21840200,9.38286100,1.00000000,1.00000000,0.05971300,0.06017800,13.54361700,0.05024900,0.04813900,0.04488600,-0.00000000,-0.00000000,-0.00000000,0.14327400,611.00000000,0.04828700,0.00601800,0.04227000,0.53322600,0.55355300,0.59305000,0.54798000,0.53239600,0.51976500,0.44159800,66.96296700,31.84243400,7.99742400,1.47868300,0.76358200,0.67062100,0.09055700,0.04828700
07/06/1983,26,4.45501000,130.61304700,25.75013700,13.06130000,12.77329700,10.64757600,2.32926400,0.00000000,0.00000000,0.28868100,0.11720800,0.22083200,0.06625700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.12714400,0.13700000,0.00123500,213.75054900,1.61191600,1.00000000,0.00000000,153.93217300,1.38775600,3.81408500,11.34447800,1.00000000,1.00000000,0.06620600,0.06678300,13.64187000,0.15807200,0.15214400,0.16895600,0.00002700,-0.00000000,-0.00000000,0.47919900,624.20000000,0.07703700,0.02016200,0.05687500,0.57528000,0.53894600,0.57773600,0.54701000,0.53578800,0.51976500,0.44171500,70.10292800,31.34338000,8.23416300,1.53263400,0.76391300,0.67096600,0.13391300,0.07703700
08/06/1983,27,4.52532000,157.68833900,31.11676700,15.76883000,15.45528000,12.92314800,2.73833900,0.00000000,0.00000000,0.33906300,0.14438200,0.25108000,0.08602800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.30167400,0.15514500,0.00151000,211.75503500,1.61836300,1.00000000,0.00000000,174.31980400,1.69641200,6.54287800,12.65575000,1.00000000,1.00000000,0.07464000,0.07533800,13.61194200,0.17264500,0.15668600,0.19268000,0.00021900,-0.00000000,-0.00000000,0.52223000,637.40000000,0.07779000,0.02250100,0.05529000,0.58453800,0.53884900,0.56122400,0.54584500,0.53846200,0.51976600,0.44183200,73.44068900,30.71100800,8.39342100,1.57630900,0.76425800,0.67131100,0.13308000,0.07779000
09/06/1983,28,4.60128100,182.86055900,36.09520200,18.28606000,17.94159100,14.99853600,3.15507400,0.00000000,0.00000000,0.39110800,0.17059300,0.28608300,0.10268100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.49637800,0.17735200,0.00180700,210.05181900,1.61308100,1.00000000,0.00000000,199.27193300,2.02987600,7.69196500,13.67296500,1.00000000,1.00000000,0.08485800,0.08568400,13.62390600,0.15281200,0.13220600,0.17704200,0.00058400,-0.00000000,-0.00000000,0.46264400,650.60000000,0.07854500,0.02037000,0.05817500,0.57449700,0.53898100,0.54866400,0.54527800,0.53976400,0.51976600,0.44194900,76.62165800,30.29764900,8.48490800,1.59867400,0.76460900,0.67165500,0.13672000,0.07854500
