ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Maize_Exp1 2ND Yr3_3
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil,RUE,TE
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),()
13/01/2001,10,4.00000000,27.68037500,5.40790200,2.76804000,2.68985700,2.54561500,0.17243100,0.00000000,0.00000000,0.09086000,0.02703400,0.08326100,0.00619100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.05727800,0.05105400,0.00106500,250.12858600,1.63084600,1.00000000,0.00000000,72.93425500,1.52071900,0.42978500,18.66647800,1.00000000,1.00000000,0.02520400,0.02572300,1.91648400,0.09909200,0.22218100,0.00016000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.32143400,343.17425800,0.03286300,0.02795700,0.00490600,0.87009700,0.30896800,0.42202400,0.45719500,0.44000000,0.40000000,0.41000000,0.38000000,114.84661100,9.65266200,13.89332500,14.91702200,10.57905400,10.24423900,10.23724100,0.03777000,0.03286300,0.95366400,5.68603300
14/01/2001,11,4.17843800,39.22286900,7.67752100,3.92229000,3.83872600,3.58381100,0.25498300,0.00000000,0.00000000,0.11550400,0.03711800,0.10528300,0.00801700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.34445500,0.06623000,0.00168400,249.23782000,1.58966900,1.00000000,0.00000000,94.61383800,2.40514500,0.61582400,18.92000000,1.00000000,1.00000000,0.03257300,0.03338700,2.28178400,0.07646500,0.20320800,0.00457400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.28424700,376.17425800,0.03478100,0.02251200,0.01226900,0.73923700,0.30572400,0.42026700,0.45684900,0.44000000,0.40000000,0.41000000,0.38000000,116.05916600,9.58861700,13.88526900,14.92775000,10.59250300,10.25318000,10.24634500,0.04705000,0.03478100,1.15424900,9.26569600
15/01/2001,12,4.31126300,54.83198500,10.75594900,5.48320000,5.39196000,4.96705900,0.39693000,0.00000000,0.00000000,0.15101900,0.05243200,0.13550700,0.01251700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.63553100,0.08461900,0.00229200,248.41219700,1.60137900,1.00000000,0.00000000,120.88421500,3.27440000,0.91065300,18.59547600,1.00000000,1.00000000,0.04142700,0.04252500,2.68424700,0.11544300,0.34671200,0.02866300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.49081800,409.17425800,0.05090300,0.03525800,0.01564500,0.76490900,0.30237900,0.41760000,0.45641500,0.44000000,0.40000000,0.41000000,0.38000000,116.54940000,9.49883400,13.86827900,14.93842700,10.60548900,10.26098200,10.25406700,0.06654800,0.05090300,1.56091200,8.53651500
16/01/2001,13,4.44340500,66.45477600,13.03568100,6.64548000,6.54345600,5.96485300,0.52737200,0.00000000,0.00000000,0.18313300,0.06257900,0.16455200,0.01483000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.92161600,0.10606800,0.00289700,247.40420200,1.55137400,1.00000000,0.00000000,151.52624100,4.13919200,1.41760700,18.50000100,1.00000000,1.00000000,0.05165200,0.05302500,3.11929500,0.04459200,0.15813100,0.02955900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.23228200,442.17425800,0.04236600,0.01430200,0.02806400,0.60153400,0.29962400,0.41626000,0.45596400,0.44000000,0.40000000,0.41000000,0.38000000,116.75948300,9.41609600,13.83185100,14.94877200,10.61770200,10.26768000,10.26048200,0.07043000,0.04236600,1.16227900,15.60817200
17/01/2001,14,4.58716500,90.34782100,17.76104400,9.03478000,8.91967300,7.99272600,0.84864600,0.00000000,0.00000000,0.23388600,0.08351000,0.20571200,0.02358700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.20623100,0.13107600,0.00355600,246.67595300,1.56941700,1.00000000,0.00000000,187.25101900,5.08000800,1.88347300,20.12633500,1.00000000,1.00000000,0.06343600,0.06510000,3.62475400,0.10088100,0.41048500,0.14239900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.65376400,475.17425800,0.07180900,0.03411600,0.03769300,0.65578000,0.29661600,0.41326500,0.45513300,0.44000000,0.40000000,0.41000000,0.38000000,116.54985000,9.27837400,13.76048200,14.95921900,10.62964600,10.27372400,10.26603500,0.10950100,0.07180900,2.38930400,13.24735200
18/01/2001,15,4.72566500,116.12584100,22.85936300,11.61258000,11.47963600,10.12480200,1.25492600,0.00000000,0.00000000,0.29240400,0.10630900,0.25363600,0.03338400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.51586700,0.16285600,0.00419000,245.54502900,1.55743100,1.00000000,0.00000000,232.65076900,5.98640400,3.03087800,19.38999900,1.00000000,1.00000000,0.07820100,0.08013000,4.17272200,0.07507200,0.33428700,0.19843500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.60779400,508.17425800,0.08148400,0.02685200,0.05463200,0.59863700,0.29385900,0.41084300,0.45410600,0.44000000,0.40000000,0.41000000,0.38000000,116.18101500,9.12241600,13.63830000,14.96920900,10.64080700,10.27905500,10.27075200,0.13611600,0.08148400,2.57780200,17.69754100
19/01/2001,16,4.84605800,148.94270700,29.36434600,14.89427000,14.73836300,12.76835100,1.85763200,0.00000000,0.00000000,0.36307500,0.13441900,0.30890700,0.04809300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.81417500,0.19875100,0.00474200,244.47686800,1.55423700,1.00000000,0.00000000,283.93059800,6.77430000,4.48187700,16.85500000,1.00000000,1.00000000,0.09459800,0.09674200,4.84978500,0.05951800,0.28310400,0.26480200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.60742400,541.17425800,0.09899400,0.02266500,0.07633000,0.56463700,0.29128300,0.40880300,0.45285500,0.44000000,0.40000000,0.41000000,0.38000000,115.67931400,8.93475200,13.44185400,14.97891000,10.65143000,10.28392100,10.27490600,0.17532400,0.09899400,3.28168700,26.20159900
20/01/2001,17,4.97312900,185.42421300,36.59243600,18.54242000,18.35703700,15.61404900,2.62135000,0.00000000,0.00000000,0.44455600,0.16772500,0.36764300,0.07010100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.07348200,0.23465700,0.00532400,243.42424400,1.56672800,1.00000000,0.00000000,335.22370600,7.60590300,6.63440000,17.79000000,1.00000000,1.00000000,0.11070700,0.11307100,5.67036300,0.05589100,0.28479800,0.38345400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.72414300,574.17425800,0.11505600,0.02286300,0.09219200,0.55515900,0.28880400,0.40677500,0.45121100,0.44000000,0.40000000,0.41000000,0.38000000,115.09119400,8.71896600,13.16596000,14.98824500,10.66150000,10.28841200,10.27862600,0.20724800,0.11505600,3.64815100,28.56665100
21/01/2001,18,5.00000000,236.75313900,43.33731700,23.67531000,20.01417800,19.51121900,3.60952300,0.20239700,0.00000000,0.54551000,0.19251700,0.43693500,0.09988000,0.00106600,0.00000000,0.00000000,0.00000000,0.00000000,4.34717500,0.27728800,0.00596600,242.26865400,1.57574200,1.00000000,0.00000000,396.12591100,8.52259000,9.36196400,18.28999900,1.00000000,1.00000000,0.12946200,0.13205500,6.61710800,0.06156600,0.33738800,0.61589800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,1.01485200,607.17425800,0.12608200,0.02730000,0.09878300,0.56070200,0.28635100,0.40440800,0.44880000,0.44000000,0.40000000,0.41000000,0.38000000,114.46479000,8.48679400,12.81760200,14.99789300,10.67172500,10.29287100,10.28221100,0.22486500,0.12608200,5.13289300,33.46784100
22/01/2001,19,5.05984200,294.48601700,50.87461500,29.44860000,21.87933400,23.70585800,4.83585000,0.45357200,0.00000000,0.66636400,0.21507700,0.51656900,0.13783800,0.00254200,0.00000000,0.00000000,0.00000000,0.00000000,4.62855900,0.32589900,0.00735600,240.83490000,1.58506000,1.00000000,0.00000000,465.56978200,10.50905500,12.89115500,18.85850100,1.00000000,1.00000000,0.15036600,0.15348500,7.52060200,0.07890500,0.46735500,1.07755200,0.00008800,-0.00000000,-0.00000000,-0.00000000,1.62390100,640.17425800,0.14379900,0.03799300,0.10580600,0.57610600,0.28383600,0.40117800,0.44486300,0.44000000,0.40000000,0.41000000,0.38000000,113.77845800,8.22669600,12.37998400,14.99755800,10.68188700,10.29724500,10.28565100,0.24960400,0.14379900,5.77328800,26.73722500
