      Date    DaysAfterSowing     DaysAfteremergence    green_biomass_wt     RootTotalWt    StemTotalWt     LeafTotalWt         TotalWt
        ()                 ()                     ()             (g/m^2)         (g/m^2)        (g/m^2)         (g/m^2)         (g/m^2)
 20/01/2014                 31                     18         0.942267563     0.006612567    0.008365407     0.062521679     0.077499652
 20/01/2014                 31                     19         1.528402504     0.012789242    0.019401808     0.105448644     0.137639694
 20/01/2014                 31                     18         0.595038256     0.000637144     0.00677023     0.038488291     0.045895664
 27/01/2014                 38                     26         4.420125203     0.055182008    0.093290053     0.379995363     0.528467424
 27/01/2014                 38                     25         10.15534431     0.094933457    0.263846047      0.92956179     1.288341294
 27/01/2014                 38                     26         0.845444006     0.026205425    0.009079527     0.006170369     0.041455321
  3/02/2014                 45                     33         6.553211222     0.085323441    0.143751449     0.528634361     0.757709251
  3/02/2014                 45                     33         17.53211222     0.362624623    0.940412706     1.697194528     3.000231857
 10/02/2014                 52                     39         72.22258289     0.955251565    3.596568514     4.380245769     8.932065847
 10/02/2014                 52                     39         61.71759796     0.724321818    2.503130072     3.977741711     7.205193601
 19/02/2014                 61                     50         231.4583816     6.408532344    18.94736842     13.14166473      38.4975655
 19/02/2014                 61                     49         95.30999304     3.041966149    7.539995363      6.48272664     17.06468815
 24/02/2014                 66                     54         248.9404127     25.34662648    9.784372826     17.23162532     52.36262462
 24/02/2014                 66                     54         465.6897751     22.74055182    54.18965917     25.30025504      102.230466
 24/02/2014                 66                     54          283.199629     17.08323673    17.83445398     16.28564804     51.20333874
  3/03/2014                 73                     62         738.2332483      22.6107118    59.21632275     65.36517505     147.1922096
  3/03/2014                 73                     60         272.5341989     7.382332483    31.83862741     15.19128217     54.41224206
 10/03/2014                 80                     68         442.6338975      15.6735451    71.31926733     38.11731973      146.719221
 10/03/2014                 80                     68         237.1527939     8.810572687    35.24229075     19.75423139     73.17412474
 10/03/2014                 80                     68          716.930211     12.24205889    53.28077904     28.93577556     109.9466728
