SimulationName  Clock.Today  SCRUM.Product.Live.Wt  SCRUM.Product.LiveFWt  SCRUM.Product.Live.N  ExtraVariables.Script.AccumLeach  ExtraVariables.Script.SWC  ExtraVariables.Script.SoilNitrogenContent  Mean_MineralN  Treat  RotTreat  IrrigTreat  NitTreat
()  ()  (g/m2)  (g/m2)  (g/m2)  (kg/ha)  (mm/mm)  (kg/ha)  (kg/ha)  ()  ()  ()  ()
ABlockRotPP_W1_N0  2005-03-14  *  4903  13.39  *  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-01-30  *  614.8  28.61  *  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2007-03-12  *  1446.8  9.53  *  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPW_W1_N0  2005-03-14  *  4903  13.39  *  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-02-16  *  1222.8  13.29  *  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2007-03-12  *  1446.8  9.53  *  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPP_W1_N1  2005-03-14  *  5100.5  22.32  *  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-01-30  *  629  29.05  *  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2007-03-12  *  3719.7  17.05  *  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPW_W1_N1  2005-03-14  *  5100.5  22.32  *  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-02-16  *  1372.8  24.29  *  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2007-03-12  *  3719.7  17.05  *  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPP_W1_N2  2005-03-14  *  5592.5  30.56  *  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-01-30  *  567  27.59  *  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2007-03-12  *  3636.4  21.16  *  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPW_W1_N2  2005-03-14  *  5592.5  30.56  *  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPW_W1_N2  2006-02-16  *  1449.1  31.15  *  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPW_W1_N2  2007-03-12  *  3636.4  21.16  *  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPP_W2_N0  2005-03-14  *  4941.4  13.59  *  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-01-30  *  594.6  27.12  *  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2007-03-12  *  3055.6  9.31  *  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPW_W2_N0  2005-03-14  *  4941.4  13.59  *  *  *  *  PW_W2_N0  PW  W2  N0
ABlockRotPW_W2_N0  2006-02-16  *  1043.8  8.51  *  *  *  *  PW_W2_N0  PW  W2  N0
ABlockRotPW_W2_N0  2007-03-12  *  3055.6  9.31  *  *  *  *  PW_W2_N0  PW  W2  N0
ABlockRotPP_W2_N1  2005-03-14  *  5526.8  22.63  *  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-01-30  *  583.4  27.12  *  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2007-03-12  *  3341  9.31  *  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPW_W2_N1  2005-03-14  *  5526.8  22.63  *  *  *  *  PW_W2_N1  PW  W2  N1
ABlockRotPW_W2_N1  2006-02-16  *  1204  22.67  *  *  *  *  PW_W2_N1  PW  W2  N1
ABlockRotPW_W2_N1  2007-03-12  *  3341  9.31  *  *  *  *  PW_W2_N1  PW  W2  N1
ABlockRotPP_W2_N2  2005-03-14  *  5733.3  28.45  *  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-01-30  *  575.7  27.4  *  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2007-03-12  *  3897.3  18.5  *  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPW_W2_N2  2005-03-14  *  5733.3  28.45  *  *  *  *  PW_W2_N2  PW  W2  N2
ABlockRotPW_W2_N2  2006-02-16  *  1259.8  28.95  *  *  *  *  PW_W2_N2  PW  W2  N2
ABlockRotPW_W2_N2  2007-03-12  *  3897.3  18.5  *  *  *  *  PW_W2_N2  PW  W2  N2
ABlockRotPP_W1_N0  2004-12-07  *  *  *  0  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2004-12-09  *  *  *  -2.43  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2004-12-23  *  *  *  -4.37  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-01-06  *  *  *  -5.09  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-01-20  *  *  *  -5.35  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-01-27  *  *  *  -5.46  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-02-03  *  *  *  -5.51  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-02-10  *  *  *  -6.07  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-02-24  *  *  *  -6.29  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-03-03  *  *  *  -10.02  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-03-04  *  *  *  *  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-04-01  *  *  *  0  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-07-22  *  *  *  -1.56  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-03-04  *  *  *  *  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2005-04-01  *  *  *  0  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-05-19  *  *  *  -9.09  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-06-09  *  *  *  -13.06  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-06-15  *  *  *  -22.47  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-06-27  *  *  *  -33.26  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-07-10  *  *  *  -38.38  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-07-25  *  *  *  -48.93  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-08-16  *  *  *  -56.41  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-08-25  *  *  *  -78.92  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2006-12-28  *  *  *  -78.92  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N0  2007-01-11  *  *  *  -78.92  *  *  *  PP_W1_N0  PP  W1  N0
ABlockRotPP_W1_N1  2004-12-07  *  *  *  0  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2004-12-09  *  *  *  -14.8  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2004-12-23  *  *  *  -28.38  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-01-06  *  *  *  -31.43  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-01-20  *  *  *  -33.22  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-01-27  *  *  *  -33.73  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-02-03  *  *  *  -33.81  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-02-10  *  *  *  -34.91  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-02-24  *  *  *  -35.46  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-03-03  *  *  *  -39.09  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-03-04  *  *  *  *  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-04-01  *  *  *  0  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-07-22  *  *  *  -1.83  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-03-04  *  *  *  *  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2005-04-01  *  *  *  0  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-05-19  *  *  *  -10.28  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-06-09  *  *  *  -14.92  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-06-15  *  *  *  -28.28  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-06-27  *  *  *  -38.5  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-07-10  *  *  *  -42.76  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-07-25  *  *  *  -55.35  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-08-16  *  *  *  -64.77  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-08-25  *  *  *  -96  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2006-12-28  *  *  *  -96  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N1  2007-01-11  *  *  *  -96  *  *  *  PP_W1_N1  PP  W1  N1
ABlockRotPP_W1_N2  2004-12-07  *  *  *  0  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2004-12-09  *  *  *  -24.42  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2004-12-23  *  *  *  -39.65  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-01-06  *  *  *  -43.9  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-01-20  *  *  *  -47.17  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-01-27  *  *  *  -48.14  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-02-03  *  *  *  -48.3  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-02-10  *  *  *  -50.73  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-02-24  *  *  *  -51.76  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-03-03  *  *  *  -57.23  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-03-04  *  *  *  *  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-04-01  *  *  *  0  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-07-22  *  *  *  -2.66  *  *  *  PP_W1_N2  PP  W1  N2
