Clock.Today	Irr	Nit	LightInterception	SimulationName
()	()	()	()	()
2015-10-15	Nil	0	0.24	Lincoln2015Nit0IrrNil
2015-10-15	Nil	50	0.20	Lincoln2015Nit50IrrNil
2015-10-15	Nil	250	0.20	Lincoln2015Nit250IrrNil
2015-10-15	Full	0	0.23	Lincoln2015Nit0IrrFull
2015-10-15	Full	50	0.21	Lincoln2015Nit50IrrFull
2015-10-15	Full	250	0.21	Lincoln2015Nit250IrrFull
2015-10-20	Nil	0	0.28	Lincoln2015Nit0IrrNil
2015-10-20	Nil	50	0.20	Lincoln2015Nit50IrrNil
2015-10-20	Nil	250	0.22	Lincoln2015Nit250IrrNil
2015-10-20	Full	0	0.26	Lincoln2015Nit0IrrFull
2015-10-20	Full	50	0.21	Lincoln2015Nit50IrrFull
2015-10-20	Full	250	0.25	Lincoln2015Nit250IrrFull
2015-10-27	Nil	0	0.38	Lincoln2015Nit0IrrNil
2015-10-27	Nil	50	0.31	Lincoln2015Nit50IrrNil
2015-10-27	Nil	250	0.40	Lincoln2015Nit250IrrNil
2015-10-27	Full	0	0.38	Lincoln2015Nit0IrrFull
2015-10-27	Full	50	0.33	Lincoln2015Nit50IrrFull
2015-10-27	Full	250	0.43	Lincoln2015Nit250IrrFull
2015-10-30	Nil	0	0.31	Lincoln2015Nit0IrrNil
2015-10-30	Nil	50	0.26	Lincoln2015Nit50IrrNil
2015-10-30	Nil	250	0.36	Lincoln2015Nit250IrrNil
2015-10-30	Full	0	0.33	Lincoln2015Nit0IrrFull
2015-10-30	Full	50	0.30	Lincoln2015Nit50IrrFull
2015-10-30	Full	250	0.37	Lincoln2015Nit250IrrFull
2015-11-02	Nil	0	0.33	Lincoln2015Nit0IrrNil
2015-11-02	Nil	50	0.28	Lincoln2015Nit50IrrNil
2015-11-02	Nil	250	0.41	Lincoln2015Nit250IrrNil
2015-11-02	Full	0	0.39	Lincoln2015Nit0IrrFull
2015-11-02	Full	50	0.33	Lincoln2015Nit50IrrFull
2015-11-02	Full	250	0.45	Lincoln2015Nit250IrrFull
2015-11-10	Nil	0	0.40	Lincoln2015Nit0IrrNil
2015-11-10	Nil	50	0.35	Lincoln2015Nit50IrrNil
2015-11-10	Nil	250	0.57	Lincoln2015Nit250IrrNil
2015-11-10	Full	0	0.43	Lincoln2015Nit0IrrFull
2015-11-10	Full	50	0.43	Lincoln2015Nit50IrrFull
2015-11-10	Full	250	0.63	Lincoln2015Nit250IrrFull
2015-11-12	Nil	0	0.46	Lincoln2015Nit0IrrNil
2015-11-12	Nil	50	0.44	Lincoln2015Nit50IrrNil
2015-11-12	Nil	250	0.65	Lincoln2015Nit250IrrNil
2015-11-12	Full	0	0.49	Lincoln2015Nit0IrrFull
2015-11-12	Full	50	0.47	Lincoln2015Nit50IrrFull
2015-11-12	Full	250	0.68	Lincoln2015Nit250IrrFull
