Index_Date_Plot_Organ	Index_Date_Plot	Clock.Today	HarvestNo	Growth_Stage	Plot	TreatNo	Block	Nit	Irr	Organ	DM_kgHa	N_Perc	Apsim_Var_name_Bio	Apsim_Var_name_N
42306_101_Leaf	42306_101	29/10/2015	1	22	101	5	1	250	Dryland	Leaf	461.57	5.28	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_102_Leaf	42306_102	29/10/2015	1	23	102	6	1	250	Irrigated	Leaf	556.68	5.59	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_103_Leaf	42306_103	29/10/2015	1	22	103	2	1	0	Irrigated	Leaf	676.61	5.02	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_104_Leaf	42306_104	29/10/2015	1	22	104	4	1	50	Irrigated	Leaf	441.85	4.64	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_105_Leaf	42306_105	29/10/2015	1	21	105	1	1	0	Dryland	Leaf	220.40	3.92	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_106_Leaf	42306_106	29/10/2015	1	21	106	3	1	50	Dryland	Leaf	234.37	3.92	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_107_Leaf	42306_107	29/10/2015	1	23	107	4	2	50	Irrigated	Leaf	275.56	4.59	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_108_Leaf	42306_108	29/10/2015	1	20	108	1	2	0	Dryland	Leaf	250.09	3.88	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_109_Leaf	42306_109	29/10/2015	1	22	109	5	2	250	Dryland	Leaf	476.84	4.85	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_110_Leaf	42306_110	29/10/2015	1	23	110	6	2	250	Irrigated	Leaf	552.50	5.33	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_111_Leaf	42306_111	29/10/2015	1	22	111	2	2	0	Irrigated	Leaf	267.46	3.82	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_112_Leaf	42306_112	29/10/2015	1	21	112	3	2	50	Dryland	Leaf	333.29	4.20	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_113_Leaf	42306_113	29/10/2015	1	23	113	5	3	250	Dryland	Leaf	493.08	5.33	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_114_Leaf	42306_114	29/10/2015	1	20	114	4	3	50	Irrigated	Leaf	281.35	4.57	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
