Clock.Today	Irr	Nit	Dead_DM	Grain_DM	Leaf_DM	Rachis_DM	Stem_DM	Dead_N%	Grain_N%	Leaf_N%	Rachis_N%	Stem_N%	BiomassTotal	Dead_Nup	Grain_Nup	Leaf_Nup	Rachis_Nup	Stem_Nup	BiomassTotal_Nup	SimulationName
()	()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(frac)	(frac)	(frac)	(frac)	(frac)	(g/m2)	(gN/m2)	(gN/m2)	(gN/m2)	(gN/m2)	(gN/m2)	(gN/m2)	()
2015-10-29	Nil	0	0.00	0.00	364.96	0.00	117.00	*	*	0.04	*	0.02	48.20	*	*	14.30	*	2.39	16.69	Lincoln2015Nit0IrrNil
2015-10-29	Nil	50	0.00	0.00	285.33	0.00	94.61	*	*	0.04	*	0.02	37.99	*	*	11.83	*	2.16	13.99	Lincoln2015Nit50IrrNil
2015-10-29	Nil	250	0.00	0.00	433.07	0.00	142.80	*	*	0.05	*	0.03	57.59	*	*	21.68	*	4.27	25.95	Lincoln2015Nit250IrrNil
2015-10-29	Full	0	0.00	0.00	497.12	0.00	161.40	*	*	0.04	*	0.02	65.85	*	*	21.17	*	4.00	25.16	Lincoln2015Nit0IrrFull
2015-10-29	Full	50	0.00	0.00	315.62	0.00	86.12	*	*	0.05	*	0.03	40.17	*	*	14.40	*	2.17	16.57	Lincoln2015Nit50IrrFull
2015-10-29	Full	250	0.00	0.00	436.58	0.00	126.47	*	*	0.05	*	0.03	56.31	*	*	22.06	*	3.90	25.96	Lincoln2015Nit250IrrFull
2015-11-19	Nil	0	32.67	0.00	589.93	0.00	1265.08	*	*	0.03	*	0.01	188.77	*	*	17.51	*	11.62	29.14	Lincoln2015Nit0IrrNil
2015-11-19	Nil	50	9.18	0.00	651.04	0.00	1248.73	*	*	0.03	*	0.01	190.89	*	*	21.99	*	13.46	35.45	Lincoln2015Nit50IrrNil
2015-11-19	Nil	250	0.57	0.00	1306.18	0.00	1965.60	0.01	*	0.04	*	0.02	327.23	0.00	*	56.49	*	30.75	87.25	Lincoln2015Nit250IrrNil
2015-11-19	Full	0	19.00	0.00	999.10	0.00	1439.27	0.01	*	0.03	*	0.01	245.74	0.27	*	32.05	*	14.84	47.16	Lincoln2015Nit0IrrFull
2015-11-19	Full	50	0.00	0.00	831.44	0.00	1228.25	*	*	0.03	*	0.01	205.97	*	*	28.77	*	15.24	44.01	Lincoln2015Nit50IrrFull
2015-11-19	Full	250	3.08	0.00	1583.44	0.00	1780.66	0.01	*	0.04	*	0.02	336.72	0.03	*	68.44	*	32.27	100.74	Lincoln2015Nit250IrrFull
2015-12-03	Nil	0	56.51	0.00	445.16	0.00	1807.51	0.01	*	0.03	*	0.01	230.92	0.64	*	12.30	*	13.56	26.50	Lincoln2015Nit0IrrNil
2015-12-03	Nil	50	12.82	0.00	577.98	0.00	1853.51	*	*	0.04	*	0.01	244.43	*	*	22.18	*	21.86	44.04	Lincoln2015Nit50IrrNil
2015-12-03	Nil	250	17.39	0.00	1105.88	0.00	2999.88	*	*	0.05	*	0.02	412.31	*	*	51.03	*	46.12	97.14	Lincoln2015Nit250IrrNil
2015-12-03	Full	0	53.44	0.00	695.10	0.00	2188.70	0.01	*	0.03	*	0.01	293.72	0.45	*	18.68	*	14.95	34.09	Lincoln2015Nit0IrrFull
2015-12-03	Full	50	8.27	0.00	935.52	0.00	2527.55	*	*	0.04	*	0.01	347.13	*	*	33.79	*	24.91	58.70	Lincoln2015Nit50IrrFull
2015-12-03	Full	250	25.37	0.00	1810.88	0.00	3538.23	*	*	0.05	*	0.02	537.45	*	*	86.11	*	62.49	148.59	Lincoln2015Nit250IrrFull
2015-12-15	Nil	0	73.48	0.00	345.77	0.00	2057.22	0.01	*	0.02	*	0.01	247.65	0.58	*	7.67	*	13.49	21.74	Lincoln2015Nit0IrrNil
2015-12-15	Nil	50	44.64	0.00	489.79	0.00	2288.93	*	*	0.03	*	0.01	282.34	*	*	15.78	*	20.24	36.02	Lincoln2015Nit50IrrNil
2015-12-15	Nil	250	125.91	0.00	975.73	0.00	3895.71	0.01	*	0.04	*	0.01	499.73	1.60	*	38.40	*	48.57	88.57	Lincoln2015Nit250IrrNil
2015-12-15	Full	0	106.13	0.00	669.70	0.00	2994.23	0.01	*	0.03	*	0.01	377.01	0.62	*	17.12	*	20.47	38.21	Lincoln2015Nit0IrrFull
2015-12-15	Full	50	33.52	0.00	901.50	0.00	3507.53	*	*	0.03	*	0.01	444.26	*	*	23.05	*	36.43	59.48	Lincoln2015Nit50IrrFull
2015-12-15	Full	250	56.09	0.00	1758.47	0.00	5218.73	*	*	0.04	*	0.01	703.33	*	*	77.96	*	63.21	141.17	Lincoln2015Nit250IrrFull
2016-01-06	Nil	0	200.96	2454.07	108.85	714.16	1089.20	0.01	0.02	0.02	*	0.01	456.72	1.26	40.88	2.36	*	6.66	51.15	Lincoln2015Nit0IrrNil
2016-01-06	Nil	50	228.59	3327.25	168.10	1019.95	1505.20	0.01	0.02	0.02	*	0.01	624.91	1.95	60.46	3.33	*	9.46	75.21	Lincoln2015Nit50IrrNil
2016-01-06	Nil	250	465.58	3920.58	276.38	1377.47	2917.07	0.01	0.02	0.02	*	0.01	895.71	5.12	89.87	6.49	*	22.31	123.79	Lincoln2015Nit250IrrNil
2016-01-06	Full	0	133.63	3129.31	392.49	1098.06	1692.71	0.01	0.02	0.02	*	0.01	644.62	0.87	49.42	7.90	*	9.22	67.40	Lincoln2015Nit0IrrFull
2016-01-06	Full	50	138.00	3317.03	627.29	1606.56	2997.98	0.01	0.02	0.02	*	0.01	868.69	0.96	54.24	13.77	*	17.13	86.10	Lincoln2015Nit50IrrFull
2016-01-06	Full	250	59.04	6070.10	1647.30	2242.35	5520.01	*	0.02	0.03	*	0.01	1553.88	*	130.39	55.06	*	49.33	234.78	Lincoln2015Nit250IrrFull
2016-01-25	Nil	0	1004.38	2509.21	*	630.41	*	*	0.02	*	*	*	414.40	*	44.00	*	*	*	44.00	Lincoln2015Nit0IrrNil
2016-02-01	Nil	50	1572.32	3912.48	*	1011.35	*	*	0.02	*	*	*	649.61	*	69.68	*	*	*	69.68	Lincoln2015Nit50IrrNil
2016-02-01	Nil	250	2754.40	5316.67	*	1423.21	*	*	0.02	*	*	*	949.43	*	129.51	*	*	*	129.51	Lincoln2015Nit250IrrNil
2016-02-13	Full	0	1422.07	3747.72	*	939.29	*	*	0.02	*	*	*	610.91	*	67.31	*	*	*	67.31	Lincoln2015Nit0IrrFull
2016-02-13	Full	50	2491.39	5646.89	*	1450.63	*	*	0.02	*	*	*	958.89	*	96.99	*	*	*	96.99	Lincoln2015Nit50IrrFull
2016-02-13	Full	250	4446.61	9078.29	*	2036.08	*	*	0.02	*	*	*	1556.10	*	197.50	*	*	*	197.50	Lincoln2015Nit250IrrFull
