SimulationName	Clock.Today	Oats.Ear.NConc.	Oats.Ear.Wt	Oats.Grain.Live.NConc	Oats.Grain.Live.Wt	Oats.Leaf.Dead.Nconc	Oats.Leaf.Dead.Wt	Oats.Leaf.LAI	Oats.Leaf.Live.NConc	Oats.Leaf.Live.Wt	Oats.Panicle.Live.NConc	Oats.Panicle.Wt	Oats.Stem.Live.NConc	Oats.Stem.Live.Wt	Oats.AboveGround.Nconc	Oats.AboveGround.Live.Wt	Oats.Leaf.N	Oats.Stem.N	Oats.Phenology.Stage	Oats.Structure.LeafTipsAppeared	Oats.Leaf.ExpandedCohortNo	Oats.Leaf.GreenCohortNo	Oats.Leaf.SenescingCohortNo	Oats.Leaf.DeadCohortNo	Oats.Leaf.CoverTotal	Soil.Temperature(1)	Soil.Temperature(2)	Soil.Temperature(3)	Soil.Temperature(4)	Soil.Temperature(5)	Soil.Temperature(6)	Soil.Temperature(7)	Soil.SoilNitrogen.mineral_n(1)	Soil.SoilNitrogen.mineral_n(2)	Soil.SoilNitrogen.mineral_n(3)	Soil.SoilNitrogen.mineral_n(4)	Soil.SoilNitrogen.mineral_n(5)	Soil.SoilNitrogen.mineral_n(6)	Soil.SoilNitrogen.NH4(1)	Soil.SoilNitrogen.NH4(2)	Soil.SoilNitrogen.NH4(3)	Soil.SoilNitrogen.NH4(4)	Soil.SoilNitrogen.NH4(5)	Soil.SoilNitrogen.NH4(6)	Soil.SoilNitrogen.NO3(1)	Soil.SoilNitrogen.NO3(2)	Soil.SoilNitrogen.NO3(3)	Soil.SoilNitrogen.NO3(4)	Soil.SoilNitrogen.NO3(5)	Soil.SoilNitrogen.NO3(6)	Soil.SoilNitrogen.ProfileMineralN	Soil.SoilNitrogen.ProfileNO3	Soil.SoilNitrogen.ProfileNH4	Soil.SoilWater.SW(1)	Soil.SoilWater.SW(2)	Soil.SoilWater.SW(3)	Soil.SoilWater.SW(4)	Soil.SoilWater.SW(5)	Soil.SoilWater.SW(6)	Soil.SoilWater.SW(7)	Soil.SoilWater.ProfileWater	Nit	Irr
(NA)	(yyyy-mm-dd)	(factor)	(factor)	(NA)	(NA)	(NA)	(g/m2)	(fractional)	(g/m2)	(NA)	(fractional)	(g/m2)	(perTiller)	(perTiller)	(perTiller)	(m2/m2)	(fractional)	(g/m2)	(NA)	(perTiller)	(fractional)	(g/m2)	(code)	(fractional)	(g/m2)	(NA)	(perTiller)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(kg/ha)	(NA)	(NA)	(NA)	(NA)	(mm/mm)	(mm/mm)	(mm/mm)	(mm/mm)	(mm/mm)	(mm/mm)	(mm/mm)	(oC)	(oC)	(oC)	(oC)	(oC)	(oC)
RS_Oats_1718Nit0IrrFull	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.725810417	9.55000651	9.82939349	10.42539193	11.00492786	11.64291172	12.12154219	8.10695945	6.296918787	4.406344159	4.406966346	6.844091219	4.645992807	2.509243352	2.398154745	3.059695339	3.375604378	5.551426359	2.467289573	5.597716098	3.898764043	1.34664882	1.031361968	1.29266486	2.178703234	34.70727277	15.34585902	19.36141375	0.220290625	0.26161875	0.255475	0.21695	0.19483125	0.24663125	0.16393125	395.6320313	0	Full
RS_Oats_1718Nit0IrrNil	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.657597917	9.52332526	9.897524479	10.56883099	11.20740365	12.02983099	12.53711224	21.71281902	17.23317348	14.9145501	5.328043599	4.004666089	5.093529336	3.718578522	3.541220287	4.10802079	1.170850611	2.105506421	2.310649534	17.9942405	13.6919532	10.80652931	4.157192988	1.899159668	2.782879802	68.28678163	51.33195547	16.95482616	0.325509375	0.33725	0.33775	0.19290625	0.18525625	0.24565	0.1652875	437.4689063	0	Nil
RS_Oats_1718Nit300IrrFull	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.643934896	9.452499219	9.734275521	10.32871224	10.81162891	11.50354115	12.01046953	14.5210287	8.246088086	8.210073853	5.119694893	4.580929769	4.002478827	1.87859459	1.822414647	2.964541832	2.349767654	2.39378515	1.83041166	12.64243411	6.423673439	5.24553202	2.769927239	2.187144619	2.172067167	44.68029412	31.44077859	13.23951553	0.22819375	0.2384375	0.27495625	0.30173125	0.26025625	0.19233125	0.13589375	419.5453125	300	Full
RS_Oats_1718Nit300IrrNil	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.60734974	9.591819792	9.877196615	10.55992109	11.09496693	11.84669271	12.37742214	163.1110388	42.21825297	32.72507067	17.42734048	6.633428117	8.683622175	108.3471304	12.21232448	7.358875881	4.623639036	3.572367131	3.744442766	54.76390834	30.00592849	25.36619479	12.80370144	3.061060986	4.93917941	270.7987532	130.9399735	139.8587797	0.320984375	0.35851875	0.33341875	0.278475	0.227475	0.2346625	0.17146875	475.5754688	300	Nil
RS_Oats_1718Nit50IrrFull	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.628428906	9.492722656	9.864732031	10.4702901	10.99333568	11.64269193	12.12144245	10.44796056	6.932821528	5.342769128	3.479544808	4.346554739	4.509674916	1.943274267	1.507043095	3.463306637	2.006550456	2.583222156	1.849368985	8.50468629	5.425778433	1.879462491	1.472994351	1.763332583	2.66030593	35.05932568	21.70656008	13.3527656	0.240846875	0.258475	0.25900625	0.2813375	0.24013125	0.22586875	0.121875	413.3639063	50	Full
RS_Oats_1718Nit50IrrNil	2017-06-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.578897786	9.534203125	9.843418229	10.47601328	11.08932344	11.90953828	12.43647318	48.18596266	20.36879394	18.96281135	8.696422771	4.595905483	6.012793213	14.16362689	3.566417078	3.177249099	1.022911569	2.754291185	3.705931431	34.02233578	16.80237686	15.78556225	7.673511202	1.841614298	2.306861782	106.8226894	78.43226217	28.39042725	0.315965625	0.336475	0.34985625	0.2506875	0.18411875	0.20140625	0.10468125	425.0910938	50	Nil
RS_Oats_1718Nit0IrrFull	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.117118229	9.395238021	9.701952604	10.42937318	11.0199776	11.62329974	12.08481875	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.219965625	0.2610625	0.25526875	0.2168	0.19475625	0.2465	0.1638875	395.3179688	0	Full
RS_Oats_1718Nit0IrrNil	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	7.996520833	9.315217188	9.735605208	10.54677422	11.19601771	11.97706172	12.47351432	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.32201875	0.33453125	0.335	0.19686875	0.1865875	0.2457	0.16531875	437.325	0	Nil
RS_Oats_1718Nit300IrrFull	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	7.923658724	9.290522396	9.614541406	10.33115833	10.82847448	11.48638359	11.9753401	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.22794375	0.23795	0.27466875	0.301475	0.2602625	0.19236875	0.1358875	419.2828125	300	Full
