SoilNum                            CropName                           YEAR                               Month                              AmtKg
()                                 ()                                 ()                                 ()                                 ()
4                                  Maize_sole_fertilised              2001                               5                                  1616
4                                  Maize_sole_fertilised              2002                               3                                  950
4                                  Maize_sole_fertilised              2003                               4                                  1393
4                                  Maize_sole_fertilised              2004                               4                                  1673
4                                  Maize_sole_fertilised              2005                               4                                  958
4                                  Maize_sole_fertilised              2006                               3                                  2180
4                                  Maize_sole_fertilised              2007                               3                                  1836
4                                  Maize_sole_fertilised              2008                               4                                  1816
4                                  Maize_sole_fertilised              2009                               3                                  967
4                                  Maize_sole_fertilised              2010                               3                                  1695
