SoilNum CropName     Year    Month     AmtKg
()      ()            ()      ()      ()
4       Tomatoes    2001       5      6300
4       Tomatoes    2001       10     4750
4       Tomatoes    2002       3      5600
4       Tomatoes    2002       8      5400
4       Tomatoes    2003       4      6550
4       Tomatoes    2003       9      5515
4       Tomatoes    2004       4      5400
4       Tomatoes    2004       9      4250
4       Tomatoes    2005       4      5200
4       Tomatoes    2005       9      6250
4       Tomatoes    2006       3      5950
4       Tomatoes    2006       8      6750
4       Tomatoes    2007       3      9800
4       Tomatoes    2007       8      9900
4       Tomatoes    2008       4      6350
4       Tomatoes    2008       9      5900
4       Tomatoes    2009       3      5050
4       Tomatoes    2009       8      6200
4       Tomatoes    2010       3      5900
4       Tomatoes    2010       8      5000
4       Cucumber    2001       3      3500
4       Cucumber    2001       11     4250
4       Cucumber    2002       3      3920
4       Cucumber    2002       11      4400
4       Cucumber    2003       2      6550
4       Cucumber    2003       11      5515
4       Cucumber    2004       3      5400
4       Cucumber    2004       11      4250
4       Cucumber    2005       3      3500
4       Cucumber    2005       11     4250
4       Cucumber    2006       2      3320
4       Cucumber    2006       11      4100
4       Cucumber    2007       3      3550
4       Cucumber    2007       11      3515
4       Cucumber    2008       3      3400
4       Cucumber    2008       11      4250
4       Cucumber    2009       2      4550
4       Cucumber    2009       11      3215
4       Cucumber    2010       3      3300
4       Cucumber    2010       11      4050
