SowDate,trial_code,exp_no,site,year,date,Stage,Rep,Landscape_pos,Type,cultivar,TOS,density_trt,Irrigation_trt,Fertiliser_Trt,density,AboveGround.NConc,AboveGround.wt,grain.total.wt,grain.wt,grain.protein,grain.oil,grain.number,stem.live,leaf.live,SoilWater.SW(1),SoilWater.SW(2),SoilWater.SW(3),SoilWater.SW(4),SoilWater.SW(5),SoilWater.SW(6),Nutrient.MineralN(1),Nutrient.MineralN(2),Nutrient.MineralN(3),Nutrient.MineralN(4),Nutrient.MineralN(5),Nutrient.MineralN,
(d/mm/yyyy),(),(),(),(),(d/mm/yyyy),(),(),(),(),(),(),(plants/m2),(),(kg/ha),(plants/m2),(%),(g/m2),(g/m2),(mg),(%),(%),(seeds/m2),(g/m2),(g/m2),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),
15/04/2014,CSTA14GANM2,1,Ganmain,2014,20/07/2014,6,1,,H,Hyola575,2,45,nil,nil,,,491.1531987,,,,,,292.9685746,198.184624,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,18/07/2014,6,1,,H,Hyola575,2,15,nil,nil,,,472.0683287,,,,,,251.7697753,220.2985534,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,31/07/2014,6,1,,H,45Y88,2,45,nil,nil,,,659.7972973,,,,,,460.8108108,198.9864865,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,28/08/2014,6,1,,H,44Y87,3,45,nil,nil,,,521.1111111,,,,,,344.3055556,176.8055556,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,4/08/2014,6,1,,OP_TT,Gem,3,45,nil,nil,,,459.3671341,,,,,,203.4340165,255.9331176,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,12/08/2014,6,1,,H,Hyola575,3,45,nil,nil,,,546.443406,,,,,,320.0597092,226.3836968,,,,,,,,,,,,,
13/05/2014,CSTA14GANM2,1,Ganmain,2014,4/09/2014,6,2,,H,Hyola575,4,15,nil,nil,,,427.6455026,,,,,,238.3597884,189.2857143,,,,,,,,,,,,,
13/05/2014,CSTA14GANM2,1,Ganmain,2014,12/09/2014,6,2,,H,44Y87,4,45,nil,nil,,,289.7855134,,,,,,125.7559775,164.0295359,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,28/08/2014,6,2,,H,45Y88,3,15,nil,nil,,,341.5391315,,,,,,198.9548339,142.5842976,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,20/08/2014,6,2,,H,44Y87,3,15,nil,nil,,,534.4301787,,,,,,255.9875646,278.4426141,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,18/08/2014,6,2,,H,Hyola575,3,45,nil,nil,,,641.6067762,,,,,,417.5536162,224.0531599,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,18/07/2014,6,2,,H,45Y88,1,45,nil,nil,,,540.3149138,,,,,,384.4548425,155.8600713,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,3/07/2014,6,2,,H,45Y88,1,15,nil,nil,,,508.4165003,,,,,,352.6114438,155.8050566,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,27/06/2014,6,2,,OP_TT,Gem,1,45,nil,nil,,,321.3512241,,,,,,175.2824859,146.0687382,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,31/07/2014,6,2,,H,44Y87,2,15,nil,nil,,,544.3165205,,,,,,321.8567251,222.4597953,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,29/07/2014,6,2,,H,45Y88,2,45,nil,nil,,,682.0923354,,,,,,447.2736626,234.8186728,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,11/08/2014,6,2,,H,44Y87,2,45,nil,nil,,,775.9544787,,,,,,506.0572687,269.89721,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,22/08/2014,6,3,,H,45Y88,3,15,nil,nil,,,515.6163828,,,,,,281.7903487,233.8260341,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,29/08/2014,6,3,,H,44Y87,3,45,nil,nil,,,731.6513761,,,,,,515.4816514,216.1697248,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,4/09/2014,6,3,,H_Winter,Hyola971,3,45,nil,nil,,,627.2298675,,,,,,478.9755352,148.2543323,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,30/07/2014,6,3,,H,44Y87,2,15,nil,nil,,,570.9730957,,,,,,327.4698637,243.503232,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,31/07/2014,6,3,,H_TT,Hyola559,2,45,nil,nil,,,410.5388374,,,,,,234.5936214,175.945216,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,27/07/2014,6,3,,OP_TT,Gem,2,45,nil,nil,,,376.5100671,,,,,,210.4026846,166.1073826,,,,,,,,,,,,,
13/05/2014,CSTA14GANM2,1,Ganmain,2014,12/09/2014,6,3,,H,45Y88,4,15,nil,nil,,,233.0241187,,,,,,100.3298289,132.6942898,,,,,,,,,,,,,
13/05/2014,CSTA14GANM2,1,Ganmain,2014,5/10/2014,6,3,,H_Winter,Hyola971,4,45,nil,nil,,,478.0092593,,,,,,291.6666667,186.3425926,,,,,,,,,,,,,
13/05/2014,CSTA14GANM2,1,Ganmain,2014,8/09/2014,6,3,,H,Hyola575,4,45,nil,nil,,,355.7449495,,,,,,233.7752525,121.969697,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,5/07/2014,6,3,,H_TT,Hyola559,1,45,nil,nil,,,485.3416436,,,,,,317.0898738,168.2517698,,,,,,,,,,,,,
