ApsimVersion = 7.7
Title = 7) Pongola 1986-87 N14 P
            SimulationName       ZoneName    Clock.Today           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)      no3ppm(8)      no3ppm(9)     no3ppm(10)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)         nh4(8)         nh4(9)        nh4(10)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)      nh4ppm(8)      nh4ppm(9)     nh4ppm(10)         leaves   green_leaves    dead_leaves     root_depth    rootgreenwt     stage_code         dlt_dm   dlt_dm_green   partition_xs dlt_dm_detached_root dlt_dm_detached_leaf dlt_dm_detached_cab
                        ()             ()   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)             ()             ()             ()           (mm)        (g/m^2)             ()        (g/m^2)        (g/m^2)        (g/m^2)              (g/m^2)              (g/m^2)             (g/m^2)
 "7 Pongola 1986_87 N14 P"        paddock     12/11/1986        pongola        1986-87          1.000           1986            316              1          alive              0          0.000           53.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.5            3.7            2.6            2.4            2.4            4.5            4.3            4.3            4.3            4.3            0.0         78.374          2.225          1.230          1.114          1.111          1.108          1.074          1.074          1.074          1.074            0.7            1.3            1.6            0.8            0.8            1.6            1.7            1.7            1.7            1.7          0.936          0.800          0.779          0.391          0.390          0.393          0.426          0.426          0.426          0.426          0.000          0.000          0.000        470.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     13/11/1986        pongola        1986-87          1.000           1986            317              2          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.5            4.1            3.0            2.6            2.6            4.8            4.6            4.6            4.6            4.6            0.0         78.433          2.432          1.440          1.218          1.212          1.205          1.136          1.136          1.137          1.137            0.7            1.0            1.2            0.6            0.6            1.2            1.5            1.5            1.5            1.5          0.936          0.618          0.579          0.293          0.291          0.297          0.363          0.363          0.364          0.364          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     14/11/1986        pongola        1986-87          1.000           1986            318              3          alive              0          0.000            0.0          0.000          0.400          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.6            4.4            3.4            2.8            2.8            5.2            4.8            4.8            4.8            4.8            0.0         78.496          2.626          1.627          1.309          1.299          1.289          1.190          1.190          1.190          1.190            0.7            0.8            0.8            0.4            0.4            0.9            1.2            1.2            1.2            1.2          0.936          0.457          0.406          0.208          0.206          0.213          0.309          0.310          0.310          0.310          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     15/11/1986        pongola        1986-87          1.000           1986            319              4          alive              0          0.000            0.0          0.000          2.400          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.6            4.6            3.7            3.0            2.9            5.4            5.0            5.0            5.0            5.0            0.0         78.563          2.777          1.765          1.378          1.364          1.353          1.236          1.236          1.236          1.236            0.7            0.6            0.6            0.3            0.3            0.6            1.1            1.1            1.1            1.1          0.936          0.342          0.280          0.146          0.143          0.151          0.263          0.264          0.264          0.264          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     16/11/1986        pongola        1986-87          1.000           1986            320              5          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.6            4.8            3.9            3.1            3.0            5.6            5.1            5.1            5.1            5.1            0.0         78.632          2.891          1.864          1.427          1.410          1.398          1.274          1.275          1.275          1.275            0.7            0.4            0.4            0.2            0.2            0.4            0.9            0.9            0.9            0.9          0.936          0.265          0.195          0.104          0.099          0.106          0.224          0.225          0.225          0.225          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     17/11/1986        pongola        1986-87          1.000           1986            321              6          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.7            5.0            4.0            3.1            3.1            5.7            5.3            5.3            5.3            5.3            0.0         78.702          2.977          1.933          1.461          1.443          1.430          1.308          1.308          1.308          1.308            0.7            0.4            0.3            0.2            0.1            0.3            0.8            0.8            0.8            0.8          0.936          0.215          0.139          0.075          0.070          0.075          0.191          0.192          0.192          0.192          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     18/11/1986        pongola        1986-87          1.000           1986            322              7          alive              0          0.000            0.0          0.000          0.800          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.7            5.1            4.1            3.2            3.1            5.8            5.4            5.4            5.4            5.4            0.0         78.773          3.042          1.982          1.486          1.465          1.452          1.336          1.336          1.337          1.337            0.7            0.3            0.2            0.1            0.1            0.2            0.7            0.7            0.7            0.7          0.936          0.184          0.104          0.057          0.050          0.054          0.163          0.163          0.164          0.164          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     19/11/1986        pongola        1986-87          1.000           1986            323              8          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.8            5.1            4.2            3.2            3.2            5.9            5.5            5.5            5.5            5.5            0.0         78.844          3.087          2.015          1.503          1.479          1.467          1.360          1.360          1.361          1.361            0.7            0.3            0.2            0.1            0.1            0.2            0.6            0.6            0.6            0.6          0.936          0.168          0.083          0.046          0.038          0.041          0.138          0.139          0.140          0.140          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     20/11/1986        pongola        1986-87          1.000           1986            324              9          alive              0          0.000            0.0          0.000          0.500          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.8            5.2            4.3            3.3            3.2            5.9            5.5            5.6            5.6            5.6            0.0         78.915          3.125          2.040          1.516          1.490          1.478          1.380          1.381          1.382          1.382            0.7            0.3            0.1            0.1            0.1            0.1            0.5            0.5            0.5            0.5          0.936          0.157          0.068          0.038          0.029          0.031          0.118          0.119          0.119          0.119          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "7 Pongola 1986_87 N14 P"        paddock     21/11/1986        pongola        1986-87          1.000           1986            325             10          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           54.9            5.3            4.3            3.3            3.2            6.0            5.6            5.6            5.6            5.6            0.0         78.986          3.165          2.063          1.527          1.499          1.486          1.398          1.399          1.399          1.399            0.7            0.2            0.1            0.1            0.0            0.1            0.4            0.4            0.4            0.4          0.936          0.148          0.057          0.032          0.023          0.023          0.100          0.101          0.101          0.101          0.000          0.000          0.000        470.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
