ApsimVersion = 7.7
Title = 15) Ingham 1991-92 Q117 P
             SimulationName       ZoneName    Clock.Today           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)         leaves   green_leaves    dead_leaves     root_depth    rootgreenwt     stage_code         dlt_dm   dlt_dm_green   partition_xs dlt_dm_detached_root dlt_dm_detached_leaf dlt_dm_detached_cab
                         ()             ()   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)             ()             ()             ()           (mm)        (g/m^2)             ()        (g/m^2)        (g/m^2)        (g/m^2)              (g/m^2)              (g/m^2)             (g/m^2)
 "15 Ingham 1991_92 Q117 P"        paddock     26/07/1991         ingham        1991-92          1.000           1991            207             11          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           23.2            9.2            5.5            6.4            6.4            6.6            6.6            0.0         10.069          3.425          1.976          1.467          1.467          1.464          1.468            3.8            0.9            0.3            0.2            0.2            0.2            0.2          1.636          0.345          0.118          0.044          0.040          0.035          0.034          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     27/07/1991         ingham        1991-92          1.000           1991            208             12          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           24.3            9.5            5.6            6.4            6.4            6.6            6.6            0.0         10.544          3.535          2.009          1.479          1.477          1.473          1.477            3.1            0.9            0.3            0.1            0.1            0.1            0.1          1.369          0.326          0.096          0.034          0.030          0.026          0.025          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     28/07/1991         ingham        1991-92          1.000           1991            209             13          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           25.1            9.8            5.7            6.5            6.5            6.7            6.7            0.0         10.910          3.630          2.034          1.487          1.485          1.480          1.483            2.7            0.9            0.2            0.1            0.1            0.1            0.1          1.187          0.315          0.082          0.027          0.024          0.020          0.019          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     29/07/1991         ingham        1991-92          1.000           1991            210             14          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           25.8           10.0            5.8            6.5            6.5            6.7            6.7            0.0         11.211          3.715          2.054          1.493          1.490          1.484          1.488            2.4            0.8            0.2            0.1            0.1            0.1            0.1          1.052          0.308          0.071          0.022          0.019          0.015          0.015          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     30/07/1991         ingham        1991-92          1.000           1991            211             15          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           26.4           10.2            5.8            6.5            6.5            6.7            6.7            0.0         11.463          3.792          2.071          1.498          1.495          1.488          1.491            2.2            0.8            0.2            0.1            0.1            0.1            0.1          0.951          0.304          0.064          0.018          0.015          0.012          0.012          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     31/07/1991         ingham        1991-92          1.000           1991            212             16          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           26.9           10.4            5.8            6.5            6.5            6.7            6.7            0.0         11.692          3.869          2.086          1.502          1.498          1.490          1.494            2.0            0.8            0.2            0.1            0.1            0.0            0.0          0.867          0.301          0.058          0.015          0.013          0.010          0.009          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     01/08/1991         ingham        1991-92          1.000           1991            213             17          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           27.4           10.7            5.9            6.6            6.5            6.7            6.7            0.0         11.911          3.947          2.100          1.506          1.501          1.492          1.496            1.8            0.8            0.2            0.1            0.0            0.0            0.0          0.793          0.298          0.054          0.013          0.010          0.008          0.007          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     02/08/1991         ingham        1991-92          1.000           1991            214             18          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           27.9           10.9            5.9            6.6            6.5            6.7            6.7            0.0         12.127          4.029          2.114          1.509          1.504          1.494          1.498            1.7            0.8            0.1            0.0            0.0            0.0            0.0          0.725          0.294          0.050          0.011          0.009          0.006          0.006          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     03/08/1991         ingham        1991-92          1.000           1991            215             19          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           28.4           11.1            6.0            6.6            6.6            6.7            6.7            0.0         12.332          4.113          2.128          1.512          1.506          1.495          1.499            1.5            0.8            0.1            0.0            0.0            0.0            0.0          0.666          0.290          0.046          0.009          0.007          0.005          0.004          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     04/08/1991         ingham        1991-92          1.000           1991            216             20          alive              0          0.000            0.0          0.000          0.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           28.8           11.3            6.0            6.6            6.6            6.7            6.8            0.0         12.522          4.196          2.140          1.514          1.508          1.497          1.500            1.4            0.8            0.1            0.0            0.0            0.0            0.0          0.617          0.288          0.044          0.008          0.006          0.004          0.004          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
