Title	Experiment	dd/mm/yyyy	SW(1)	SW(2)	SW(3)	SW(4)	SW(5)	sw(6)	sw(7)	Profile_SW
()	()	()	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm)
SCRI_1984_240N	SCRI_1984	2/08/1984	0.346	0.301	0.273	0.335	0.311	0.421	0.551	297.05
SCRI_1984_240N	SCRI_1984	10/08/1984	0.332	0.325	0.323	0.420	0.473	0.428	0.437	315.3
SCRI_1984_240N	SCRI_1984	10/08/1984	0.336	0.317	0.261	0.245	0.214	0.225	0.322	234
SCRI_1984_240N	SCRI_1984	10/08/1984	0.315	0.282	0.263	0.326	0.304	0.413	0.556	285.2
SCRI_1984_240N	SCRI_1984	22/08/1984	0.307	0.296	0.299	0.411	0.460	0.438	0.442	303.6
SCRI_1984_240N	SCRI_1984	22/08/1984	-0.066	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-74.25
SCRI_1984_240N	SCRI_1984	22/08/1984	0.255	0.248	0.214	0.284	0.267	0.398	0.540	252.4
SCRI_1984_240N	SCRI_1984	29/08/1984	0.313	0.296	0.291	0.416	0.457	0.431	0.438	303.25
SCRI_1984_240N	SCRI_1984	29/08/1984	0.351	0.305	0.235	0.209	0.190	0.234	0.363	232.5
SCRI_1984_240N	SCRI_1984	29/08/1984	0.292	0.247	0.223	0.256	0.275	0.445	0.569	267.2
SCRI_1984_240N	SCRI_1984	13/09/1984	0.386	0.343	0.324	0.438	0.468	0.444	0.448	333.35
SCRI_1984_240N	SCRI_1984	13/09/1984	0.366	0.328	0.254	0.237	0.219	0.262	0.358	248.15
SCRI_1984_240N	SCRI_1984	13/09/1984	0.343	0.292	0.272	0.330	0.317	0.433	0.577	299.2
SCRI_1984_0N	SCRI_1984	27/06/1984	0.333	0.318	0.313	0.370	0.384	0.404	0.449	298.8
SCRI_1984_0N	SCRI_1984	27/06/1984	0.330	0.314	0.287	0.360	0.350	0.301	0.285	263.95
SCRI_1984_0N	SCRI_1984	27/06/1984	0.301	0.318	0.303	0.418	0.483	0.589	0.290	307.9
SCRI_1984_0N	SCRI_1984	4/07/1984	0.314	0.304	0.294	0.364	0.373	0.405	0.442	288.85
SCRI_1984_0N	SCRI_1984	4/07/1984	0.287	0.290	0.270	0.352	0.335	0.284	0.281	245.85
SCRI_1984_0N	SCRI_1984	4/07/1984	0.260	0.295	0.294	0.397	0.481	0.578	0.292	292.2
SCRI_1984_0N	SCRI_1984	12/07/1984	0.294	0.304	0.292	0.376	0.368	0.407	0.436	284.45
SCRI_1984_0N	SCRI_1984	12/07/1984	0.298	0.292	0.273	0.349	0.349	0.292	0.272	249.75
SCRI_1984_0N	SCRI_1984	12/07/1984	0.301	0.314	0.299	0.416	0.478	0.582	0.290	305.7
SCRI_1984_0N	SCRI_1984	18/07/1984	0.357	0.328	0.302	0.375	0.378	0.404	0.446	303.7
SCRI_1984_0N	SCRI_1984	18/07/1984	0.340	0.312	0.278	0.351	0.351	0.287	0.277	262.1
SCRI_1984_0N	SCRI_1984	18/07/1984	0.326	0.304	0.252	0.318	0.374	0.475	0.290	274.65
SCRI_1984_0N	SCRI_1984	25/07/1984	0.294	0.313	0.287	0.359	0.372	0.402	0.446	284.05
SCRI_1984_0N	SCRI_1984	25/07/1984	0.301	0.303	0.286	0.349	0.296	0.275	0.303	248.85
SCRI_1984_0N	SCRI_1984	25/07/1984	0.294	0.315	0.291	0.405	0.478	0.594	0.290	303.45
SCRI_1984_0N	SCRI_1984	2/08/1984	0.387	0.348	0.319	0.376	0.388	0.416	0.462	318.05
SCRI_1984_0N	SCRI_1984	2/08/1984	0.375	0.341	0.294	0.349	0.355	0.292	0.277	275.1
SCRI_1984_0N	SCRI_1984	2/08/1984	0.371	0.350	0.306	0.426	0.479	0.587	0.308	329.15
SCRI_1984_0N	SCRI_1984	10/08/1984	0.345	0.331	0.313	0.381	0.378	0.401	0.450	302.95
SCRI_1984_0N	SCRI_1984	10/08/1984	0.328	0.316	0.275	0.354	0.349	0.297	0.284	261.3
SCRI_1984_0N	SCRI_1984	10/08/1984	0.316	0.318	0.297	0.388	0.470	0.588	0.312	308.4
SCRI_1984_0N	SCRI_1984	22/08/1984	0.342	0.330	0.308	0.373	0.368	0.408	0.449	300.55
SCRI_1984_0N	SCRI_1984	22/08/1984	0.297	0.289	0.255	0.330	0.323	0.270	0.264	240
SCRI_1984_0N	SCRI_1984	22/08/1984	0.296	0.307	0.276	0.360	0.449	0.595	0.303	295.6
