SimulationName   Clock.Today  PotatoHarvestRule.Script.FinalTag  Potato.Leaf.Live.Nconc  Potato.Stem.Live.Nconc  Potato.Tuber.Live.Nconc  Potato.Leaf.Live.Wt  Potato.Stem.Live.Wt  Potato.Tuber.Live.Wt  Potato.Summariser.Total.Live.Wt  Potato.Leaf.LAI  Potato.Leaf.LiveN  Potato.Stem.Live.N  Potato.Tuber.Live.N  Potato.Total.Live.N  Potato.Tuber.DMconc  Potato.Tuber.LiveFWt  Potato.Summariser.AboveGround.Live.Wt  Potato.Summariser.Aboveground.Live.N  ExtraVariables.Script.AccumTtemerg  Potato.Summariser.AboveGround.Dead.N  Potato.Summariser.AboveGroundDeadWt  Potato.Leaf.SpecificArea
()  (yyyy-mm-dd)  ()  (%)  (%)  (%)  (g/m2)  (g/m2)  (g/m2)  (g/m2)  ()  (g/m2)  (g/m2)  (g/m2)  (g/m2)  (%)  (g/m2)  (g/m2)  (g/m2)  (oCd)  (g/m2)  (g/m2)  (mm^2/g)
BaxtersSowing14OctPopulation4  1998-12-07  *  *  *  *  37.79  29.40  7.24  141.61  0.97  *  *  *  *  0.224  26.02  67.19  *  226.51  *  *  25652.76
BaxtersSowing14OctPopulation4  1998-12-21  *  *  *  *  92.96  69.76  111.04  436.48  2.70  *  *  *  *  0.167  660.89  162.72  *  397.28  *  *  29193.66
BaxtersSowing14OctPopulation4  1999-01-05  *  *  *  *  129.45  124.32  419.43  926.98  3.66  *  *  *  *  0.218  1913.49  253.77  *  594.26  *  *  28373.47
BaxtersSowing14OctPopulation4  1999-01-18  *  *  *  *  153.88  166.54  643.15  1283.98  4.67  *  *  *  *  0.195  3353.75  320.42  *  770.47  *  *  30349.55
BaxtersSowing14OctPopulation4  1999-02-01  *  *  *  *  158.78  187.83  1166.92  1860.14  5.44  *  *  *  *  0.240  4861.32  346.61  *  961.25  *  *  34071.93
BaxtersSowing14OctPopulation4  1999-02-15  *  *  *  *  100.65  160.24  1214.67  1736.46  3.30  *  *  *  *  0.251  4801.58  260.89  *  1156.60  *  *  32752.22
BaxtersSowing14OctPopulation4  1999-03-01  *  *  *  *  74.93  174.85  1574.49  2074.06  2.55  *  *  *  *  0.257  6132.61  249.78  *  1333.06  *  *  34000.00
BaxtersSowing14OctPopulation4  1999-03-16  *  *  *  *  33.09  132.35  1534.13  1865.01  1.12  *  *  *  *  0.252  6082.39  165.44  *  1526.82  *  *  34000.00
BaxtersSowing14OctPopulation4  1999-04-27  yield  *  *  *  *  *  1612.60  1612.60  *  *  *  *  *  0.252  6375.72  *  *  *  *  *  *
BaxtersSowing2NovPopulation2  1998-12-21  *  *  *  *  50.40  37.65  5.09  181.18  1.33  *  *  *  *  0.179  31.31  88.05  *  252.26  *  *  26325.26
BaxtersSowing2NovPopulation2  1999-01-05  *  *  *  *  101.11  83.35  109.84  478.77  2.80  *  *  *  *  0.165  643.47  184.46  *  449.23  *  *  27106.04
BaxtersSowing2NovPopulation2  1999-01-18  *  *  *  *  131.33  140.38  172.51  715.94  3.65  *  *  *  *  0.096  1786.22  271.72  *  625.45  *  *  27762.52
BaxtersSowing2NovPopulation2  1999-02-01  *  *  *  *  127.06  181.20  561.94  1178.46  3.93  *  *  *  *  0.213  2639.46  308.26  *  816.23  *  *  30730.74
BaxtersSowing2NovPopulation2  1999-02-15  *  *  *  *  122.09  203.20  883.18  1533.76  3.64  *  *  *  *  0.241  3657.64  325.29  *  1011.58  *  *  29929.57
BaxtersSowing2NovPopulation2  1999-03-01  *  *  *  *  79.02  184.37  1019.89  1546.65  2.45  *  *  *  *  0.231  4394.87  263.38  *  1188.04  *  *  31000.00
BaxtersSowing2NovPopulation2  1999-03-16  *  *  *  *  31.70  126.78  1143.60  1460.55  0.98  *  *  *  *  0.253  4500.25  158.48  *  1381.80  *  *  31000.00
BaxtersSowing2NovPopulation2  1999-04-27  yield  *  *  *  *  *  1402.46  1402.46  *  *  *  *  *  0.247  5702.16  *  *  1854.28  *  *  *
BaxtersSowing2NovPopulation4  1998-12-21  *  *  *  *  71.55  46.78  11.11  247.76  2.00  *  *  *  *  0.156  70.63  118.33  *  252.26  *  *  27943.68
BaxtersSowing2NovPopulation4  1999-01-05  *  *  *  *  147.16  124.18  212.50  755.17  4.44  *  *  *  *  0.171  1232.32  271.33  *  449.23  *  *  30094.08
BaxtersSowing2NovPopulation4  1999-01-18  *  *  *  *  134.80  167.51  361.90  966.52  3.99  *  *  *  *  0.174  2183.84  302.31  *  625.45  *  *  29466.39
BaxtersSowing2NovPopulation4  1999-02-01  *  *  *  *  146.92  204.16  886.34  1588.51  4.89  *  *  *  *  0.214  4147.76  351.08  *  816.23  *  *  33057.45
