SimulationName   Clock.Today  PotatoHarvestRule.Script.FinalTag  Potato.Leaf.Live.Nconc  Potato.Stem.Live.Nconc  Potato.Tuber.Live.Nconc  Potato.Leaf.Live.Wt  Potato.Stem.Live.Wt  Potato.Tuber.Live.Wt  Potato.Summariser.Total.Live.Wt  Potato.Leaf.LAI  Potato.Leaf.LiveN  Potato.Stem.Live.N  Potato.Tuber.Live.N  Potato.Total.Live.N  Potato.Tuber.DMconc  Potato.Tuber.LiveFWt  Potato.Summariser.AboveGround.Live.Wt  Potato.Summariser.Aboveground.Live.N  ExtraVariables.Script.AccumTtemerg  Potato.Summariser.AboveGround.Dead.N  Potato.Summariser.AboveGroundDeadWt  Potato.Leaf.SpecificArea
()  (yyyy-mm-dd)  ()  (%)  (%)  (%)  (g/m2)  (g/m2)  (g/m2)  (g/m2)  ()  (g/m2)  (g/m2)  (g/m2)  (g/m2)  (%)  (g/m2)  (g/m2)  (g/m2)  (oCd)  (g/m2)  (g/m2)  (mm^2/g)
PYMCultivarBurbankSowingNov99  2000-04-26  *  *  *  *  *  141.87  1823.52  1965.39  0.00  *  *  *  *  0.204  8905.77  141.87  *  1942.86  *  *  *
PYMCultivarBurbankSowingNov99  2000-05-08  yield  *  *  *  *  128.05  1760.67  1888.72  0.00  *  *  *  *  0.212  8293.07  128.05  *  1942.86  *  *  *
PYMCultivarBurbankSowingOct99  1999-11-22  *  *  *  *  21.62  8.79  *  30.41  0.38  *  *  *  *  *  *  30.41  *  132.81  *  *  16447.13
PYMCultivarBurbankSowingOct99  1999-12-06  *  *  *  *  89.69  58.85  25.97  174.51  2.29  *  *  *  *  0.131  194.50  148.54  *  310.37  *  *  24948.94
PYMCultivarBurbankSowingOct99  1999-12-20  *  *  *  *  148.76  115.13  271.64  535.52  3.91  *  *  *  *  0.165  1636.62  263.89  *  484.61  *  *  25906.15
PYMCultivarBurbankSowingOct99  2000-01-05  *  *  *  *  181.67  157.83  594.87  934.37  5.13  *  *  *  *  0.182  3252.31  339.50  *  694.52  *  *  28080.92
PYMCultivarBurbankSowingOct99  2000-01-17  *  *  *  *  220.91  205.74  928.99  1355.64  6.17  *  *  *  *  0.191  4826.46  426.65  *  858.87  *  *  27840.98
PYMCultivarBurbankSowingOct99  2000-01-31  *  *  *  *  167.23  196.76  1164.62  1528.61  5.24  *  *  *  *  0.216  5380.79  363.99  *  1042.99  *  *  31073.25
PYMCultivarBurbankSowingOct99  2000-02-14  *  *  *  *  183.65  179.67  1553.92  1917.24  4.67  *  *  *  *  0.229  6767.95  363.32  *  1224.01  *  *  25423.08
PYMCultivarBurbankSowingOct99  2000-02-28  *  *  *  *  125.58  146.81  1708.54  1980.93  2.82  *  *  *  *  0.242  7054.75  272.39  *  1405.44  *  *  22552.77
PYMCultivarBurbankSowingOct99  2000-03-13  *  *  *  *  72.21  113.51  1640.37  1826.10  1.69  *  *  *  *  0.213  7655.81  185.73  *  1588.47  *  *  23526.03
PYMCultivarBurbankSowingOct99  2000-03-27  *  *  *  *  33.03  82.73  1972.32  2088.08  0.63  *  *  *  *  0.228  8646.18  115.76  *  1760.26  *  *  17060.15
PYMCultivarBurbankSowingOct99  2000-04-17  *  *  *  *  *  93.39  1814.35  1907.74  0.00  *  *  *  *  0.222  8128.64  93.39  *  1937.96  *  *  *
PYMCultivarBurbankSowingOct99  2000-05-01  yield  *  *  *  *  121.07  2061.95  2183.02  0.00  *  *  *  *  0.210  9839.51  121.07  *  1937.96  *  *  *
PYMCultivarFiannaSowingDec98  1998-12-30  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  0.00  *  *  *
PYMCultivarFiannaSowingDec98  1999-01-11  *  *  *  *  7.05  6.63  *  13.76  0.16  *  *  *  *  *  *  13.76  *  118.37  *  *  24752.04
PYMCultivarFiannaSowingDec98  1999-01-25  *  *  *  *  32.68  37.02  6.67  76.97  0.86  *  *  *  *  0.142  41.05  71.97  *  328.52  *  *  25986.19
PYMCultivarFiannaSowingDec98  1999-02-23  *  *  *  *  96.83  122.28  259.76  481.00  2.92  *  *  *  *  0.174  1502.24  221.23  *  735.16  *  *  29545.02
PYMCultivarFiannaSowingDec98  1999-04-20  *  *  *  *  69.97  141.50  975.39  1187.73  1.88  *  *  *  *  0.200  4871.18  212.34  *  1478.88  *  *  26783.81
PYMCultivarFiannaSowingDec98  1999-02-08  *  *  *  *  82.57  81.42  124.45  290.97  2.28  *  *  *  *  0.169  741.31  166.52  *  524.49  *  *  27199.04
PYMCultivarFiannaSowingDec98  1999-03-09  *  *  *  *  124.02  190.22  525.27  841.80  4.12  *  *  *  *  0.192  2723.92  316.53  *  933.90  *  *  33370.75
PYMCultivarFiannaSowingDec98  1999-03-22  *  *  *  *  112.01  199.77  723.94  1037.41  3.80  *  *  *  *  0.190  3795.04  313.48  *  1117.96  *  *  32718.69
PYMCultivarFiannaSowingDec98  1999-04-06  *  *  *  *  87.85  224.71  909.38  1223.42  2.95  *  *  *  *  0.189  4813.82  314.04  *  1327.79  *  *  33519.42
PYMCultivarFiannaSowingDec98  1999-05-04  yield  *  *  *  *  *  972.53  972.53  0.03  *  *  *  *  0.191  5130.51  *  *  1640.03  *  *  *
PYMCultivarFiannaSowingNov98  1998-12-21  *  *  *  *  11.91  9.58  1.55  23.86  0.84  *  *  *  *  0.147  10.90  22.31  *  188.25  *  *  70432.83
PYMCultivarFiannaSowingNov98  1999-01-05  *  *  *  *  109.19  121.50  67.63  304.95  2.51  *  *  *  *  0.149  451.56  237.32  *  390.69  *  *  22926.35
PYMCultivarFiannaSowingNov98  1999-01-18  *  *  *  *  150.10  206.57  218.02  581.46  4.43  *  *  *  *  0.148  1468.95  363.44  *  575.61  *  *  29435.45
PYMCultivarFiannaSowingNov98  1999-02-01  *  *  *  *  146.81  276.57  326.27  763.35  4.69  *  *  *  *  0.161  2022.10  437.08  *  778.99  *  *  31832.28
PYMCultivarFiannaSowingNov98  1999-02-15  *  *  *  *  179.55  250.48  555.73  996.34  5.56  *  *  *  *  0.176  3146.97  440.61  *  976.95  *  *  31032.17
PYMCultivarFiannaSowingNov98  1999-03-16  *  *  *  *  127.07  288.06  1185.66  1608.99  3.84  *  *  *  *  0.203  5811.06  423.32  *  1388.71  *  *  30045.81
PYMCultivarFiannaSowingNov98  1999-04-12  *  *  *  *  25.80  109.42  1306.80  1446.42  0.54  *  *  *  *  0.197  6605.91  139.62  *  1749.47  *  *  20620.27
PYMCultivarFiannaSowingNov98  1999-03-02  *  *  *  *  143.61  252.61  643.15  947.91  3.77  *  *  *  *  0.196  3265.41  406.34  *  1181.74  *  *  25889.17
PYMCultivarFiannaSowingNov98  1999-03-29  *  *  *  *  51.75  200.88  1117.57  1378.80  1.28  *  *  *  *  0.201  5555.41  261.23  *  1566.64  *  *  24793.42
PYMCultivarFiannaSowingNov98  1999-04-26  yield  *  *  *  13.83  54.69  1596.31  1665.69  0.31  *  *  *  *  0.208  7655.28  69.38  *  1903.39  *  *  20216.39
PYMCultivarFiannaSowingNov99  1999-11-30  *  *  *  *  3.11  7.04  *  10.15  0.05  *  *  *  *  *  *  10.15  *  31.15  *  *  15223.89
PYMCultivarFiannaSowingNov99  1999-12-13  *  *  *  *  36.36  19.36  2.58  58.30  0.82  *  *  *  *  0.140  17.93  55.72  *  198.23  *  *  22500.27
PYMCultivarFiannaSowingNov99  1999-12-29  *  *  *  *  92.90  66.16  107.39  266.45  1.90  *  *  *  *  0.159  674.20  159.06  *  401.98  *  *  20157.22
PYMCultivarFiannaSowingNov99  2000-01-10  *  *  *  *  134.64  113.52  287.43  535.59  3.61  *  *  *  *  0.161  1810.50  248.16  *  570.48  *  *  26624.02
PYMCultivarFiannaSowingNov99  2000-01-24  *  *  *  *  149.05  159.92  554.88  863.85  3.79  *  *  *  *  0.195  2856.93  308.97  *  756.08  *  *  25408.68
PYMCultivarFiannaSowingNov99  2000-02-07  *  *  *  *  183.02  216.20  889.28  1288.50  4.81  *  *  *  *  0.206  4312.98  399.22  *  931.76  *  *  26057.71
PYMCultivarFiannaSowingNov99  2000-02-21  *  *  *  *  167.37  224.80  1032.72  1424.89  4.62  *  *  *  *  0.216  4755.05  392.17  *  1124.58  *  *  27208.92
PYMCultivarFiannaSowingNov99  2000-03-06  *  *  *  *  148.01  217.11  1286.90  1652.02  4.22  *  *  *  *  0.211  6086.78  365.12  *  1304.53  *  *  28297.56
PYMCultivarFiannaSowingNov99  2000-03-20  *  *  *  *  113.32  204.85  1610.50  1928.67  2.90  *  *  *  *  0.223  7234.08  318.17  *  1478.45  *  *  25092.23
PYMCultivarFiannaSowingNov99  2000-04-03  *  *  *  *  76.66  204.05  1729.34  2010.05  1.82  *  *  *  *  0.211  8198.69  280.71  *  1654.30  *  *  21949.36
PYMCultivarFiannaSowingNov99  2000-04-26  *  *  *  *  *  171.77  1863.82  2035.60  0.00  *  *  *  *  0.216  8636.01  171.77  *  1942.86  *  *  *
PYMCultivarFiannaSowingNov99  2000-05-08  yield  *  *  *  *  161.68  1798.72  1960.40  0.00  *  *  *  *  0.211  8468.78  161.68  *  1942.86  *  *  *
PYMCultivarFiannaSowingOct99  1999-11-22  *  *  *  *  28.40  13.22  8.72  43.80  0.47  *  *  *  *  0.150  58.13  41.62  *  132.81  *  *  15617.12
PYMCultivarFiannaSowingOct99  1999-12-06  *  *  *  *  70.54  44.67  59.63  174.85  1.57  *  *  *  *  0.142  416.88  115.22  *  310.37  *  *  21907.45
PYMCultivarFiannaSowingOct99  1999-12-20  *  *  *  *  111.58  98.26  269.77  479.61  2.58  *  *  *  *  0.181  1488.53  209.85  *  484.61  *  *  23158.51
PYMCultivarFiannaSowingOct99  2000-01-05  *  *  *  *  170.24  159.96  625.46  955.66  4.38  *  *  *  *  0.196  3155.91  330.20  *  694.52  *  *  25337.63
PYMCultivarFiannaSowingOct99  2000-01-17  *  *  *  *  183.69  193.78  877.42  1254.89  4.90  *  *  *  *  0.211  4139.30  377.48  *  858.87  *  *  26530.30
PYMCultivarFiannaSowingOct99  2000-01-31  *  *  *  *  189.66  248.82  1106.78  1545.26  5.60  *  *  *  *  0.220  5015.11  438.48  *  1042.99  *  *  29253.39
PYMCultivarFiannaSowingOct99  2000-02-14  *  *  *  *  165.52  223.55  1248.60  1637.67  4.21  *  *  *  *  0.201  6003.78  389.07  *  1224.01  *  *  25446.80
PYMCultivarFiannaSowingOct99  2000-02-28  *  *  *  *  150.11  224.21  1862.97  2237.30  3.85  *  *  *  *  0.249  7467.54  374.32  *  1405.44  *  *  25713.72
PYMCultivarFiannaSowingOct99  2000-03-13  *  *  *  *  101.95  201.79  1951.19  2254.92  2.48  *  *  *  *  0.232  8383.13  303.73  *  1588.47  *  *  24238.10
PYMCultivarFiannaSowingOct99  2000-03-27  *  *  *  *  79.72  208.42  1735.67  2023.81  1.78  *  *  *  *  0.188  9143.30  288.14  *  1760.26  *  *  22119.14
PYMCultivarFiannaSowingOct99  2000-04-17  *  *  *  *  *  140.67  2142.47  2283.14  0.00  *  *  *  *  0.234  9143.83  140.67  *  1937.96  *  *  *
PYMCultivarFiannaSowingOct99  2000-05-01  yield  *  *  *  *  144.91  1986.13  2131.04  0.00  *  *  *  *  0.220  9024.63  144.91  *  1937.96  *  *  *
PYMCultivarRangerSowingDec98  1998-12-30  *  *  *  *  1.95  2.45  *  4.40  0.03  *  *  *  *  *  *  4.40  *  0.00  *  *  15004.44
PYMCultivarRangerSowingDec98  1999-01-11  *  *  *  *  23.53  19.48  *  43.65  0.41  *  *  *  *  *  *  43.65  *  118.37  *  *  17598.85
PYMCultivarRangerSowingDec98  1999-01-25  *  *  *  *  78.52  78.67  2.93  165.38  2.45  *  *  *  *  0.137  21.09  162.45  *  328.52  *  *  30488.84
PYMCultivarRangerSowingDec98  1999-02-23  *  *  *  *  155.88  214.14  336.53  712.89  5.47  *  *  *  *  0.181  1859.44  376.36  *  735.16  *  *  34639.14
PYMCultivarRangerSowingDec98  1999-04-20  *  *  *  *  0.73  83.22  1011.44  1097.20  0.02  *  *  *  *  0.207  4878.95  85.76  *  1478.88  *  *  133.14
PYMCultivarRangerSowingDec98  1999-02-08  *  *  *  *  132.18  141.57  120.27  398.61  4.27  *  *  *  *  0.168  719.89  278.34  *  524.49  *  *  30777.12
PYMCultivarRangerSowingDec98  1999-03-09  *  *  *  *  143.90  233.20  639.40  1023.12  4.77  *  *  *  *  0.204  3129.76  383.72  *  933.90  *  *  33228.63
PYMCultivarRangerSowingDec98  1999-03-22  *  *  *  *  137.19  205.56  926.22  1274.28  3.87  *  *  *  *  0.212  4366.87  348.06  *  1117.96  *  *  28174.72
PYMCultivarRangerSowingDec98  1999-04-06  *  *  *  *  63.26  160.55  996.76  1225.50  1.99  *  *  *  *  0.207  4821.44  228.74  *  1327.79  *  *  31309.56
PYMCultivarRangerSowingDec98  1999-05-04  yield  *  *  *  *  *  1028.33  1028.33  *  *  *  *  *  0.204  5043.40  *  *  1640.03  *  *  *
PYMCultivarRangerSowingNov98  1998-12-21  *  *  *  *  18.57  13.44  8.85  41.52  1.25  *  *  *  *  0.146  60.53  32.67  *  188.25  *  *  67095.95
PYMCultivarRangerSowingNov98  1999-01-05  *  *  *  *  123.11  127.71  96.80  351.08  3.02  *  *  *  *  0.155  622.54  254.28  *  390.69  *  *  24217.98
PYMCultivarRangerSowingNov98  1999-01-18  *  *  *  *  158.37  191.40  217.09  569.69  5.13  *  *  *  *  0.158  1370.02  352.60  *  575.61  *  *  32053.21
PYMCultivarRangerSowingNov98  1999-02-01  *  *  *  *  169.60  247.38  352.32  773.09  5.89  *  *  *  *  0.171  2056.49  420.77  *  778.99  *  *  34922.41
PYMCultivarRangerSowingNov98  1999-02-15  *  *  *  *  185.76  278.43  538.43  1005.02  5.69  *  *  *  *  0.188  2854.42  466.58  *  976.95  *  *  30435.94
PYMCultivarRangerSowingNov98  1999-03-16  *  *  *  *  139.62  301.04  1091.10  1536.40  4.18  *  *  *  *  0.208  5250.07  445.30  *  1388.71  *  *  30043.42
PYMCultivarRangerSowingNov98  1999-04-12  *  *  *  *  14.66  74.85  1043.44  1134.16  0.36  *  *  *  *  0.205  5106.89  90.72  *  1749.47  *  *  22938.03
PYMCultivarRangerSowingNov98  1999-03-02  *  *  *  *  143.29  240.52  763.35  1152.36  4.29  *  *  *  *  0.219  3478.76  389.00  *  1181.74  *  *  29967.21
PYMCultivarRangerSowingNov98  1999-03-29  *  *  *  *  32.92  198.93  1321.50  1556.48  0.70  *  *  *  *  0.214  6173.92  234.98  *  1566.64  *  *  20924.58
PYMCultivarRangerSowingNov98  1999-04-26  yield  *  *  *  4.00  5.94  1354.43  1364.48  0.09  *  *  *  *  0.210  6428.69  10.05  *  1903.39  *  *  133.13
PYMCultivarRangerSowingNov99  1999-11-30  *  *  *  *  9.41  11.61  *  21.02  0.18  *  *  *  *  *  *  21.02  *  31.15  *  *  19242.55
PYMCultivarRangerSowingNov99  1999-12-13  *  *  *  *  60.35  30.79  9.37  100.52  1.41  *  *  *  *  0.154  60.50  91.15  *  198.23  *  *  23268.45
PYMCultivarRangerSowingNov99  1999-12-29  *  *  *  *  122.97  71.52  134.56  329.05  2.88  *  *  *  *  0.148  900.45  194.49  *  401.98  *  *  23216.61
PYMCultivarRangerSowingNov99  2000-01-10  *  *  *  *  158.19  118.02  403.69  679.91  4.27  *  *  *  *  0.187  2154.16  276.22  *  570.48  *  *  26661.76
PYMCultivarRangerSowingNov99  2000-01-24  *  *  *  *  169.60  159.36  695.60  1024.56  4.67  *  *  *  *  0.203  3435.97  328.97  *  756.08  *  *  27400.21
PYMCultivarRangerSowingNov99  2000-02-07  *  *  *  *  175.03  152.20  966.46  1293.69  4.92  *  *  *  *  0.214  4510.04  327.23  *  931.76  *  *  28302.62
PYMCultivarRangerSowingNov99  2000-02-21  *  *  *  *  166.40  153.77  1278.02  1598.19  4.48  *  *  *  *  0.222  5734.09  320.17  *  1124.58  *  *  26962.71
PYMCultivarRangerSowingNov99  2000-03-06  *  *  *  *  134.40  139.19  1410.36  1683.96  3.47  *  *  *  *  0.220  6418.99  273.60  *  1304.53  *  *  25587.28
PYMCultivarRangerSowingNov99  2000-03-20  *  *  *  *  87.96  108.09  1616.90  1812.95  2.18  *  *  *  *  0.230  7028.15  196.05  *  1478.45  *  *  24316.22
PYMCultivarRangerSowingNov99  2000-04-03  *  *  *  *  71.76  133.05  1813.96  2018.77  1.53  *  *  *  *  0.221  8175.90  204.81  *  1654.30  *  *  21867.41
PYMCultivarRangerSowingNov99  2000-04-26  *  *  *  *  *  126.83  1886.23  2013.05  0.00  *  *  *  *  0.221  8491.64  126.83  *  1942.86  *  *  *
PYMCultivarRangerSowingNov99  2000-05-08  yield  *  *  *  *  108.22  1751.21  1859.44  0.00  *  *  *  *  0.220  7932.28  108.22  *  1942.86  *  *  *
PYMCultivarRangerSowingOct99  1999-11-22  *  *  *  *  38.53  16.48  *  55.01  0.80  *  *  *  *  *  9.69  55.01  *  132.81  *  *  20616.51
PYMCultivarRangerSowingOct99  1999-12-06  *  *  *  *  100.06  58.92  79.01  237.99  2.35  *  *  *  *  0.148  531.70  158.98  *  310.37  *  *  23097.10
PYMCultivarRangerSowingOct99  1999-12-20  *  *  *  *  128.09  89.13  270.30  487.53  3.31  *  *  *  *  0.176  1527.60  217.22  *  484.61  *  *  25654.40
PYMCultivarRangerSowingOct99  2000-01-05  *  *  *  *  186.46  146.74  667.89  1001.08  5.03  *  *  *  *  0.207  3204.01  333.20  *  694.52  *  *  26866.54
PYMCultivarRangerSowingOct99  2000-01-17  *  *  *  *  193.92  140.77  988.28  1322.97  5.14  *  *  *  *  0.213  4624.99  334.69  *  858.87  *  *  26224.77
PYMCultivarRangerSowingOct99  2000-01-31  *  *  *  *  188.23  163.70  1269.15  1621.09  5.28  *  *  *  *  0.227  5585.30  351.93  *  1042.99  *  *  28003.85
PYMCultivarRangerSowingOct99  2000-02-14  *  *  *  *  136.82  133.77  1140.76  1411.35  3.50  *  *  *  *  0.193  5948.62  270.59  *  1224.01  *  *  25434.08
PYMCultivarRangerSowingOct99  2000-02-28  *  *  *  *  124.59  125.34  1628.64  1878.57  2.90  *  *  *  *  0.233  6979.38  249.93  *  1405.44  *  *  23393.52
PYMCultivarRangerSowingOct99  2000-03-13  *  *  *  *  104.94  113.71  1872.32  2090.97  2.29  *  *  *  *  0.239  7816.58  218.65  *  1588.47  *  *  21455.19
PYMCultivarRangerSowingOct99  2000-03-27  *  *  *  *  72.07  89.85  2049.12  2211.05  1.26  *  *  *  *  0.239  8583.48  161.92  *  1760.26  *  *  17554.32
PYMCultivarRangerSowingOct99  2000-04-17  *  *  *  *  *  100.98  1950.55  2051.53  0.00  *  *  *  *  0.229  8530.75  100.98  *  1937.96  *  *  *
PYMCultivarRangerSowingOct99  2000-05-01  yield  *  *  *  *  100.81  2030.89  2131.70  0.00  *  *  *  *  0.234  8687.51  100.81  *  1937.96  *  *  *
rainshelterIrrigation1_optimal_20@30  1987-12-15  *  *  *  *  *  *  48.35  59.50  1.61  *  *  *  *  0.165  292.24  11.16  *  *  *  *  *
rainshelterIrrigation1_optimal_20@30  1988-01-20  *  *  *  *  *  *  620.86  649.95  3.73  *  *  *  *  0.221  2826.91  29.09  *  *  *  *  *
rainshelterIrrigation1_optimal_20@30  1988-02-17  *  *  *  *  *  *  992.95  1014.00  2.03  *  *  *  *  0.224  4421.88  21.05  *  *  *  *  *
rainshelterIrrigation1_optimal_20@30  1988-04-20  yield  *  *  *  *  *  1439.92  1439.92  *  *  *  *  *  0.237  6081.85  *  *  *  *  *  *
rainshelterIrrigation10_late@150  1987-12-15  *  *  *  *  *  *  42.42  55.02  1.47  *  *  *  *  0.152  274.33  12.60  *  *  *  *  *
rainshelterIrrigation10_late@150  1988-01-20  *  *  *  *  *  *  804.29  838.31  4.04  *  *  *  *  0.217  3711.97  34.03  *  *  *  *  *
rainshelterIrrigation10_late@150  1988-02-17  *  *  *  *  *  *  1277.99  1300.22  1.41  *  *  *  *  0.231  5551.80  22.23  *  *  *  *  *
rainshelterIrrigation10_late@150  1988-04-20  yield  *  *  *  *  *  1177.24  1177.24  *  *  *  *  *  0.230  5137.11  *  *  *  *  *  *
rainshelterIrrigation11_excess_30@20  1987-12-15  *  *  *  *  *  *  43.99  58.90  2.23  *  *  *  *  0.154  284.65  14.91  *  *  *  *  *
rainshelterIrrigation11_excess_30@20  1988-01-20  *  *  *  *  *  *  538.68  564.07  3.22  *  *  *  *  0.210  2569.58  25.40  *  *  *  *  *
rainshelterIrrigation11_excess_30@20  1988-02-17  *  *  *  *  *  *  1249.18  1276.49  2.46  *  *  *  *  0.220  5664.32  27.31  *  *  *  *  *
rainshelterIrrigation11_excess_30@20  1988-04-20  yield  *  *  *  *  *  1724.82  1724.82  *  *  *  *  *  0.249  6931.25  *  *  *  *  *  *
rainshelterIrrigation12_excess_50@30  1987-12-15  *  *  *  *  *  *  52.20  65.93  2.02  *  *  *  *  0.151  346.48  13.73  *  *  *  *  *
rainshelterIrrigation12_excess_50@30  1988-01-20  *  *  *  *  *  *  772.87  802.11  3.86  *  *  *  *  0.217  3560.35  29.24  *  *  *  *  *
rainshelterIrrigation12_excess_50@30  1988-02-17  *  *  *  *  *  *  1026.18  1050.93  1.18  *  *  *  *  0.229  4497.45  24.75  *  *  *  *  *
rainshelterIrrigation12_excess_50@30  1988-04-20  yield  *  *  *  *  *  1722.71  1722.71  *  *  *  *  *  0.235  7330.67  *  *  *  *  *  *
rainshelterIrrigation13_outside_optimal  1987-12-15  *  *  *  *  *  *  62.66  76.21  1.86  *  *  *  *  0.157  401.61  13.55  *  *  *  *  *
rainshelterIrrigation13_outside_optimal  1988-01-20  *  *  *  *  *  *  719.86  745.55  2.17  *  *  *  *  0.230  3148.00  25.69  *  *  *  *  *
rainshelterIrrigation13_outside_optimal  1988-02-17  *  *  *  *  *  *  1154.64  1179.76  2.18  *  *  *  *  0.225  5142.58  25.12  *  *  *  *  *
rainshelterIrrigation13_outside_optimal  1988-04-20  yield  *  *  *  *  *  1559.51  1559.51  *  *  *  *  *  0.230  6780.56  *  *  *  *  *  *
rainshelterIrrigation14_outside_rainfeed  1987-12-15  *  *  *  *  *  *  56.01  69.92  1.59  *  *  *  *  0.165  336.57  13.91  *  *  *  *  *
rainshelterIrrigation14_outside_rainfeed  1988-01-20  *  *  *  *  *  *  427.43  447.25  1.42  *  *  *  *  0.227  1886.23  19.82  *  *  *  *  *
rainshelterIrrigation14_outside_rainfeed  1988-02-17  *  *  *  *  *  *  672.75  688.18  1.16  *  *  *  *  0.219  3100.95  15.44  *  *  *  *  *
rainshelterIrrigation14_outside_rainfeed  1988-04-20  yield  *  *  *  *  *  765.74  765.74  *  *  *  *  *  0.230  3314.72  *  *  *  *  *  *
rainshelterIrrigation2_optimal_30@50  1987-12-15  *  *  *  *  *  *  55.85  70.16  1.24  *  *  *  *  0.160  349.51  14.32  *  *  *  *  *
rainshelterIrrigation2_optimal_30@50  1988-01-20  *  *  *  *  *  *  704.74  733.32  3.49  *  *  *  *  0.211  3335.11  28.59  *  *  *  *  *
rainshelterIrrigation2_optimal_30@50  1988-02-17  *  *  *  *  *  *  1365.21  1392.06  2.42  *  *  *  *  0.238  5745.90  26.85  *  *  *  *  *
rainshelterIrrigation2_optimal_30@50  1988-04-20  yield  *  *  *  *  *  1450.95  1450.95  *  *  *  *  *  0.229  6352.72  *  *  *  *  *  *
rainshelterIrrigation3_optimal_50@70  1987-12-15  *  *  *  *  *  *  49.11  61.18  1.42  *  *  *  *  0.163  299.70  12.07  *  *  *  *  *
rainshelterIrrigation3_optimal_50@70  1988-01-20  *  *  *  *  *  *  689.19  715.88  3.56  *  *  *  *  0.214  3218.29  26.69  *  *  *  *  *
rainshelterIrrigation3_optimal_50@70  1988-02-17  *  *  *  *  *  *  976.17  994.99  2.27  *  *  *  *  0.208  4698.92  18.82  *  *  *  *  *
rainshelterIrrigation3_optimal_50@70  1988-04-20  yield  *  *  *  *  *  1474.99  1474.99  *  *  *  *  *  0.225  6572.95  *  *  *  *  *  *
rainshelterIrrigation4_optimal_50@50  1987-12-15  *  *  *  *  *  *  49.32  60.90  1.41  *  *  *  *  0.165  300.03  11.59  *  *  *  *  *
rainshelterIrrigation4_optimal_50@50  1988-01-20  *  *  *  *  *  *  674.03  699.52  2.86  *  *  *  *  0.214  3146.71  25.49  *  *  *  *  *
rainshelterIrrigation4_optimal_50@50  1988-02-17  *  *  *  *  *  *  978.94  998.79  1.86  *  *  *  *  0.226  4351.44  19.85  *  *  *  *  *
rainshelterIrrigation4_optimal_50@50  1988-04-20  yield  *  *  *  *  *  1452.00  1452.00  *  *  *  *  *  0.237  6144.45  *  *  *  *  *  *
rainshelterIrrigation5_early@100  1987-12-15  *  *  *  *  *  *  38.70  46.71  1.10  *  *  *  *  0.159  243.56  8.01  *  *  *  *  *
rainshelterIrrigation5_early@100  1988-01-20  *  *  *  *  *  *  549.72  577.56  3.40  *  *  *  *  0.212  2595.33  27.84  *  *  *  *  *
rainshelterIrrigation5_early@100  1988-02-17  *  *  *  *  *  *  1098.15  1121.42  2.81  *  *  *  *  0.216  5086.14  23.28  *  *  *  *  *
rainshelterIrrigation5_early@100  1988-04-20  yield  *  *  *  *  *  1421.25  1421.25  *  *  *  *  *  0.225  6318.28  *  *  *  *  *  *
rainshelterIrrigation6_early@150  1987-12-15  *  *  *  *  *  *  37.74  48.38  1.34  *  *  *  *  0.164  230.00  10.64  *  *  *  *  *
rainshelterIrrigation6_early@150  1988-01-20  *  *  *  *  *  *  372.35  387.67  1.95  *  *  *  *  0.207  1810.70  15.32  *  *  *  *  *
rainshelterIrrigation6_early@150  1988-02-17  *  *  *  *  *  *  947.93  971.16  2.61  *  *  *  *  0.221  4282.29  23.24  *  *  *  *  *
rainshelterIrrigation6_early@150  1988-04-20  yield  *  *  *  *  *  1294.19  1294.19  *  *  *  *  *  0.216  6010.52  *  *  *  *  *  *
rainshelterIrrigation7_mid@100  1987-12-15  *  *  *  *  *  *  70.72  87.35  2.10  *  *  *  *  0.165  426.61  16.64  *  *  *  *  *
rainshelterIrrigation7_mid@100  1988-01-20  *  *  *  *  *  *  476.52  493.90  1.91  *  *  *  *  0.208  2281.36  17.38  *  *  *  *  *
rainshelterIrrigation7_mid@100  1988-02-17  *  *  *  *  *  *  770.39  785.83  1.96  *  *  *  *  0.214  3630.48  15.44  *  *  *  *  *
rainshelterIrrigation7_mid@100  1988-04-20  yield  *  *  *  *  *  1362.02  1362.02  *  *  *  *  *  0.221  6153.53  *  *  *  *  *  *
rainshelterIrrigation8_mid@150  1987-12-15  *  *  *  *  *  *  43.56  56.93  1.78  *  *  *  *  0.154  281.26  13.37  *  *  *  *  *
rainshelterIrrigation8_mid@150  1988-01-20  *  *  *  *  *  *  455.85  472.54  2.08  *  *  *  *  0.218  2077.82  16.69  *  *  *  *  *
rainshelterIrrigation8_mid@150  1988-02-17  *  *  *  *  *  *  984.97  1009.31  2.27  *  *  *  *  0.214  4609.23  24.34  *  *  *  *  *
rainshelterIrrigation8_mid@150  1988-04-20  yield  *  *  *  *  *  1440.77  1440.77  *  *  *  *  *  0.231  6250.98  *  *  *  *  *  *
rainshelterIrrigation9_late@100  1987-12-15  *  *  *  *  *  *  56.52  74.17  2.09  *  *  *  *  0.151  374.19  17.66  *  *  *  *  *
rainshelterIrrigation9_late@100  1988-01-20  *  *  *  *  *  *  684.04  706.30  2.19  *  *  *  *  0.226  3021.59  22.26  *  *  *  *  *
rainshelterIrrigation9_late@100  1988-02-17  *  *  *  *  *  *  929.48  947.75  1.65  *  *  *  *  0.227  4094.82  18.27  *  *  *  *  *
