dd/mmm/yyyy  Title  NO3(1)  NO3(2)  NO3_30cm
()  ()  ()  ()  ()
21/09/1992  Lynetts_6_150kg_split  8.85  6.84  15.69
21/09/1992  Lynetts_3_150kg_planting  8.85  6.84  15.69
21/09/1992  Lynetts_4_300kg_planting  8.85  6.84  15.69
21/09/1992  Lynetts_2_75kg_planting  8.85  6.84  15.69
21/09/1992  Lynetts_7_300kg_split  8.85  6.84  15.69
21/09/1992  Lynetts_5_75kg_split  8.85  6.84  15.69
21/09/1992  Lynetts_1_Nil   8.85  6.84  15.69
17/12/1992  Lynetts_6_150kg_split  69.03  11.4  80.43
17/12/1992  Lynetts_3_150kg_planting  69.03  18.24  87.27
17/12/1992  Lynetts_4_300kg_planting  169.92  34.2  204.12
17/12/1992  Lynetts_2_75kg_planting  86.73  15.96  102.69
17/12/1992  Lynetts_7_300kg_split  81.42  20.52  101.94
17/12/1992  Lynetts_5_75kg_split  70.8  13.68  84.48
17/12/1992  Lynetts_1_Nil   42.48  18.24  60.72
30/12/1992  Lynetts_6_150kg_split  47.79  6.84  54.63
30/12/1992  Lynetts_3_150kg_planting  138.06  20.52  158.58
30/12/1992  Lynetts_4_300kg_planting  141.6  18.24  159.84
30/12/1992  Lynetts_2_75kg_planting  84.96  9.12  94.08
30/12/1992  Lynetts_7_300kg_split  99.12  11.4  110.52
30/12/1992  Lynetts_5_75kg_split  77.88  9.12  87
30/12/1992  Lynetts_1_Nil   63.72  9.12  72.84
14/01/1993  Lynetts_6_150kg_split  63.72  9.12  72.84
14/01/1993  Lynetts_3_150kg_planting  37.17  31.92  69.09
14/01/1993  Lynetts_4_300kg_planting  95.58  6.84  102.42
14/01/1993  Lynetts_2_75kg_planting  40.71  9.12  49.83
14/01/1993  Lynetts_7_300kg_split  69.03  11.4  80.43
14/01/1993  Lynetts_5_75kg_split  26.55  6.84  33.39
14/01/1993  Lynetts_1_Nil   8.85  4.56  13.41
28/01/1993  Lynetts_6_150kg_split  40.71  2.28  42.99
28/01/1993  Lynetts_3_150kg_planting  72.57  4.56  77.13
28/01/1993  Lynetts_4_300kg_planting  145.14  4.56  149.7
28/01/1993  Lynetts_2_75kg_planting  14.16  6.84  21
28/01/1993  Lynetts_7_300kg_split  56.64  2.28  58.92
28/01/1993  Lynetts_5_75kg_split  15.93  2.28  18.21
28/01/1993  Lynetts_1_Nil   8.85  2.28  11.13
10/02/1993  Lynetts_6_150kg_split  37.17  6.84  44.01
10/02/1993  Lynetts_3_150kg_planting  15.93  4.56  20.49
10/02/1993  Lynetts_4_300kg_planting  139.83  11.4  151.23
10/02/1993  Lynetts_2_75kg_planting  14.16  6.84  21
10/02/1993  Lynetts_7_300kg_split  63.72  4.56  68.28
10/02/1993  Lynetts_5_75kg_split  12.39  2.28  14.67
10/02/1993  Lynetts_1_Nil   7.08  4.56  11.64
25/02/1993  Lynetts_6_150kg_split  28.32  2.28  30.6
25/02/1993  Lynetts_3_150kg_planting  15.93  2.28  18.21
25/02/1993  Lynetts_4_300kg_planting  100.89  18.24  119.13
25/02/1993  Lynetts_2_75kg_planting  12.39  2.28  14.67
25/02/1993  Lynetts_7_300kg_split  97.35  11.4  108.75
25/02/1993  Lynetts_5_75kg_split  26.55  11.4  37.95
25/02/1993  Lynetts_1_Nil   10.62  2.28  12.9
8/03/1993  Lynetts_6_150kg_split  42.48  2.28  44.76
8/03/1993  Lynetts_3_150kg_planting  23.01  11.4  34.41
8/03/1993  Lynetts_4_300kg_planting  58.41  11.4  69.81
8/03/1993  Lynetts_2_75kg_planting  14.16  2.28  16.44
8/03/1993  Lynetts_7_300kg_split  69.03  9.12  78.15
8/03/1993  Lynetts_5_75kg_split  24.78  2.28  27.06
8/03/1993  Lynetts_1_Nil   19.47  6.84  26.31
24/03/1993  Lynetts_6_150kg_split  38.94  6.84  45.78
24/03/1993  Lynetts_3_150kg_planting  24.78  6.84  31.62
24/03/1993  Lynetts_4_300kg_planting  60.18  13.68  73.86
24/03/1993  Lynetts_2_75kg_planting  17.7  13.68  31.38
24/03/1993  Lynetts_7_300kg_split  38.94  11.4  50.34
24/03/1993  Lynetts_5_75kg_split  15.93  6.84  22.77
24/03/1993  Lynetts_1_Nil   19.47  6.84  26.31
6/04/1993  Lynetts_6_150kg_split  37.17  6.84  44.01
6/04/1993  Lynetts_3_150kg_planting  28.32  4.56  32.88
6/04/1993  Lynetts_4_300kg_planting  56.64  11.4  68.04
6/04/1993  Lynetts_2_75kg_planting  21.24  2.28  23.52
6/04/1993  Lynetts_7_300kg_split  40.71  15.96  56.67
6/04/1993  Lynetts_5_75kg_split  23.01  9.12  32.13
6/04/1993  Lynetts_1_Nil   17.7  2.28  19.98
