dd/mm/yyyy  Sowing  Popn  treatment  leafsize(1)  leafsize(2)  leafsize(3)  leafsize(4)  leafsize(5)  leafsize(6)  leafsize(7)  leafsize(8)  leafsize(9)  leafsize(10)  leafsize(11)  leafsize(12)  leafsize(13)  leafsize(14)  leafsize(15)  leafsize(16)  leafsize(17)  leafsize(18)  leafsize(19)  leafsize(20)  leafsize(21)  leafsize(22)  leafsize(23)  leafsize(24)  leafsize(25)  leafsize(26)  leafsize(27)  leafsize(28)  leafsize(29)  leafsize(30)  leafsize(31)  leafsize(32)  leafsize(33)  leafsize(34)  leafsize(35)
()  ()  ()  ()  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)
18/01/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  *  28340  34190  32583  45500  45264  46585  36262  32268  29045  23634  21563  17092  15620  13405  12120  8755  9055  5380  5292  3974  2898  2070  1195  *  *  *  *  *
1/02/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  27870  *  26390  35183  27683  38527  27065  32257  29323  20224  25757  20197  17907  14052  10460  9932  8648  7348  6472  5070  4455  1608  3845  2920  2540  1380  *  *  *
15/02/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  *  12090  26215  33472  28841  29296  34978  25777  21753  20801  17107  19281  12610  14464  11498  8743  11262  9084  6631  6662  5490  3312  1739  1031  890  *  *  *  *
1/03/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  *  *  *  *  4614  19263  9022  21504  9774  13483  17171  16831  14922  11710  8717  9932  8648  7348  6472  4225  2228  536  *  *  *  *  *  *  *
16/03/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  *  *  *  *  4614  6421  *  *  4887  3371  4293  3366  2984  4684  3487  3311  2883  2449  1079  *  *  *  *  *  *  *  *  *  *
27/04/1999  14Oct  Pop2  14Oct_Pop2  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
21/12/1998  2Nov  Pop2  2Nov_Pop2  1265  4074  7802  15390  14920  14542  20080  15987  15628  12260  12124  9162  14025  10180  8120  3200  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
5/01/1999  2Nov  Pop2  2Nov_Pop2  *  5317  9528  19128  19210  25930  30687  34388  36758  48382  38097  40902  33885  19715  19178  15732  7318  5940  3323  4480  4000  *  *  *  *  *  *  *  *  *  *  *  *  *  *
18/01/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  11015  17380  21777  26017  21128  38743  40963  40583  28975  27788  23968  19017  17763  15688  11090  8460  5317  9178  6085  7970  5873  2907  2260  1970  *  *  *  *  *  *  *
1/02/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  *  12350  3850  15065  44190  19070  37122  37475  33678  27747  24645  24802  20547  17897  16400  14488  10247  12258  8240  7592  7044  6278  6847  3917  3070  3150  *  *  *  *  *
