
Title    Date    LeafGreenDW    StemGreenDW    TuberGreenDW    LAI
()    ()    ()    ()    ()    ()
Baxters_14Oct_High           7/12/1998    37.78844907    29.39763093    7.236645    0.972730569
Baxters_14Oct_High           21/12/1998    92.95922544    69.76066956    111.03885    2.703833007
Baxters_14Oct_High           5/01/1999    129.4502814    124.3229136    419.429595    3.66109184
Baxters_14Oct_High           18/01/1999    153.8780295    166.5401205    643.1451    4.671064127
Baxters_14Oct_High           1/02/1999    158.7805414    187.8280586    1166.92215    5.443807503
Baxters_14Oct_High           15/02/1999    100.65432    160.24008    1214.670697    3.301574028
Baxters_14Oct_High           1/03/1999    74.93499    174.84831    1574.491906    2.54778966
Baxters_14Oct_High           16/03/1999    33.08799    132.35196    1534.132979    1.12499166
Baxters_14Oct_High           27/04/1999    *    *    1612.600161    *
Baxters_14Oct_Low            7/12/1998    23.62720272    12.97809978    5.5302975    0.559719889
Baxters_14Oct_Low            21/12/1998    73.43709895    56.43290105    63.2034    2.012654552
Baxters_14Oct_Low            5/01/1999    132.6892754    132.2094496    393.6504    3.915888744
Baxters_14Oct_Low            18/01/1999    153.5834328    180.0742422    413.7081    4.693167853
Baxters_14Oct_Low            1/02/1999    138.6105861    170.7686139    896.8813907    4.056657239
Baxters_14Oct_Low            15/02/1999    117.5868448    176.0636552    1113.43943    3.304701256
Baxters_14Oct_Low            1/03/1999    87.2185275    203.5098975    1455.393189    2.703774353
Baxters_14Oct_Low            16/03/1999    42.49635    169.9854    1585.272734    1.31738685
Baxters_14Oct_Low            27/04/1999    *    *    1565.90996    *
Baxters_2Nov_High            21/12/1998    71.5494761    46.7765239    11.1111    1.999345096
Baxters_2Nov_High            5/01/1999    147.1561599    124.1783451    212.49618    4.441793938
Baxters_2Nov_High            18/01/1999    134.7976715    167.5108285    361.9044    3.985683392
Baxters_2Nov_High            1/02/1999    146.9232013    204.1586987    886.3419677    4.886311028
Baxters_2Nov_High            15/02/1999    97.33603388    172.3606661    835.0445788    3.248836351
Baxters_2Nov_High            1/03/1999    79.87005    186.36345    1370.966724    2.7155817
Baxters_2Nov_High            16/03/1999    63.03024    252.12096    1757.014227    2.14302816
Baxters_2Nov_High            27/04/1999    *    *    1469.328386    *
Baxters_2Nov_Low             21/12/1998    50.3993298    37.6489227    5.086575    1.326841612
Baxters_2Nov_Low             5/01/1999    101.1075754    83.3547221    109.84116    2.803141029
Baxters_2Nov_Low             18/01/1999    131.3323033    140.3845967    172.51065    3.646289778
Baxters_2Nov_Low             1/02/1999    127.0595902    181.2012848    561.9380212    3.931324308
Baxters_2Nov_Low             15/02/1999    122.086915    203.20136    883.1791946    3.637749722
Baxters_2Nov_Low             1/03/1999    79.0150725    184.3685025    1019.887344    2.449467248
Baxters_2Nov_Low             16/03/1999    31.695495    126.78198    1143.597582    0.982560345
Baxters_2Nov_Low             27/04/1999    *    *    1402.455092    *
Baxters_23Nov_High           5/01/1999    88.4796657    66.2099343    47.20053    2.291374945
Baxters_23Nov_High           18/01/1999    132.9507767    135.0864733    262.4817    4.416495534
Baxters_23Nov_High           1/02/1999    162.5889542    233.0094958    507.039826    5.378677872
Baxters_23Nov_High           15/02/1999    134.4760128    182.6232372    798.7612683    4.519803537
Baxters_23Nov_High           1/03/1999    94.54536    220.60584    1139.93096    3.21454224
Baxters_23Nov_High           16/03/1999    54.99273    219.97092    1446.399557    1.86975282
Baxters_23Nov_High           28/03/1999    55.87296    223.49184    2093.801319    1.89968064
Baxters_23Nov_High           27/04/1999    *    *    1415.110066    *
Baxters_23Nov_Low            5/01/1999    68.70633974    49.07853526    33.8275275    1.706279653
Baxters_23Nov_Low            18/01/1999    110.2861135    103.6025615    167.9652    3.465896306
Baxters_23Nov_Low            1/02/1999    135.3333045    202.5812205    379.3193836    4.426975974
Baxters_23Nov_Low            15/02/1999    127.149153    186.739422    598.8092482    4.198589982
Baxters_23Nov_Low            1/03/1999    91.03887    212.42403    1038.549695    2.82220497
Baxters_23Nov_Low            16/03/1999    42.81381    171.25524    1061.213137    1.32722811
Baxters_23Nov_Low            28/03/1999    23.802285    95.20914    1002.701208    0.737870835
Baxters_23Nov_Low            27/04/1999    *    *    1056.033011    *
