TOS,Axe,Beaufort,Bolac,Braewood,Calingiri,Catalina,Crusader,CSIROW002,CSIROW003,CSIROW005,CSIROW007,CSIROW011,CSIROW018,CSIROW021,CSIROW023,CSIROW027,CSIROW029,CSIROW073,CSIROW077,CSIROW087,CSIROW102,CSIROW105,Cutlass,Derrimut,Eaglehawk,Ellison,Emu_Rock,Forrest,Gauntlet,Gregory,Grenade,H45,Hume,Janz,Kellalac,Kittyhawk,Lancer,Longsword,Mace,Magenta,Manning,Merinda,Mitch,Ouyen,Peake,Revenue,Scepter,Scout,Scythe,Spitfire,Strzelecki,Sunbee,Sunbri,Sunlamb,Sunstate,Suntop,Trojan,Wedgetail,Whistler,Wills,Wyalkatchem,Yitpi,Young
1,2020-03-12,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-13,2020-03-12,2020-03-11,2020-03-11,2020-03-11,2020-03-14,2020-03-12,2020-03-13,2020-03-12,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-13,2020-03-11,2020-03-13,2020-03-11,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-12,2020-03-12,2020-03-12,2020-03-11,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-12,2020-03-15,2020-03-11,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-13,2020-03-11,2020-03-16,2020-03-12,2020-03-11,2020-03-12,2020-03-12,2020-03-13,2020-03-12,2020-03-12,2020-03-11,2020-03-12,2020-03-11,2020-03-11,2020-03-11,2020-03-12,2020-03-12,2020-03-14
2,2020-03-24,2020-03-24,2020-03-23,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-25,2020-03-23,2020-03-23,2020-03-24,2020-03-25,2020-03-24,2020-03-25,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-24,2020-03-23,2020-03-25,2020-03-26,2020-03-24,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-24,2020-03-23,2020-03-25,2020-03-24,2020-03-24
3,2020-04-12,2020-04-12,2020-04-08,2020-04-12,2020-04-09,2020-04-14,2020-04-12,2020-04-11,2020-04-10,2020-04-12,2020-04-12,2020-04-11,2020-04-11,2020-04-10,2020-04-11,2020-04-10,2020-04-12,2020-04-11,2020-04-12,2020-04-11,2020-04-10,2020-04-11,2020-04-12,2020-04-12,2020-04-11,2020-04-13,2020-04-12,2020-04-11,2020-04-12,2020-04-10,2020-04-12,2020-04-12,2020-04-12,2020-04-11,2020-04-12,2020-04-10,2020-04-12,2020-04-14,2020-04-12,2020-04-10,2020-04-09,2020-04-10,2020-04-10,2020-04-11,2020-04-13,2020-04-12,2020-04-11,2020-04-13,2020-04-10,2020-04-10,2020-04-11,2020-04-11,2020-04-10,2020-04-12,2020-04-12,2020-04-13,2020-04-12,2020-04-12,2020-04-11,2020-04-10,2020-04-11,2020-04-10,2020-04-12
4,2020-04-21,2020-04-21,2020-04-25,2020-04-20,2020-04-20,2020-04-22,2020-04-22,2020-04-21,2020-04-21,2020-04-22,2020-04-20,2020-04-21,2020-04-21,2020-04-22,2020-04-20,2020-04-20,2020-04-22,2020-04-20,2020-04-21,2020-04-21,2020-04-21,2020-04-22,2020-04-22,2020-04-21,2020-04-21,2020-04-21,2020-04-22,2020-04-21,2020-04-22,2020-04-20,2020-04-21,2020-04-22,2020-04-22,2020-04-20,2020-04-22,2020-04-21,2020-04-21,2020-04-21,2020-04-22,2020-04-21,2020-04-20,2020-04-22,2020-04-20,2020-04-20,2020-04-22,2020-04-22,2020-04-22,2020-04-20,2020-04-20,2020-04-21,2020-04-20,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-20,2020-04-22,2020-04-20,2020-04-21,2020-04-20,2020-04-22,2020-04-21,2020-04-21
5,2020-05-13,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-13,2020-05-14,2020-05-13,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-15,2020-05-14,2020-05-14,2020-05-17,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-18,2020-05-14,2020-05-13,2020-05-14,2020-05-17,2020-05-14,2020-05-14,2020-05-15,2020-05-15,2020-05-14,2020-05-14,2020-05-14,2020-05-14,2020-05-15,2020-05-15,2020-05-13,2020-05-14,2020-05-14,2020-05-16,2020-05-15,2020-05-14,2020-05-15,2020-05-13,2020-05-14,2020-05-15,2020-05-13,2020-05-14,2020-05-15,2020-05-14,2020-05-14,2020-05-15,2020-05-15,2020-05-14,2020-05-13,2020-05-13,2020-05-14,2020-05-14,2020-05-14,2020-05-16
6,2020-05-31,2020-05-30,2020-05-28,2020-05-29,2020-05-28,2020-05-30,2020-05-30,2020-05-30,2020-05-29,2020-05-30,2020-05-28,2020-05-29,2020-05-30,2020-05-30,2020-05-30,2020-05-28,2020-05-30,2020-05-31,2020-05-28,2020-05-30,2020-05-28,2020-05-29,2020-05-30,2020-05-29,2020-06-01,2020-05-29,2020-05-31,2020-05-29,2020-05-31,2020-05-30,2020-05-29,2020-05-30,2020-05-30,2020-05-30,2020-05-30,2020-05-29,2020-05-30,2020-05-29,2020-05-29,2020-05-30,2020-05-31,2020-05-30,2020-05-28,2020-05-29,2020-06-02,2020-05-30,2020-05-30,2020-05-30,2020-05-28,2020-05-30,2020-05-30,2020-05-28,2020-06-04,2020-05-29,2020-05-30,2020-05-29,2020-06-01,2020-05-30,2020-06-01,2020-05-28,2020-05-31,2020-05-29,2020-05-30
7,2020-06-14,2020-06-13,2020-06-12,2020-06-14,2020-06-12,2020-06-13,2020-06-12,2020-06-13,2020-06-11,2020-06-12,2020-06-11,2020-06-12,2020-06-11,2020-06-12,2020-06-13,2020-06-12,2020-06-14,2020-06-12,2020-06-13,2020-06-11,2020-06-11,2020-06-11,2020-06-12,2020-06-14,2020-06-13,2020-06-13,2020-06-12,2020-06-13,2020-06-13,2020-06-13,2020-06-12,2020-06-11,2020-06-13,2020-06-12,2020-06-11,2020-06-13,2020-06-13,2020-06-11,2020-06-12,2020-06-11,2020-06-14,2020-06-15,2020-06-12,2020-06-13,2020-06-13,2020-06-14,2020-06-11,2020-06-12,2020-06-12,2020-06-13,2020-06-13,2020-06-12,2020-06-12,2020-06-14,2020-06-12,2020-06-13,2020-06-14,2020-06-12,2020-06-13,2020-06-11,2020-06-13,2020-06-11,2020-06-13
8,2020-06-27,2020-06-29,2020-06-29,2020-06-27,2020-06-28,2020-06-29,2020-06-28,2020-06-28,2020-06-27,2020-06-28,2020-06-28,2020-06-28,2020-06-27,2020-06-28,2020-06-29,2020-06-28,2020-06-29,2020-06-27,2020-06-28,2020-06-27,2020-06-27,2020-06-28,2020-06-28,2020-06-28,2020-06-28,2020-06-29,2020-06-28,2020-06-28,2020-06-28,2020-06-28,2020-06-27,2020-06-27,2020-06-27,2020-06-28,2020-06-26,2020-06-29,2020-06-27,2020-06-27,2020-06-27,2020-06-28,2020-06-29,2020-06-27,2020-06-27,2020-06-29,2020-06-28,2020-06-29,2020-06-29,2020-06-27,2020-06-27,2020-06-29,2020-06-28,2020-06-28,2020-06-27,2020-06-28,2020-06-27,2020-06-27,2020-06-28,2020-06-26,2020-06-29,2020-06-28,2020-06-28,2020-06-28,2020-06-28
