SimulationName Date LAI Leaf.Live.Wt Summariser.AboveGround.Wt
  ()            ()  ()      ()                    ()
Wagga 1991-09-29 0.01 0.001 0.002
Wagga 1991-10-30 0.10 5.3 9.3
Wagga 1991-11-29 0.10 10.6 19.3
Wagga 1991-12-31 0.20 15.9 31.3
Wagga 1992-01-30 0.20 21.2 44.7
Wagga 1992-02-29 0.30 26.5 60
Wagga 1992-03-31 0.30 31.8 75.4
Wagga 1992-04-30 0.40 37.1 89.4
Wagga 1992-05-30 0.50 42.4 101.4
Wagga 1992-06-30 0.50 47.7 112
Wagga 1992-07-30 0.60 53 120
Wagga 1992-08-30 0.90 77.7 174.7
Wagga 1992-09-29 1.20 102.3 229.2
Wagga 1992-10-30 1.50 127 296.7
Wagga 1992-11-29 1.70 151.7 373.6
Wagga 1992-12-30 2.00 176.3 468.3
Wagga 1993-01-29 2.30 201 574
Wagga 1993-02-26 2.80 294.4 859.4
Wagga 1993-03-29 3.20 342.5 1107.7
Wagga 1993-04-28 3.60 387.8 1314
Wagga 1993-05-29 4.10 413.3 1460.1
Wagga 1993-06-28 4.50 452.9 1591.2
Wagga 1993-07-30 4.90 484 1685
Wagga 1993-08-29 5.20 486.7 1818.6
Wagga 1993-09-28 5.40 492.2 1955
Wagga 1993-10-29 5.70 503.1 2152.9
Wagga 1993-11-28 5.90 526.8 2404.8
Wagga 1993-12-30 6.20 558.5 2742.6
Wagga 1994-01-29 6.40 590 3128
Wagga 1994-02-26 6.30 611 3417.3
Wagga 1994-03-29 6.20 623.2 3709.2
Wagga 1994-04-28 6.00 632 3943
Wagga 1994-05-30 5.90 638 4117.5
Wagga 1994-06-29 5.80 640.4 4247.8
Wagga 1994-07-30 5.60 642 4337
Wagga 1994-08-29 5.60 642.5 4449.5
Wagga 1994-09-28 5.70 643.2 4565.1
Wagga 1994-10-29 5.80 645.3 4730.9
Wagga 1994-11-28 5.90 648.9 4932.7
Wagga 1994-12-30 6.10 656.5 5207.4
Wagga 1995-01-29 6.20 659.6 5517.8
Wagga 1995-02-26 6.40 661.4 5915.9
Wagga 1995-03-29 6.50 666 6334.1
Wagga 1995-04-28 6.50 667.7 6666
Wagga 1995-05-30 6.60 669.1 6914.4
Wagga 1995-06-29 6.60 669.7 7104.6
Wagga 1995-07-30 6.60 670 7237
