Crop,PP_W1_N0,PW_W1_N0,PP_W2_N0,PW_W2_N0,PP_W1_N1,PW_W1_N1,PP_W2_N1,PW_W2_N1,PP_W1_N2,PW_W1_N2,PP_W2_N2,PW_W2_N2
1,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
2,580,1300,580,1300,580,1300,580,1300,580,1300,580,1300
3,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
