SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-08  2.03
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-10  2.43
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-13  3.10
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-16  3.70
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-18  3.93
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-22  4.73
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-24  5.33
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-26  5.83
Lincoln1993Sowing19Oct1993CultivarSolara  1993-11-30  6.33
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-03  7.43
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-08  8.23
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-13  10.07
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-17  11.52
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-24  12.88
Lincoln1993Sowing19Oct1993CultivarSolara  1993-12-28  15.57
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-15  2.80
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-17  3.03
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-21  3.90
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-24  4.17
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-28  5.50
Lincoln1993Sowing23Nov1993CultivarMassey  1993-12-31  6.90
Lincoln1993Sowing23Nov1993CultivarMassey  1994-01-05  8.53
Lincoln1993Sowing23Nov1993CultivarMassey  1994-01-10  10.07
Lincoln1993Sowing23Nov1993CultivarMassey  1994-01-14  11.48
Lincoln1993Sowing23Nov1993CultivarMassey  1994-01-18  12.28
Lincoln1993Sowing23Nov1993CultivarMassey  1994-01-21  13.03
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-15  2.37
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-17  3.07
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-21  3.90
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-24  4.20
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-28  5.37
Lincoln1993Sowing23Nov1993CultivarTrounce  1993-12-31  6.83
Lincoln1993Sowing23Nov1993CultivarTrounce  1994-01-05  8.57
Lincoln1993Sowing23Nov1993CultivarTrounce  1994-01-10  10.87
Lincoln1993Sowing23Nov1993CultivarTrounce  1994-01-14  12.97
Lincoln1993Sowing23Nov1993CultivarTrounce  1994-01-18  13.93
Lincoln1993Sowing23Nov1993CultivarTrounce  1994-01-21  15.40
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-15  2.77
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-17  3.27
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-21  4.00
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-24  4.63
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-28  5.80
Lincoln1993Sowing23Nov1993CultivarRovar  1993-12-31  7.30
Lincoln1993Sowing23Nov1993CultivarRovar  1994-01-05  8.70
Lincoln1993Sowing23Nov1993CultivarRovar  1994-01-10  11.03
Lincoln1993Sowing23Nov1993CultivarRovar  1994-01-14  13.10
Lincoln1993Sowing23Nov1993CultivarRovar  1994-01-18  14.52
Lincoln1993Sowing23Nov1993CultivarRovar  1994-01-21  15.67
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-15  3.07
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-17  3.83
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-21  4.73
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-24  5.07
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-28  6.53
Lincoln1993Sowing23Nov1993CultivarWhero  1993-12-31  7.97
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-05  9.90
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-10  13.17
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-14  16.04
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-18  17.41
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-21  19.11
Lincoln1993Sowing23Nov1993CultivarWhero  1994-01-18  18.25
Lincoln1993Sowing23Nov1993CultivarPatea  1993-11-23  0.00
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-15  2.63
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-17  3.10
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-21  3.87
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-24  4.30
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-28  5.53
Lincoln1993Sowing23Nov1993CultivarPatea  1993-12-31  7.13
Lincoln1993Sowing23Nov1993CultivarPatea  1994-01-05  9.00
Lincoln1993Sowing23Nov1993CultivarPatea  1994-01-10  11.03
Lincoln1993Sowing23Nov1993CultivarPatea  1994-01-14  12.77
Lincoln1993Sowing23Nov1993CultivarPatea  1994-01-18  13.97
Lincoln1993Sowing23Nov1993CultivarPatea  1994-01-21  15.23
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-15  2.93
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-17  3.57
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-21  4.30
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-24  4.80
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-28  5.93
