SimulationName  FieldPeaHarvestRule.Script.FinalLeafTag  NFF  FNN  FN
()  ()  ()  ()  ()
Lincoln1993Sowing19Oct1993CultivarMassey  FinalLeaf  7.7  13.31034483  5.610344828
Lincoln1993Sowing19Oct1993CultivarTrounce  FinalLeaf  12.06666667  16.44444444  4.377777778
Lincoln1993Sowing19Oct1993CultivarRovar  FinalLeaf  11.76666667  16.65517241  4.888505747
Lincoln1993Sowing19Oct1993CultivarWhero  FinalLeaf  17.2  22.85  5.65
Lincoln1993Sowing19Oct1993CultivarPatea  FinalLeaf  10.96551724  15.86206897  4.896551724
Lincoln1993Sowing19Oct1993CultivarSolara  FinalLeaf  11.13333333  18.53571429  7.402380952
Lincoln1993Sowing23Nov1993CultivarMassey  FinalLeaf  7.766666667  12.44827586  4.681609195
Lincoln1993Sowing23Nov1993CultivarTrounce  FinalLeaf  12.16666667  17.03333333  4.866666667
Lincoln1993Sowing23Nov1993CultivarRovar  FinalLeaf  12.63333333  16.03333333  3.4
Lincoln1993Sowing23Nov1993CultivarWhero  FinalLeaf  18.33333333  23.5  5.166666667
Lincoln1993Sowing23Nov1993CultivarPatea  FinalLeaf  10.93333333  16.17857143  5.245238095
Lincoln1993Sowing23Nov1993CultivarSolara  FinalLeaf  12.03333333  16.26666667  4.233333333
Lincoln1993Sowing21Dec1993CultivarMassey  FinalLeaf  7.6  13.09090909  5.490909091
Lincoln1993Sowing21Dec1993CultivarTrounce  FinalLeaf  12.66666667  17.76923077  5.102564103
Lincoln1993Sowing21Dec1993CultivarRovar  FinalLeaf  13.16666667  17.92592593  4.759259259
Lincoln1993Sowing21Dec1993CultivarWhero  FinalLeaf  19.46666667  24.83333333  5.366666667
Lincoln1993Sowing21Dec1993CultivarPatea  FinalLeaf  11.5  17.59259259  6.092592593
Lincoln1993Sowing21Dec1993CultivarSolara  FinalLeaf  *  *  *
Lincoln1993Sowing19Jan1994CultivarMassey  FinalLeaf  7.9  13.26666667  5.366666667
Lincoln1993Sowing19Jan1994CultivarTrounce  FinalLeaf  12.73333333  19.5862069  6.852873563
Lincoln1993Sowing19Jan1994CultivarRovar  FinalLeaf  13.76666667  19.23333333  5.466666667
Lincoln1993Sowing19Jan1994CultivarWhero  FinalLeaf  19.17857143  22.13793103  2.959359606
Lincoln1993Sowing19Jan1994CultivarPatea  FinalLeaf  11.62068966  16.6  4.979310345
Lincoln1993Sowing19Jan1994CultivarSolara  FinalLeaf  12.53333333  19.76666667  7.233333333
Lincoln1993Sowing22Feb1994CultivarMassey  FinalLeaf  7.85  14.36842105  6.518421053
Lincoln1993Sowing22Feb1994CultivarTrounce  FinalLeaf  13.27586207  19.14814815  5.872286079
Lincoln1993Sowing22Feb1994CultivarRovar  FinalLeaf  14.55555556  20.48275862  5.927203065
Lincoln1993Sowing22Feb1994CultivarWhero  FinalLeaf  19.68965517  23.86206897  4.172413793
Lincoln1993Sowing22Feb1994CultivarPatea  FinalLeaf  12.26666667  19.37931034  7.112643678
Lincoln1993Sowing22Feb1994CultivarSolara  FinalLeaf  12.35714286  19.81481481  7.457671958
Lincoln1993Sowing23Mar1994CultivarMassey  FinalLeaf  7.866666667  11.40740741  3.540740741
Lincoln1993Sowing23Mar1994CultivarTrounce  FinalLeaf  *  *  *
Lincoln1993Sowing23Mar1994CultivarRovar  FinalLeaf  *  *  *
Lincoln1993Sowing23Mar1994CultivarWhero  FinalLeaf  *  *  *
Lincoln1993Sowing23Mar1994CultivarPatea  FinalLeaf  *  *  *
Lincoln1993Sowing23Mar1994CultivarSolara  FinalLeaf  *  *  *
Lincoln1993Sowing24May1994CultivarMassey  FinalLeaf  8.2  15.8  7.6
Lincoln1993Sowing24May1994CultivarTrounce  FinalLeaf  13.7037037  19.36363636  5.65993266
