dd/mmm/yyyy  title  LAI  TotalWt  PodWt
()  ()  ()  ()  ()
16/12/1997  Popn_50  0.00  0.00  0.00
01/01/1998  Popn_50  0.00  5.16  0.00
15/01/1998  Popn_50  0.25  10.38  0.00
22/01/1998  Popn_50  0.52  24.16  0.00
29/01/1998  Popn_50  1.40  65.92  0.00
05/02/1998  Popn_50  2.19  161.92  0.00
12/02/1998  Popn_50  2.57  304.09  16.24
17/02/1998  Popn_50  2.60  403.70  86.68
20/02/1998  Popn_50  2.39  475.64  150.97
23/02/1998  Popn_50  2.24  492.06  196.52
26/02/1998  Popn_50  2.21  598.20  272.97
02/03/1998  Popn_50  2.02  693.43  364.56
05/03/1998  Popn_50  1.83  729.19  427.05
09/03/1998  Popn_50  1.33  684.53  428.07
12/03/1998  Popn_50  0.67  683.87  448.99
20/03/1998  Popn_50  0.00  833.39  *
16/12/1997  Popn_100  0.00  0.00  0.00
01/01/1998  Popn_100  0.00  10.27  0.00
15/01/1998  Popn_100  0.37  22.90  0.00
22/01/1998  Popn_100  0.77  42.36  0.00
29/01/1998  Popn_100  1.63  119.77  0.00
05/02/1998  Popn_100  2.70  265.85  0.00
12/02/1998  Popn_100  3.07  415.83  19.73
17/02/1998  Popn_100  2.97  557.64  77.21
20/02/1998  Popn_100  *  566.75  96.69
23/02/1998  Popn_100  2.56  686.52  154.28
26/02/1998  Popn_100  2.52  773.84  196.58
02/03/1998  Popn_100  2.36  726.10  207.69
05/03/1998  Popn_100  2.17  888.78  277.17
09/03/1998  Popn_100  1.18  893.54  290.80
12/03/1998  Popn_100  0.19  846.31  280.02
20/03/1998  Popn_100  0.00  791.22  *
16/12/1997  Popn_150  0.00  0.00  0.00
01/01/1998  Popn_150  0.00  17.37  0.00
15/01/1998  Popn_150  0.49  36.38  0.00
22/01/1998  Popn_150  1.00  69.98  0.00
29/01/1998  Popn_150  2.33  169.99  0.00
05/02/1998  Popn_150  3.78  321.81  0.00
12/02/1998  Popn_150  4.37  503.28  19.00
17/02/1998  Popn_150  4.10  594.58  54.61
20/02/1998  Popn_150  3.60  605.19  70.62
23/02/1998  Popn_150  3.44  699.78  109.66
26/02/1998  Popn_150  3.38  789.60  129.26
02/03/1998  Popn_150  3.17  855.50  154.36
05/03/1998  Popn_150  2.60  927.42  184.64
09/03/1998  Popn_150  1.21  896.98  184.60
12/03/1998  Popn_150  0.24  852.10  177.11
20/03/1998  Popn_150  0.00  928.25  *
