Title Treatment dd/mmm/yyyy sw(1) sw(2) sw(3) sw(4) sw(5) sw(6) sw(7) sw(8) sw_dep()
() () () (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm3/mm3) (mm)
RS_Peas_0405_Full_T1 Full_T1 29/11/2004 0.176 0.249 0.246 0.200 0.181 0.147 0.227 0.278 340.73
RS_Peas_0405_Nil_T2 Nil_T2 29/11/2004 0.191 0.253 0.283 0.277 0.253 0.253 0.238 0.258 401.53
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 29/11/2004 0.190 0.255 0.252 0.246 0.229 0.195 0.204 0.263 366.47
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 29/11/2004 0.181 0.257 0.258 0.234 0.204 0.238 0.160 0.158 338.00
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 29/11/2004 0.186 0.262 0.274 0.267 0.228 0.196 0.257 0.223 378.73
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 29/11/2004 0.195 0.263 0.264 0.245 0.221 0.213 0.236 0.245 376.13
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 29/11/2004 0.181 0.260 0.269 0.233 0.211 0.176 0.237 0.261 365.40
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 29/11/2004 0.184 0.264 0.250 0.234 0.240 0.171 0.176 0.244 352.73
RS_Peas_0405_Full_T1 Full_T1 6/12/2004 0.226 0.264 0.252 0.201 0.178 0.148 0.229 0.281 355.87
RS_Peas_0405_Nil_T2 Nil_T2 6/12/2004 0.156 0.240 0.282 0.276 0.248 0.253 0.241 0.261 391.20
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 6/12/2004 0.161 0.241 0.251 0.245 0.228 0.193 0.203 0.254 355.33
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 6/12/2004 0.150 0.245 0.260 0.234 0.202 0.235 0.162 0.160 329.60
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 6/12/2004 0.157 0.252 0.273 0.267 0.229 0.197 0.256 0.224 370.80
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 6/12/2004 0.220 0.269 0.267 0.248 0.219 0.216 0.235 0.247 383.80
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 6/12/2004 0.228 0.270 0.272 0.231 0.212 0.176 0.237 0.260 377.00
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 6/12/2004 0.232 0.274 0.254 0.231 0.241 0.171 0.174 0.244 364.40
RS_Peas_0405_Full_T1 Full_T1 13/12/2004 0.235 0.260 0.254 0.204 0.178 0.153 0.226 0.280 357.93
RS_Peas_0405_Nil_T2 Nil_T2 13/12/2004 0.138 0.224 0.278 0.272 0.247 0.251 0.238 0.258 381.20
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 13/12/2004 0.130 0.221 0.243 0.239 0.222 0.191 0.202 0.250 339.73
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 13/12/2004 0.135 0.226 0.250 0.231 0.199 0.233 0.160 0.158 318.67
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 13/12/2004 0.127 0.233 0.267 0.260 0.228 0.194 0.255 0.226 357.87
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 13/12/2004 0.231 0.269 0.264 0.246 0.216 0.213 0.233 0.245 383.40
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 13/12/2004 0.231 0.267 0.271 0.232 0.206 0.174 0.238 0.260 376.00
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 13/12/2004 0.220 0.267 0.250 0.230 0.239 0.172 0.173 0.244 359.07
RS_Peas_0405_Full_T1 Full_T1 20/12/2004 0.241 0.260 0.253 0.210 0.182 0.147 0.226 0.280 359.67
RS_Peas_0405_Nil_T2 Nil_T2 20/12/2004 0.125 0.209 0.274 0.269 0.248 0.249 0.239 0.262 374.93
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 20/12/2004 0.121 0.203 0.233 0.233 0.219 0.187 0.202 0.250 329.47
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 20/12/2004 0.113 0.205 0.242 0.224 0.189 0.230 0.159 0.158 304.13
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 20/12/2004 0.125 0.219 0.258 0.255 0.226 0.192 0.255 0.226 351.13
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 20/12/2004 0.236 0.266 0.269 0.247 0.214 0.214 0.234 0.244 384.80
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 20/12/2004 0.233 0.271 0.273 0.234 0.208 0.174 0.235 0.259 377.27
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 20/12/2004 0.240 0.267 0.249 0.231 0.240 0.168 0.175 0.246 363.07
RS_Peas_0405_Full_T1 Full_T1 28/12/2004 0.253 0.233 0.246 0.200 0.172 0.139 0.215 0.271 345.80
RS_Peas_0405_Nil_T2 Nil_T2 28/12/2004 0.103 0.186 0.254 0.253 0.239 0.243 0.227 0.250 350.87
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 28/12/2004 0.166 0.201 0.218 0.216 0.205 0.176 0.191 0.238 322.53
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 28/12/2004 0.098 0.180 0.221 0.208 0.176 0.214 0.150 0.148 278.80
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 28/12/2004 0.110 0.200 0.232 0.233 0.212 0.185 0.243 0.214 325.87
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 28/12/2004 0.159 0.218 0.246 0.230 0.203 0.202 0.224 0.235 343.40
