SimulationName	Clock.Today	TotalAboveGroundWt	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Dead.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Leaf.LAI	[Barley].Phenology.Zadok.Stage
()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(m2/m2)	*
RS_Barley_1415_CvDashLow	2014-11-25	109.9	72.4	37.6	0.0	0.0	*	1.50	*
RS_Barley_1415_CvDashMid	2014-11-25	112.2	75.8	36.4	0.0	0.0	*	1.55	*
RS_Barley_1415_CvDashHigh	2014-11-25	178.5	119.8	58.7	0.0	0.0	*	2.74	*
RS_Barley_1415_CvOmakaLow	2014-11-25	139.6	97.4	42.2	0.0	0.0	*	1.84	*
RS_Barley_1415_CvOmakaMid	2014-11-25	125.7	86.0	39.7	0.0	0.0	*	1.53	*
RS_Barley_1415_CvOmakaHigh	2014-11-25	184.4	121.7	62.7	0.0	0.0	*	2.62	*
RS_Barley_1415_CvDashLow	2014-12-09	306.6	108.5	198.1	0.1	0.0	*	1.98	*
RS_Barley_1415_CvDashMid	2014-12-09	280.4	96.4	184.0	0.0	0.0	*	1.80	*
RS_Barley_1415_CvDashHigh	2014-12-09	587.9	219.5	368.4	0.0	0.0	*	5.06	*
RS_Barley_1415_CvOmakaLow	2014-12-09	387.3	156.3	231.0	0.0	0.0	*	2.50	*
RS_Barley_1415_CvOmakaMid	2014-12-09	359.4	139.0	220.4	0.0	0.0	*	2.24	*
RS_Barley_1415_CvOmakaHigh	2014-12-09	549.7	217.9	331.7	0.1	0.0	*	4.11	*
RS_Barley_1415_CvDashLow	2014-12-22	652.7	112.5	366.7	1.3	172.1	*	2.34	*
RS_Barley_1415_CvDashMid	2014-12-22	665.2	113.8	386.9	0.8	163.6	*	2.49	*
RS_Barley_1415_CvDashHigh	2014-12-22	956.8	200.5	565.7	2.5	188.2	*	5.52	*
RS_Barley_1415_CvOmakaLow	2014-12-22	715.7	144.4	391.6	1.8	178.0	*	2.56	*
RS_Barley_1415_CvOmakaMid	2014-12-22	692.3	126.4	389.5	0.0	176.4	*	2.64	*
RS_Barley_1415_CvOmakaHigh	2014-12-22	961.1	225.1	559.8	1.7	174.5	*	5.31	*
RS_Barley_1415_CvDashLow	2015-01-15	1159.0	17.3	297.8	68.7	775.1	*	0.36	*
RS_Barley_1415_CvDashMid	2015-01-15	1399.6	71.1	378.6	35.7	914.1	*	1.57	*
RS_Barley_1415_CvDashHigh	2015-01-15	1899.6	137.1	621.5	59.6	1081.4	*	3.75	*
RS_Barley_1415_CvOmakaLow	2015-01-15	1213.6	20.0	332.1	97.4	764.1	*	0.28	*
RS_Barley_1415_CvOmakaMid	2015-01-15	1387.0	64.1	428.3	47.6	847.1	*	1.14	*
RS_Barley_1415_CvOmakaHigh	2015-01-15	1865.0	124.3	688.3	75.3	977.1	*	3.14	*
RS_Barley_1415_CvDashLow	2015-01-28	1309.4	68.5	333.5	907.4	*	777.8	*	*
RS_Barley_1415_CvDashMid	2015-02-11	1368.4	54.1	332.9	981.3	*	864.2	*	*
RS_Barley_1415_CvDashHigh	2015-02-11	2384.1	145.3	699.5	1539.3	*	1386.4	*	*
RS_Barley_1415_CvDashLow	2015-01-28	1413.1	92.0	406.5	914.6	*	738.8	*	*
RS_Barley_1415_CvDashMid	2015-02-11	1397.7	56.2	369.5	972.0	*	833.7	*	*
RS_Barley_1415_CvDashHigh	2015-02-11	2075.4	131.1	666.8	1277.6	*	1092.1	*	*
RS_Barley_1415_CvDashLow	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvDashLow	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvDashLow	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvDashLow	2014-11-17	*	*	*	*	*	*	*	23
RS_Barley_1415_CvDashLow	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvDashLow	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvDashLow	2014-11-27	*	*	*	*	*	*	*	32
RS_Barley_1415_CvDashLow	2014-12-05	*	*	*	*	*	*	*	38
RS_Barley_1415_CvDashLow	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvDashLow	2014-12-12	*	*	*	*	*	*	*	43
RS_Barley_1415_CvDashLow	2014-12-16	*	*	*	*	*	*	*	47
RS_Barley_1415_CvDashLow	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvDashLow	2014-12-23	*	*	*	*	*	*	*	71
RS_Barley_1415_CvDashLow	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvDashLow	2015-01-06	*	*	*	*	*	*	*	83
