SimulationName	Clock.Today	FodderBeet.Leaf.CoverGreen
()	()	()
Lincoln2014CvBri_Sep	2014-11-20	0.10
Lincoln2014CvBri_Sep	2014-11-24	0.15
Lincoln2014CvBri_Sep	2014-11-27	0.20
Lincoln2014CvBri_Sep	2014-12-02	0.28
Lincoln2014CvBri_Sep	2014-12-08	0.46
Lincoln2014CvBri_Sep	2014-12-16	0.64
Lincoln2014CvBri_Sep	2014-12-22	0.78
Lincoln2014CvBri_Sep	2014-12-30	0.82
Lincoln2014CvBri_Sep	2015-01-08	0.84
Lincoln2014CvBri_Sep	2015-01-16	0.85
Lincoln2014CvBri_Sep	2015-01-22	0.90
Lincoln2014CvBri_Sep	2015-02-04	0.93
Lincoln2014CvBri_Sep	2015-02-10	0.96
Lincoln2014CvBri_Sep	2015-02-20	0.88
Lincoln2014CvBri_Sep	2015-03-09	0.87
Lincoln2014CvBri_Sep	2015-03-25	0.80
Lincoln2014CvBri_Sep	2015-04-10	0.71
Lincoln2014CvBri_Sep	2015-04-29	0.82
Lincoln2014CvBri_Sep	2015-05-13	0.86
Lincoln2014CvBri_Sep	2015-06-02	0.87
Lincoln2014CvBri_Sep	2015-06-10	0.87
Lincoln2014CvBri_Oct	2014-12-08	0.17
Lincoln2014CvBri_Oct	2014-12-16	0.21
Lincoln2014CvBri_Oct	2014-12-22	0.41
Lincoln2014CvBri_Oct	2014-12-30	0.65
Lincoln2014CvBri_Oct	2015-01-08	0.78
Lincoln2014CvBri_Oct	2015-01-16	0.87
Lincoln2014CvBri_Oct	2015-01-22	0.92
Lincoln2014CvBri_Oct	2015-02-04	0.92
Lincoln2014CvBri_Oct	2015-02-10	0.97
Lincoln2014CvBri_Oct	2015-02-20	0.94
Lincoln2014CvBri_Oct	2015-03-09	0.95
Lincoln2014CvBri_Oct	2015-03-25	0.89
Lincoln2014CvBri_Oct	2015-04-10	0.82
Lincoln2014CvBri_Oct	2015-04-29	0.82
Lincoln2014CvBri_Oct	2015-05-13	0.86
Lincoln2014CvBri_Oct	2015-06-02	0.86
Lincoln2014CvBri_Oct	2015-06-10	0.86
Lincoln2014CvBri_Nov	2014-12-30	0.17
Lincoln2014CvBri_Nov	2015-01-08	0.45
Lincoln2014CvBri_Nov	2015-01-16	0.73
Lincoln2014CvBri_Nov	2015-01-22	0.81
Lincoln2014CvBri_Nov	2015-02-04	0.85
Lincoln2014CvBri_Nov	2015-02-10	0.91
Lincoln2014CvBri_Nov	2015-02-20	0.95
Lincoln2014CvBri_Nov	2015-03-09	0.96
Lincoln2014CvBri_Nov	2015-03-25	0.90
Lincoln2014CvBri_Nov	2015-04-10	0.81
Lincoln2014CvBri_Nov	2015-04-29	0.82
Lincoln2014CvBri_Nov	2015-05-13	0.85
Lincoln2014CvBri_Nov	2015-06-02	0.86
Lincoln2014CvBri_Nov	2015-06-10	0.86
Lincoln2014CvBri_Dec	2015-01-16	0.05
Lincoln2014CvBri_Dec	2015-01-22	0.13
Lincoln2014CvBri_Dec	2015-02-04	0.46
Lincoln2014CvBri_Dec	2015-02-10	0.76
Lincoln2014CvBri_Dec	2015-02-20	0.83
Lincoln2014CvBri_Dec	2015-03-09	0.90
Lincoln2014CvBri_Dec	2015-03-25	0.91
Lincoln2014CvBri_Dec	2015-04-10	0.85
Lincoln2014CvBri_Dec	2015-04-29	0.87
Lincoln2014CvBri_Dec	2015-05-13	0.81
Lincoln2014CvBri_Dec	2015-06-02	0.89
Lincoln2014CvBri_Dec	2015-06-10	0.86
Lincoln2014CvRiv_Sep	2014-11-20	0.10
Lincoln2014CvRiv_Sep	2014-11-24	0.21
Lincoln2014CvRiv_Sep	2014-11-27	0.23
Lincoln2014CvRiv_Sep	2014-12-02	0.35
Lincoln2014CvRiv_Sep	2014-12-08	0.57
Lincoln2014CvRiv_Sep	2014-12-16	0.72
Lincoln2014CvRiv_Sep	2014-12-22	0.78
Lincoln2014CvRiv_Sep	2014-12-30	0.80
Lincoln2014CvRiv_Sep	2015-01-08	0.89
Lincoln2014CvRiv_Sep	2015-01-16	0.89
Lincoln2014CvRiv_Sep	2015-01-22	0.95
Lincoln2014CvRiv_Sep	2015-02-04	0.90
Lincoln2014CvRiv_Sep	2015-02-10	0.95
Lincoln2014CvRiv_Sep	2015-02-20	0.96
Lincoln2014CvRiv_Sep	2015-03-09	0.94
Lincoln2014CvRiv_Sep	2015-03-25	0.88
Lincoln2014CvRiv_Sep	2015-04-10	0.80
Lincoln2014CvRiv_Sep	2015-04-29	0.83
Lincoln2014CvRiv_Sep	2015-05-13	0.81
Lincoln2014CvRiv_Sep	2015-06-02	0.79
Lincoln2014CvRiv_Sep	2015-06-10	0.74
Lincoln2014CvRiv_Oct	2014-12-08	0.05
Lincoln2014CvRiv_Oct	2014-12-16	0.19
Lincoln2014CvRiv_Oct	2014-12-22	0.36
Lincoln2014CvRiv_Oct	2014-12-30	0.62
Lincoln2014CvRiv_Oct	2015-01-08	0.75
Lincoln2014CvRiv_Oct	2015-01-16	0.86
Lincoln2014CvRiv_Oct	2015-01-22	0.87
Lincoln2014CvRiv_Oct	2015-02-04	0.88
Lincoln2014CvRiv_Oct	2015-02-10	0.89
Lincoln2014CvRiv_Oct	2015-02-20	0.92
Lincoln2014CvRiv_Oct	2015-03-09	0.90
Lincoln2014CvRiv_Oct	2015-03-25	0.87
Lincoln2014CvRiv_Oct	2015-04-10	0.78
Lincoln2014CvRiv_Oct	2015-04-29	0.77
Lincoln2014CvRiv_Oct	2015-05-13	0.73
Lincoln2014CvRiv_Oct	2015-06-02	0.78
Lincoln2014CvRiv_Oct	2015-06-10	0.73
Lincoln2014CvRiv_Nov	2014-12-30	0.16
Lincoln2014CvRiv_Nov	2015-01-08	0.50
Lincoln2014CvRiv_Nov	2015-01-16	0.76
Lincoln2014CvRiv_Nov	2015-01-22	0.81
Lincoln2014CvRiv_Nov	2015-02-04	0.85
Lincoln2014CvRiv_Nov	2015-02-10	0.93
Lincoln2014CvRiv_Nov	2015-02-20	0.93
Lincoln2014CvRiv_Nov	2015-03-09	0.90
Lincoln2014CvRiv_Nov	2015-03-25	0.91
Lincoln2014CvRiv_Nov	2015-04-10	0.81
Lincoln2014CvRiv_Nov	2015-04-29	0.83
Lincoln2014CvRiv_Nov	2015-05-13	0.79
Lincoln2014CvRiv_Nov	2015-06-02	0.78
Lincoln2014CvRiv_Nov	2015-06-10	0.79
Lincoln2014CvRiv_Dec	2015-01-16	0.15
Lincoln2014CvRiv_Dec	2015-01-22	0.23
Lincoln2014CvRiv_Dec	2015-02-04	0.70
Lincoln2014CvRiv_Dec	2015-02-10	0.85
Lincoln2014CvRiv_Dec	2015-02-20	0.83
Lincoln2014CvRiv_Dec	2015-03-09	0.96
Lincoln2014CvRiv_Dec	2015-03-25	0.93
Lincoln2014CvRiv_Dec	2015-04-10	0.84
Lincoln2014CvRiv_Dec	2015-04-29	0.85
Lincoln2014CvRiv_Dec	2015-05-13	0.88
Lincoln2014CvRiv_Dec	2015-06-02	0.86
Lincoln2014CvRiv_Dec	2015-06-10	0.84
