SimulationName	Clock.Today	FodderBeet.Leaf.LAI	FodderBeet.Leaf.Live.Nconc	FodderBeet.Leaf.Live.Wt	FodderBeet.Petiole.Live.Wt	FodderBeet.Petiole.Live.Nconc	FodderBeet.TotalDead.Wt	FodderBeet.TotalDead.Nconc	FodderBeet.StorageRoot.Live.Wt	FodderBeet.StorageRoot.Live.Nconc	FodderBeet.AboveGround.Wt	FodderBeet.AboveGround.N	FodderBeet.Leaf.Live.N	FodderBeet.Petiole.Live.N	FodderBeet.StorageRoot.Live.N	FodderBeet.Phenology.Stage	FodderBeet.Structure.LeafTipsAppeared	FodderBeet.Leaf.CoverTotal	Soil.Temperature(1)	Soil.Temperature(2)	Soil.Temperature(3)	Soil.Temperature(4)	Soil.Temperature(5)	Soil.Temperature(6)	Soil.Temperature(7)	Soil.SoilNitrogen.mineral_n(1)	Soil.SoilNitrogen.mineral_n(2)	Soil.SoilNitrogen.mineral_n(3)	Soil.SoilNitrogen.mineral_n(4)	Soil.SoilNitrogen.mineral_n(5)	Soil.SoilNitrogen.mineral_n(6)	Soil.SoilNitrogen.NH4(1)	Soil.SoilNitrogen.NH4(2)	Soil.SoilNitrogen.NH4(3)	Soil.SoilNitrogen.NH4(4)	Soil.SoilNitrogen.NH4(5)	Soil.SoilNitrogen.NH4(6)	Soil.SoilNitrogen.NO3(1)	Soil.SoilNitrogen.NO3(2)	Soil.SoilNitrogen.NO3(3)	Soil.SoilNitrogen.NO3(4)	Soil.SoilNitrogen.NO3(5)	Soil.SoilNitrogen.NO3(6)	Soil.SoilNitrogen.ProfileMineralN	Soil.SoilNitrogen.ProfileNO3	Soil.SoilNitrogen.ProfileNH4	Soil.SoilWater.SW(1)	Soil.SoilWater.SW(2)	Soil.SoilWater.SW(3)	Soil.SoilWater.SW(4)	Soil.SoilWater.SW(5)	Soil.SoilWater.SW(6)	Soil.SoilWater.SW(7)	Soil.SoilWater.ProfileWater	Nit	Irr
LincolnRS2016IrrNilNit0	2016-11-07	*	*	*	*	*	*	*	*	*	*	*	*	*	*	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
LincolnRS2016IrrNilNit300	2016-11-07	*	*	*	*	*	*	*	*	*	*	*	*	*	*	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Nil
LincolnRS2016IrrFullNit0	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.84227893	18.18185321	17.30155714	15.67778321	15.021575	14.32703893	13.87095464	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21291875	0.247375	0.2436	0.23834375	0.21994375	0.26455625	0.1763125	411.8709375	0	Full
LincolnRS2016IrrNilNit0	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.80984179	18.27468964	17.30622286	15.65136786	15.02680143	14.33496536	13.84078393	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21485	0.24110625	0.24448125	0.2403875	0.266575	0.28475625	0.18708125	435.3778125	0	Nil
LincolnRS2016IrrFullNit300	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.79598643	18.13722107	17.31462464	15.60752143	14.92952321	14.3029975	13.83229286	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.2233375	0.2277625	0.26794375	0.31368125	0.28231875	0.211525	0.14804375	434.71875	300	Full
LincolnRS2016IrrNilNit300	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.89156839	18.00697786	17.243135	15.66722714	14.9611475	14.26066929	13.86799571	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21445	0.2678375	0.245225	0.2879625	0.2828375	0.28445	0.2045375	463.846875	300	Nil
LincolnRS2016IrrFullNit50	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.92395946	18.2825425	17.23045679	15.57142036	14.90593	14.3005525	13.81323286	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.225865625	0.24265	0.25079375	0.30523125	0.2678875	0.241025	0.135125	430.2960938	50	Full
LincolnRS2016IrrNilNit50	2016-11-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.81440804	18.07561786	17.33113	15.69222679	14.99350893	14.31500071	13.8622225	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.210378125	0.237725	0.24956875	0.2767375	0.26171875	0.25215625	0.122375	415.9823438	50	Nil
LincolnRS2016IrrFullNit0	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.62819922	15.57466797	16.22157813	15.83192917	15.1025474	14.35159714	13.89310547	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21146875	0.24691875	0.243075	0.238325	0.21994375	0.26459375	0.1763875	411.455625	0	Full
LincolnRS2016IrrNilNit0	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.31526341	15.31693932	16.15962031	15.8012625	15.11078672	14.35696615	13.86284922	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.212921875	0.240575	0.2438375	0.24029375	0.266625	0.284825	0.187125	434.8364063	0	Nil
