SimulationName Clock.Today FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.LiveWt FodderBeet.Petiole.LiveWt FodderBeet.Leaf.LiveWt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.LeafLAI
() () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2)
FRNLRivage 2014-12-08 677.65 7.3 0.7 1.2 5.4 7.3 0.0 0.1
FRNLRivage 2015-01-12 1267.75 473.3 225.5 91.9 155.9 487.2 14.0 2.3
FRNLRivage 2015-02-02 1662.00 1100.3 717.2 168.7 214.4 1139.2 38.9 3.3
FRNLRivage 2015-02-23 1998.40 1746.0 1354.4 171.3 220.3 1834.0 88.1 3.6
FRNLRivage 2015-03-16 2364.85 2029.4 1737.4 126.3 165.6 2178.3 149.0 2.8
FRNLRivage 2015-04-07 2695.35 2147.9 1934.7 96.8 116.4 2376.0 228.1 3.1
FRNLRivage 2015-04-29 2969.80 2102.9 1848.9 116.2 137.8 2300.6 197.7 2.0
