SimulationName Clock.Today FodderBeet.Summariser.LiveDM FodderBeet.Leaf.LiveWt FodderBeet.Petiole.LiveWt FodderBeet.Bulb.LiveWt FodderBeet.TotalDead.Wt FoddeBeet.LeafLAI
() () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2)
Ablock_1wkly_ET 2013-02-18 1580.5 220.1 227.2 1045.4 87.8 3.45
Ablock_1wkly_ET 2013-03-18 2311.1 190 185.4 1804.2 131.6 2.93
Ablock_1wkly_ET 2013-04-15 2348.4 126 123.3 1885 214 2.13
Ablock_1wkly_ET 2013-05-15 2390.3 104 84.3 1973.5 228.6 1.78
AshDeneN0_nil 2013-12-18 33 21.3 7 4.7 * 0.37
AshDeneN0_nil 2014-01-17 512.1 112.2 84.5 286 29.4 1.55
AshDeneN0_nil 2014-02-18 750.3 85.3 54.9 559.6 50.5 1.02
AshDeneN0_nil 2014-03-14 1081 98.8 62.5 797.8 121.8 1.34
AshDeneN0_nil 2014-04-14 1367.5 115.7 82.6 1114.6 54.6 1.93
AshDeneN0_nil 2014-05-20 1372 76.4 61.5 1123.6 110.5 1.25
AshDeneLow_MedN_nil 2013-12-18 34.4 22 8 4.4 * 0.41
AshDeneLow_MedN_nil 2014-01-17 512.1 144.3 103.9 237.6 26.3 1.81
AshDeneLow_MedN_nil 2014-02-18 625.5 73.6 35.6 451.1 65.2 0.81
AshDeneLow_MedN_nil 2014-03-14 874.4 92.9 56.2 624.2 101.1 1.1
AshDeneLow_MedN_nil 2014-04-14 1464.5 150 109 1154.9 50.6 2.55
AshDeneLow_MedN_nil 2014-05-20 1487.2 105.4 106.4 1156.9 118.6 1.7
AshDeneMedN_nil 2013-12-18 29.2 20.1 5 4.1 * 0.31
AshDeneMedN_nil 2014-01-17 495.3 127.3 98.7 239.2 30.1 1.61
AshDeneMedN_nil 2014-02-18 699.8 103.9 69.9 449.5 76.5 1.18
AshDeneMedN_nil 2014-03-14 916.2 107.9 76.1 632 100.2 1.62
AshDeneMedN_nil 2014-04-14 1272.9 176.2 148.9 904.8 43 3.28
AshDeneMedN_nil 2014-05-20 1579.9 122.9 131.5 1197 128.5 2.32
AshDeneOptimumN_nil 2013-12-18 33.9 22.2 6.8 5 * 0.4
AshDeneOptimumN_nil 2014-01-17 544.2 120 103.5 287.4 33.4 1.73
AshDeneOptimumN_nil 2014-02-18 651.1 94.5 69.8 411 75.9 1.11
AshDeneOptimumN_nil 2014-03-14 903.7 115.8 77.3 585.1 125.6 1.52
AshDeneOptimumN_nil 2014-04-14 1401.3 194.8 174.2 987.3 45 3.66
AshDeneOptimumN_nil 2014-05-20 1846.6 198.8 185.5 1369.4 92.9 3.25
AshDeneN0_Full 2013-12-18 38.3 24.8 8.4 5.1 * 0.47
AshDeneN0_Full 2014-01-17 613.1 131.5 109.7 344.4 27.5 1.96
AshDeneN0_Full 2014-02-18 1410.4 152.4 116.2 1066.8 75 2.11
AshDeneN0_Full 2014-03-14 1891.7 157.9 186.4 1466.7 80.7 2.6
AshDeneN0_Full 2014-04-14 2317.1 151.8 160.7 1906.8 97.8 2.3
AshDeneN0_Full 2014-05-20 2359 103.4 93.9 2013.9 147.9 1.7
AshDeneLow_MedN_Full 2013-12-18 35.2 20.7 10.5 3.9 * 0.37
AshDeneLow_MedN_Full 2014-01-17 636.5 176.3 125.5 319.1 15.5 2.56
AshDeneLow_MedN_Full 2014-02-18 1508.1 181.1 172.9 1118.1 35.9 2.98
AshDeneLow_MedN_Full 2014-03-14 1939.4 115.5 152.6 1609.8 61.4 2.01
AshDeneLow_MedN_Full 2014-04-14 2441 156 192.8 2000.2 92 2.61
AshDeneLow_MedN_Full 2014-05-20 2604 120.9 120.1 2197.7 165.3 2.17
AshDeneMedN_Full 2013-12-18 43.4 28.4 8.8 6.2 * 0.51
AshDeneMedN_Full 2014-01-17 756.3 178 141.7 397.2 39.5 2.45
AshDeneMedN_Full 2014-02-18 1578.2 206.8 218 1110.5 42.9 3.54
AshDeneMedN_Full 2014-03-14 2257.9 195.2 244.2 1745.6 73 3.18
AshDeneMedN_Full 2014-04-14 2899.9 180.2 252 2286.1 181.6 3.08
AshDeneMedN_Full 2014-05-20 2762 125.2 186.4 2262.4 188 2.15
AshDeneOptimumN_Full 2013-12-18 44.8 27.9 8.8 8.1 * 0.49
AshDeneOptimumN_Full 2014-01-17 639 162.1 143.2 313 20.7 2.44
AshDeneOptimumN_Full 2014-02-18 1549.6 234.9 244.8 1033.7 36.2 3.9
AshDeneOptimumN_Full 2014-03-14 2193 238.1 292.8 1588.6 73.4 4.15
AshDeneOptimumN_Full 2014-04-14 2845.4 229.3 302.3 2189.8 124 3.91
AshDeneOptimumN_Full 2014-05-20 2791.1 139.1 207.1 2292.5 152.4 2.58
