- Pull requests working
- Release .net core
- stats.apsim.info (CI/CD)


Questions:

- BiomassRemoval.cs: can description in document() method be moved into class description?
- Should we use pre/code blocks for equations such as in EmergingPhase?
- TBI :WeightedTemperatureFunction (GraphAndTable)

Notes:

- All memo children of CultivarFolders should have IncludeInDocumentation set to false
- All children of CompositeBiomasses should have IncludeInDocumentation set to false
- All children of BiomassDemand should have IncludeInDocumentation set to true
- All children of OrganArbitrator should have IncludeInDocumentation set to true
- All children of CarbonFlow should have IncludeInDocumentation set to false
- All children of AgroforestrySystem *except* TreeProxys should have IncludeInDocumentation set to false. All TreeProxy children should instead have it set to true(maybe not?).

Children of the following types should have IncludeInDocumentation set to true:
- 


All children of the following types of the specified type should have IncludeInDocumentation set to true:
--------------------------------------------
Type                   | Child Type
-----------------------|--------------------
PhotoperiodPhase       | Memo
VariableReference      | Memo
Nodule                 | Memo
SorghumLeaf            | Memo
GenericOrgan           | Memo
CarbonFlow             | Memo
EmergingPhase          | Memo
DeltaFunction          | *
AccumulateResetAtStage | IFunction


All children of the following types of the specified type should have IncludeInDocumentation set to false:
--------------------------------------------
Type                   | Child Type
-----------------------|--------------------
Morris                 | Simulation
Morris                 | Factors
Sobol                  | Simulation
Sobol                  | Factors
FactorialAnova         | Simulation
FactorialAnova         | Factors
Experiment             | Simulation
Experiment             | Factors



All children of the following types with the specified name should have IncludeInDocumentation set to false:
-------------------------------------
Type            | Child Name
----------------|--------------------
Nodule          | DMDemands
Nodule          | NDemands
Nodule          | MinimumNConc
Nodule          | CriticalNConc
Nodule          | MaximumNConc
Nodule          | NitrogenDemandSwitch
Nodule          | DMReallocationFactor
Nodule          | NReallocationFactor
Nodule          | NRetranslocationFactor
Nodule          | FixationRate
Nodule          | SenescenceRate
Nodule          | DetachmentRateFunction
Nodule          | BiomassRemovalModel
GenericOrgan    | DMDemands
GenericOrgan    | NDemands
GenericOrgan    | MinimumNConc
GenericOrgan    | CriticalNConc
GenericOrgan    | MaximumNConc
GenericOrgan    | NitrogenDemandSwitch
GenericOrgan    | DMReallocationFactor
GenericOrgan    | NReallocationFactor
GenericOrgan    | NRetranslocationFactor
GenericOrgan    | FixationRate
GenericOrgan    | SenescenceRate
GenericOrgan    | DetachmentRateFunction
GenericOrgan    | BiomassRemovalModel
OnEventFunction | PreEventValue

The following types should have IncludeInDocumentation set to:

-------------------------------------------------------------------------
Type                                        | IncludeInDocumentation
--------------------------------------------|----------------------------
DayCentN2OFractionModel                     | false
CERESNitrificationModel                     | false
CERESDenitrificationModel                   | false
CERESDenitrificationTemperatureFactor       | false
CERESDenitrificationWaterFactor             | false
