Date	species	dorm_t	seed_dorm_time	germ_index	shoot_dm	seedl_dm	estab_dm	senc_dm	dead_dm	litter_dm	green_dm	dry_dm	leaf_dm	stem_dm	avail_dm	root_dm	seed_dm	rlv[1]	rlv[2]	rlv[3]	rlv[4]	rlv[5]	rlv[6]
		oC	d	d	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	mm/mm^3	mm/mm^3	mm/mm^3	mm/mm^3	mm/mm^3	mm/mm^3
1990-08-01	Perennial Ryegrass	-999.9	-1	0	3595.7	0.0	1596.7	0.0	1932.19	66.84	1596.69	1999	1297.26	2298.46	3196.55	398.61	0.0	0.033	0.012	0.005	0.002	0.001	0.000
1990-08-02	Perennial Ryegrass	-999.9	-1	0	3531.8	0.0	1600.5	0.0	1847.42	83.83	1600.54	1931	1272.04	2259.75	3130.82	400.34	0.0	0.033	0.012	0.006	0.002	0.001	0.000
1990-08-03	Perennial Ryegrass	-999.9	-1	0	3459.1	0.0	1612.6	0.0	1841.54	4.99	1612.59	1847	1245.78	2213.33	3056.11	407.29	0.0	0.034	0.013	0.006	0.002	0.001	0.000
1990-08-04	Perennial Ryegrass	-999.9	-1	0	3464.8	0.0	1624.1	0.0	1789.62	51.03	1624.14	1841	1250.99	2213.79	3061.92	413.84	0.0	0.034	0.013	0.006	0.002	0.001	0.000
1990-08-05	Perennial Ryegrass	-999.9	-1	0	3424.0	0.0	1635.3	0.0	1740.58	48.17	1635.29	1789	1237.88	2186.16	3021.30	420.06	0.0	0.035	0.013	0.006	0.002	0.001	0.000
1990-08-06	Perennial Ryegrass	-999.9	-1	0	3389.5	0.0	1649.7	0.0	1735.08	4.67	1649.71	1740	1228.30	2161.16	2985.93	428.24	0.0	0.035	0.013	0.006	0.003	0.001	0.000
1990-08-07	Perennial Ryegrass	-999.9	-1	0	3394.6	0.0	1657.9	0.0	1734.18	2.60	1657.87	1737	1233.16	2161.49	2992.67	434.01	0.0	0.036	0.013	0.006	0.003	0.001	0.000
1990-08-08	Perennial Ryegrass	-999.9	-1	0	3398.1	0.0	1664.8	0.0	1730.76	2.59	1664.78	1733	1236.37	2161.76	2996.46	437.42	0.0	0.036	0.014	0.006	0.003	0.001	0.000
1990-08-09	Perennial Ryegrass	-999.9	-1	0	3412.2	0.0	1682.3	0.0	1708.57	21.36	1682.28	1730	1246.41	2165.79	3008.00	447.25	0.0	0.037	0.014	0.006	0.003	0.001	0.000
1990-08-10	Perennial Ryegrass	-999.9	-1	0	3405.0	0.0	1697.3	0.0	1705.20	2.55	1697.26	1708	1247.70	2157.31	3001.45	455.42	0.0	0.038	0.014	0.006	0.003	0.001	0.000
1990-08-11	Perennial Ryegrass	-999.9	-1	0	3417.7	0.0	1705.5	0.0	1709.64	2.55	1705.55	1712	1256.85	2160.88	3015.78	464.16	0.0	0.038	0.015	0.006	0.003	0.001	0.000
