SoilNum                            CropName                           YEAR                               Month                              AmtKg                              Npct
()                                 ()                                 ()                                 ()                                 ()                                 ()
4                                  Rice_rainfed                       2001                               4                                  1484                               0.83
4                                  Rice_rainfed                       2002                               4                                  1665                               0.85
4                                  Rice_rainfed                       2003                               3                                  1594                               0.85
4                                  Rice_rainfed                       2004                               3                                  645                                1.06
4                                  Rice_rainfed                       2005                               3                                  2098                               0.95
4                                  Rice_rainfed                       2006                               3                                  3221                               0.9
4                                  Rice_rainfed                       2007                               3                                  2400                               0.9
4                                  Rice_rainfed                       2008                               3                                  2943                               0.92
4                                  Rice_rainfed                       2009                               3                                  1513                               0.9
4                                  Rice_rainfed                       2010                               3                                  2624                               0.91
4                                  Rice_irrigated_early               2001                               5                                  3615                               0.87
4                                  Rice_irrigated_early               2002                               5                                  5986                               0.87
4                                  Rice_irrigated_early               2003                               5                                  7432                               0.88
4                                  Rice_irrigated_early               2004                               5                                  3323                               0.85
4                                  Rice_irrigated_early               2005                               5                                  4510                               0.91
4                                  Rice_irrigated_early               2006                               5                                  2942                               0.9
4                                  Rice_irrigated_early               2007                               5                                  5791                               0.93
4                                  Rice_irrigated_early               2008                               5                                  5791                               0.93
4                                  Rice_irrigated_early               2009                               5                                  3933                               0.93
4                                  Rice_irrigated_early               2010                               5                                  5962                               0.9
4                                  Maize_sole_unfert                  2001                               5                                  2868                               1.06
4                                  Maize_sole_unfert                  2002                               3                                  3241                               1.02
4                                  Maize_sole_unfert                  2003                               4                                  2522                               0.98
4                                  Maize_sole_unfert                  2004                               4                                  2638                               1.11
4                                  Maize_sole_unfert                  2005                               4                                  3069                               1.02
4                                  Maize_sole_unfert                  2006                               3                                  1810                               0.96
4                                  Maize_sole_unfert                  2007                               3                                  2070                               0.96
4                                  Maize_sole_unfert                  2008                               4                                  2418                               0.98
4                                  Maize_sole_unfert                  2009                               3                                  2814                               0.98
4                                  Maize_sole_unfert                  2010                               3                                  2787                               0.97
4                                  Maize_sole_fertilised              2001                               5                                  2909                               1.08
4                                  Maize_sole_fertilised              2002                               3                                  3295                               1.02
