Region  Soil ForageNo ForageName YearNum    Year CutNum   Month       Growth   NPerCent Priority    BP1     BP2
   ()     ()      ()       ()       ()        ()  ()       ()           ()          ()      ()      ()      ()
    1      3     1    Brachiaria     6      2006   6        10        2500         1.2       3       0       0
    1      3     1    Brachiaria     7      2007   1        5            0         0.0       3       0       0
    1      3     1    Brachiaria     7      2007   2        6            0         0.0       3       0       0
    1      3     1    Brachiaria     7      2007   3        7            0         0.0       3       0       0
    1      3     1    Brachiaria     7      2007   4        8         1500         1.4       3       0       0
    1      3     1    Brachiaria     7      2007   5        9            0           0       2       0       0
    1      3     1    Brachiaria     7      2007   6        10        1500         1.4       2       0       0
    1      3     1    Brachiaria     8      2008   1        5            0           0       2       0       0
    1      3     1    Brachiaria     8      2008   2        6            0           0       2       0       0
    1      3     1    Brachiaria     8      2008   3        7            0           0       2       0       0
    1      3     1    Brachiaria     8      2008   4        8         1500         1.4       2       0       0
    1      3     1    Brachiaria     8      2008   5        9            0           0       2       0       0
    1      3     1    Brachiaria     8      2008   6        10        1500           1       2       0       0
    1      3     1    Brachiaria     9      2009   1        5            0           0       2       0       0
    1      3     1    Brachiaria     9      2009   2        6            0           0       2       0       0
    1      3     1    Brachiaria     9      2009   3        7            0           0       2       0       0
    1      3     1    Brachiaria     9      2009   4        8         1000         1.6       2       0       0
    1      3     1    Brachiaria     9      2009   5        9            0           0       2       0       0
    1      3     1    Brachiaria     9      2009   6        10        1000         1.6       2       0       0
    1      3     1    Brachiaria     10     2010   1        5            0           0       2       0       0
    1      3     1    Brachiaria     10     2010   2        6            0           0       2       0       0
    1      3     1    Brachiaria     10     2010   3        7            0           0       2       0       0
    1      3     1    Brachiaria     10     2010   4        8         2500           1       2       0       0
    1      3     1    Brachiaria     10     2010   5        9            0           0       2       0       0
    1      3     1    Brachiaria     10     2010   6        10        2500           1       2       0       0
    1      3     2    Panicum        1      2001   1        5            0           0       2       0       0
    1      3     2    Panicum        1      2001   2        6            0           0       2       0       0
    1      3     2    Panicum        1      2001   3        7            0           0       2       0       0
    1      3     2    Panicum        1      2001   4        8         1000         1.6       2       0       0
    1      3     2    Panicum        1      2001   5        9            0           0       2       0       0
    1      3     2    Panicum        1      2001   6        10        1000         1.6       2       0       0
    1      3     2    Panicum        2      2002   1        5            0           0       2       0       0
    1      3     2    Panicum        2      2002   2        6            0           0       2       0       0
    1      3     2    Panicum        2      2002   3        7            0           0       2       0       0
    1      3     2    Panicum        2      2002   4        8         1000           2       2       0       0
