SoilNum                            CropName                           YEAR                               Month                              AmtKg
()                                 ()                                 ()                                 ()                                 ()
4                                  Rice_rainfed                       2001                               4                                  1324
4                                  Rice_rainfed                       2002                               4                                  2239
4                                  Rice_rainfed                       2003                               3                                  1552
4                                  Rice_rainfed                       2004                               3                                  1255
4                                  Rice_rainfed                       2005                               3                                  682
4                                  Rice_rainfed                       2006                               3                                  1162
4                                  Rice_rainfed                       2007                               3                                  925
4                                  Rice_rainfed                       2008                               3                                  1008
4                                  Rice_rainfed                       2009                               3                                  2431
4                                  Rice_rainfed                       2010                               3                                  1552
4                                  Rice_irrigated_early               2001                               5                                  1953
4                                  Rice_irrigated_early               2002                               5                                  487
4                                  Rice_irrigated_early               2003                               5                                  2044
4                                  Rice_irrigated_early               2004                               5                                  3403
4                                  Rice_irrigated_early               2005                               5                                  1809
4                                  Rice_irrigated_early               2006                               5                                  3344
4                                  Rice_irrigated_early               2007                               5                                  1528
4                                  Rice_irrigated_early               2008                               5                                  1528
4                                  Rice_irrigated_early               2009                               5                                  276
4                                  Rice_irrigated_early               2010                               5                                  880
4                                  Maize_sole_unfert                  2001                               5                                  1507
4                                  Maize_sole_unfert                  2002                               3                                  1238
4                                  Maize_sole_unfert                  2003                               4                                  1774
4                                  Maize_sole_unfert                  2004                               4                                  1646
4                                  Maize_sole_unfert                  2005                               4                                  1358
4                                  Maize_sole_unfert                  2006                               3                                  1765
4                                  Maize_sole_unfert                  2007                               3                                  1704
4                                  Maize_sole_unfert                  2008                               4                                  1816
4                                  Maize_sole_unfert                  2009                               3                                  1867
4                                  Maize_sole_unfert                  2010                               3                                  1674
4                                  Maize_sole_fertilised              2001                               5                                  1516
4                                  Maize_sole_fertilised              2002                               3                                  1250
4                                  Maize_sole_fertilised              2003                               4                                  1793
4                                  Maize_sole_fertilised              2004                               4                                  1653
4                                  Maize_sole_fertilised              2005                               4                                  1352
4                                  Maize_sole_fertilised              2006                               3                                  1780
4                                  Maize_sole_fertilised              2007                               3                                  1726
4                                  Maize_sole_fertilised              2008                               4                                  1816
4                                  Maize_sole_fertilised              2009                               3                                  1867
4                                  Maize_sole_fertilised              2010                               3                                  1688
4                                  Mungbean_sole                      2001                               3                                  498
4                                  Mungbean_sole                      2002                               2                                  523
4                                  Mungbean_sole                      2003                               2                                  560
4                                  Mungbean_sole                      2004                               2                                  247
4                                  Mungbean_sole                      2005                               3                                  671
4                                  Mungbean_sole                      2006                               2                                  406
4                                  Mungbean_sole                      2007                               2                                  539
4                                  Mungbean_sole                      2008                               2                                  413
4                                  Mungbean_sole                      2009                               2                                  465
4                                  Mungbean_sole                      2010                               2                                  626
4                                  Peanut_sole                        2001                               6                                  1741
4                                  Peanut_sole                        2002                               4                                  2933
4                                  Peanut_sole                        2003                               4                                  2973
4                                  Peanut_sole                        2004                               4                                  2437
4                                  Peanut_sole                        2005                               4                                  2951
4                                  Peanut_sole                        2006                               4                                  2324
4                                  Peanut_sole                        2007                               4                                  2298
4                                  Peanut_sole                        2008                               4                                  2197
4                                  Peanut_sole                        2009                               4                                  2622
4                                  Peanut_sole                        2010                               4                                  3297
4                                  Maize_cowpea_intercrop_cowpea      2001                               3                                  613
4                                  Maize_cowpea_intercrop_cowpea      2002                               3                                  659
4                                  Maize_cowpea_intercrop_cowpea      2003                               3                                  648
4                                  Maize_cowpea_intercrop_cowpea      2004                               3                                  755
4                                  Maize_cowpea_intercrop_cowpea      2005                               3                                  613
4                                  Maize_cowpea_intercrop_cowpea      2006                               3                                  616
4                                  Maize_cowpea_intercrop_cowpea      2007                               3                                  607
4                                  Maize_cowpea_intercrop_cowpea      2008                               3                                  517
4                                  Maize_cowpea_intercrop_cowpea      2009                               3                                  803
