date,comp,value1,value2,value3,value4,value5,value6
 1 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 1 Aug 1990, 2, 0.23731,0.20341,0.20341,0.34869,0.30995,0.00000
 1 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 2 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 2 Aug 1990, 2, 0.57411,0.39155,0.33645,0.52898,0.46694,0.00000
 2 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 3 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 3 Aug 1990, 2, 0.38238,0.25207,0.19158,0.25714,0.21932,0.00000
 3 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 4 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 4 Aug 1990, 2, 0.29466,0.26568,0.22346,0.28518,0.23431,0.00000
 4 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 5 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 5 Aug 1990, 2, 0.24894,0.21457,0.18765,0.23439,0.18832,0.00000
 5 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 6 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 6 Aug 1990, 2, 0.44234,0.38181,0.34089,0.42045,0.33317,0.00000
 6 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 7 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 7 Aug 1990, 2, 0.11622,0.11911,0.11546,0.14665,0.11688,0.00000
 7 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 8 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 8 Aug 1990, 2, 0.15221,0.16828,0.17582,0.23541,0.18984,0.00000
 8 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 9 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 9 Aug 1990, 2, 0.26509,0.28675,0.31594,0.45044,0.37185,0.00000
 9 Aug 1990, 3, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10 Aug 1990, 1, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10 Aug 1990, 2, 0.24990,0.23906,0.25846,0.38580,0.32731,0.00000
