date,value1,value2,value3,value4,value5,value6
 1 Aug 1990, 0.17000,0.19000,0.20000,0.23000,0.27000,0.29000
 2 Aug 1990, 0.21103,0.20573,0.20507,0.22957,0.26902,0.29023
 3 Aug 1990, 0.25693,0.23345,0.21862,0.23208,0.26876,0.29057
 4 Aug 1990, 0.21633,0.23489,0.22822,0.23757,0.27094,0.29116
 5 Aug 1990, 0.22655,0.23908,0.23539,0.24267,0.27377,0.29267
 6 Aug 1990, 0.23216,0.24407,0.24185,0.24770,0.27710,0.29482
 7 Aug 1990, 0.20150,0.23402,0.24084,0.24962,0.27932,0.29729
 8 Aug 1990, 0.18392,0.22278,0.23694,0.25095,0.28158,0.29924
 9 Aug 1990, 0.17519,0.21133,0.22961,0.24936,0.28228,0.30084
10 Aug 1990, 0.17942,0.20597,0.22214,0.24536,0.28102,0.30165
11 Aug 1990, 0.17044,0.19946,0.21544,0.24145,0.27918,0.30132
12 Aug 1990, 0.16747,0.19111,0.20917,0.23746,0.27687,0.30019
13 Aug 1990, 0.17689,0.19318,0.20484,0.23333,0.27395,0.29855
14 Aug 1990, 0.17020,0.19202,0.20244,0.23091,0.27179,0.29646
15 Aug 1990, 0.16724,0.19007,0.20009,0.22850,0.26961,0.29446
16 Aug 1990, 0.17369,0.19127,0.19939,0.22781,0.26809,0.29204
17 Aug 1990, 0.16734,0.18793,0.19815,0.22748,0.26564,0.29060
18 Aug 1990, 0.16311,0.18509,0.19778,0.22577,0.26359,0.28973
19 Aug 1990, 0.15800,0.18201,0.19657,0.22345,0.26127,0.28910
20 Aug 1990, 0.17091,0.18507,0.19574,0.22154,0.25932,0.28845
21 Aug 1990, 0.17695,0.18929,0.19582,0.21886,0.25692,0.28780
22 Aug 1990, 0.16951,0.18962,0.19604,0.21652,0.25479,0.28715
23 Aug 1990, 0.16988,0.18955,0.19617,0.21484,0.25313,0.28650
24 Aug 1990, 0.16289,0.18417,0.19292,0.21154,0.25048,0.28585
25 Aug 1990, 0.15587,0.17969,0.18999,0.20866,0.24818,0.28519
26 Aug 1990, 0.16065,0.17648,0.18759,0.20635,0.24629,0.28454
