SimulationName	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	TotalAboveGroundWt	Barley.Dead.Wt	Barley.Leaf.LAI	Barley.Leaf.CoverGreen
2010_11_Quencher	2010-11-22	164.4995074	441.3629371	217.0708888	67.88338524	822.9333333	0	3.511373814	*
2010_11_Quencher	2010-11-29	184.9912183	683.1585971	322.7001846	159.0532862	1190.85	0	3.746874394	*
2010_11_Quencher	2010-12-06	136.5614069	643.7451505	488.2927051	324.6458067	1291.316667	22.71740414	2.70551293	*
2010_11_Quencher	2010-12-21	33.6719624	534.1979283	1069.854237	906.2073385	1737.016667	99.29253902	0.586494259	*
2010_11_Quencher	2011-01-17	0	551.2169187	1071.910232	908.2633333	1721.533333	98.40618294	0	*
2010_11_Booma	2010-09-22	*	*	*	*	*	*	*	2.47
2010_11_Booma	2010-09-30	*	*	*	*	*	*	*	8.55
2010_11_Booma	2010-10-04	*	*	*	*	*	*	*	14.74
2010_11_Booma	2010-10-12	*	*	*	*	*	*	*	31.2
2010_11_Booma	2010-10-20	*	*	*	*	*	*	*	63.36
2010_11_Booma	2010-10-28	*	*	*	*	*	*	*	79.97
2010_11_Booma	2010-11-02	*	*	*	*	*	*	*	80.27
2010_11_Booma	2010-11-10	*	*	*	*	*	*	*	91.82
2010_11_Booma	2010-11-23	*	*	*	*	*	*	*	93.3
2010_11_Booma	2010-12-09	*	*	*	*	*	*	*	96.71
2010_11_Booma	2010-12-23	*	*	*	*	*	*	*	93.36
2010_11_County	2010-09-22	*	*	*	*	*	*	*	2.74
2010_11_County	2010-09-30	*	*	*	*	*	*	*	6.23
2010_11_County	2010-10-04	*	*	*	*	*	*	*	9.74
2010_11_County	2010-10-12	*	*	*	*	*	*	*	22.2
2010_11_County	2010-10-20	*	*	*	*	*	*	*	56.72
2010_11_County	2010-10-28	*	*	*	*	*	*	*	79.78
2010_11_County	2010-11-02	*	*	*	*	*	*	*	81.3
2010_11_County	2010-11-10	*	*	*	*	*	*	*	89.26
2010_11_County	2010-11-23	*	*	*	*	*	*	*	92.51
2010_11_County	2010-12-09	*	*	*	*	*	*	*	96.63
2010_11_County	2010-12-23	*	*	*	*	*	*	*	88.96
2010_11_Dash	2010-09-22	*	*	*	*	*	*	*	3.09
2010_11_Dash	2010-09-30	*	*	*	*	*	*	*	10.63
2010_11_Dash	2010-10-04	*	*	*	*	*	*	*	19.44
2010_11_Dash	2010-10-12	*	*	*	*	*	*	*	33.07
2010_11_Dash	2010-10-20	*	*	*	*	*	*	*	56.97
2010_11_Dash	2010-10-28	*	*	*	*	*	*	*	74.38
2010_11_Dash	2010-11-02	*	*	*	*	*	*	*	74.84
2010_11_Dash	2010-11-10	*	*	*	*	*	*	*	83.86
2010_11_Dash	2010-11-23	*	*	*	*	*	*	*	87.95
2010_11_Dash	2010-12-09	*	*	*	*	*	*	*	94.9
2010_11_Dash	2010-12-23	*	*	*	*	*	*	*	96.07
2010_11_Hooded	2010-09-22	*	*	*	*	*	*	*	2.91
2010_11_Hooded	2010-09-30	*	*	*	*	*	*	*	10.64
2010_11_Hooded	2010-10-04	*	*	*	*	*	*	*	17.51
2010_11_Hooded	2010-10-12	*	*	*	*	*	*	*	30.39
2010_11_Hooded	2010-10-20	*	*	*	*	*	*	*	65.64
2010_11_Hooded	2010-10-28	*	*	*	*	*	*	*	82.94
2010_11_Hooded	2010-11-02	*	*	*	*	*	*	*	83.45
2010_11_Hooded	2010-11-10	*	*	*	*	*	*	*	92.21
2010_11_Hooded	2010-11-23	*	*	*	*	*	*	*	95.03
2010_11_Hooded	2010-12-09	*	*	*	*	*	*	*	95.71
2010_11_Hooded	2010-12-23	*	*	*	*	*	*	*	91.36
2010_11_Omaka	2010-09-22	*	*	*	*	*	*	*	8.29
2010_11_Omaka	2010-09-30	*	*	*	*	*	*	*	19.18
2010_11_Omaka	2010-10-04	*	*	*	*	*	*	*	32.73
2010_11_Omaka	2010-10-12	*	*	*	*	*	*	*	50.54
2010_11_Omaka	2010-10-20	*	*	*	*	*	*	*	74.18
2010_11_Omaka	2010-10-28	*	*	*	*	*	*	*	86.62
2010_11_Omaka	2010-11-02	*	*	*	*	*	*	*	89.9
2010_11_Omaka	2010-11-10	*	*	*	*	*	*	*	94.67
2010_11_Omaka	2010-11-23	*	*	*	*	*	*	*	96.13
2010_11_Omaka	2010-12-09	*	*	*	*	*	*	*	98.1
2010_11_Omaka	2010-12-23	*	*	*	*	*	*	*	93.74
2010_11_Optic	2010-09-22	*	*	*	*	*	*	*	1.67
2010_11_Optic	2010-09-30	*	*	*	*	*	*	*	6.2
2010_11_Optic	2010-10-04	*	*	*	*	*	*	*	12.28
2010_11_Optic	2010-10-12	*	*	*	*	*	*	*	20.23
2010_11_Optic	2010-10-20	*	*	*	*	*	*	*	53.35
2010_11_Optic	2010-10-28	*	*	*	*	*	*	*	76.59
2010_11_Optic	2010-11-02	*	*	*	*	*	*	*	80.34
2010_11_Optic	2010-11-10	*	*	*	*	*	*	*	89.03
2010_11_Optic	2010-11-23	*	*	*	*	*	*	*	92.27
2010_11_Optic	2010-12-09	*	*	*	*	*	*	*	96.95
2010_11_Optic	2010-12-23	*	*	*	*	*	*	*	93.26
2010_11_Quencher	2010-09-22	*	*	*	*	*	*	*	3.28
2010_11_Quencher	2010-09-30	*	*	*	*	*	*	*	7.37
2010_11_Quencher	2010-10-04	*	*	*	*	*	*	*	10.96
2010_11_Quencher	2010-10-12	*	*	*	*	*	*	*	27.07
2010_11_Quencher	2010-10-20	*	*	*	*	*	*	*	61.89
2010_11_Quencher	2010-10-28	*	*	*	*	*	*	*	80.93
2010_11_Quencher	2010-11-02	*	*	*	*	*	*	*	83.15
2010_11_Quencher	2010-11-10	*	*	*	*	*	*	*	92.09
2010_11_Quencher	2010-11-23	*	*	*	*	*	*	*	93.56
2010_11_Quencher	2010-12-09	*	*	*	*	*	*	*	97.38
2010_11_Quencher	2010-12-23	*	*	*	*	*	*	*	92.44
