SimulationName,Genotype,BiomassWt,GrainNo,GrainSize,GrainGreenWt,LAIMax,GrainGreenN,NWSTEM,NWTASSEL,biomass_n,Stage,stem_wt,stemflower_wt,tassel_wt,LeafNo,DaysAfterSowing
Angelo98FertN0,DEA,994.6933333,2051.322044,224.4,460.3166667,,4.453282778,0.54834108,0.049919633,6.371289717,10,264.1566667,433.9966667,11.34666667,,121
Angelo98FertN50,DEA,1154.406667,2717.770658,223.683333,607.92,,6.252537289,0.580146172,0.062445694,8.264305363,10,257.57,442.3166667,9.76,,119
Angelo98FertN250,DEA,1647.783333,3302.672692,258.166667,852.64,,11.32757348,1.762715238,0.089496094,16.10279344,10,392.55,638.5366667,12.60666667,,124
Angelo99FertN10,DEA,643.7166667,913.030853,229.583333,209.6166667,,1.863635856,0.480382297,0.025140274,2.937480379,10,184.6266667,249.43,6.446666667,,122
Angelo99FertN70,DEA,1340.536667,2333.933843,220.183333,513.8933333,,4.285817011,0.862740731,0.055499237,6.530543797,10,446.5933333,653.49,13.21666667,,104
Angelo99FertN300,DEA,2314.77,3868.780187,324.366667,1254.903333,,16.59847841,1.790860089,0.058637138,20.92709225,10,595.2633333,889.2,11.97,,116
Angelo00FertN0,DEA,1410.43,2592.601387,266.716667,691.49,,7.000722917,1.379942239,0.095726789,9.944139332,10,394.51,584.45,14.50333333,,97
Angelo00FertN150,DEA,1501.38,2741.800549,285.283333,782.19,,10.34212824,1.721446969,0.080320472,14.0959734,10,391.2366667,592.44,12.75,,99
Angelo00FertN250,DEA,1634.556667,2897.702128,293.75,851.2,,11.14094931,2.498839193,0.067002583,15.89549816,10,426.0066667,642.0933333,10.15333333,,94
Maize_Exp1 2ND Yr3_4,DEA,1143.596667,1766.943666,344.966667,609.5366667,,8.293101852,1.600851013,0.066355639,11.94909781,10,267.9433333,450.6533333,7.453333333,,100
Maize_G5N2_G5N2,Dekalb_XL82,2187.7,3620,272,1006.147186,,,,,,10,,,,18.9,115
Maize_G6N2_G6N2,Dekalb_XL82,2258,4100,269,1129.004329,,,,,,10,,,,17.7,136
