SimulationName,Genotype,BiomassWt,LAI,biomass_n,plants,sla,sln,stem_wt,stemflower_wt,tassel_wt,DaysAfterSowing
BMW1SiteTreatment1,Katumani,,1.2,,2.53,,,,,,53
BMW1SiteTreatment2,Katumani,,2.4,,6.23,,,,,,53
BMW1SiteTreatment3,Katumani,,2.5,,6.29,,,,,,53
BMW1SiteTreatment4,Katumani,,0.8,,2.4,,,,,,53
BMW1SiteTreatment5,Katumani,,2.7,,6.17,,,,,,53
BMW1SiteTreatment6,Katumani,,0.7,,2.09,,,,,,53
BMW1SiteTreatment7,Katumani,,1.1,,2.34,,,,,,53
BMW1SiteTreatment8,Katumani,,2.3,,6.04,,,,,,53
BMW1SiteTreatment9,Katumani,,0.8,,2.16,,,,,,52
BMW1SiteTreatment10,Katumani,,1.6,,6.23,,,,,,50
BMW1SiteTreatment11,Katumani,,1.6,,5.61,,,,,,50
BMW1SiteTreatment12,Katumani,,0.8,,2.09,,,,,,52
BMW1SiteTreatment13,Katumani,,1,,2.16,,,,,,53
BMW1SiteTreatment14,Katumani,,2.2,,5.3,,,,,,53
BMW1SiteTreatment15,Katumani,,0.9,,2.16,,,,,,53
BMW1SiteTreatment16,Katumani,,2.7,,6.48,,,,,,53
BMW1SiteTreatment17,Katumani,,1.3,,4.25,,,,,,52
BMW1SiteTreatment18,Katumani,,0.7,,2.03,,,,,,52
BMW1SiteTreatment19,Katumani,,0.8,,2.22,,,,,,52
BMW1SiteTreatment20,Katumani,,1.4,,4.87,,,,,,52
BMW1SiteTreatment21,Katumani,,1,,2.34,,,,,,53
BMW1SiteTreatment22,Katumani,,1,,2.22,,,,,,53
BMW1SiteTreatment23,Katumani,,2.4,,6.54,,,,,,53
BMW1SiteTreatment24,Katumani,,2.8,,6.54,,,,,,53
BMW2SiteTreatment9,Katumani,,2.3,,,,,,,,56
BMW2SiteTreatment10,Katumani,,2.2,,,,,,,,56
BMW2SiteTreatment11,Katumani,,2,,,,,,,,54
BMW2SiteTreatment12,Katumani,,1.3,,,,,,,,54
BMW2SiteTreatment17,Katumani,,0.8,,,,,,,,52
BMW2SiteTreatment18,Katumani,,0.9,,,,,,,,52
BMW2SiteTreatment19,Katumani,,0.8,,,,,,,,52
BMW2SiteTreatment20,Katumani,,0.8,,,,,,,,52
BMW2SiteTreatment37,Katumani,,0.9,,,,,,,,52
BMW2SiteTreatment38,Katumani,,0.8,,,,,,,,52
BMW2SiteTreatment39,Katumani,,0.8,,,,,,,,52
BMW2SiteTreatment40,Katumani,,0.8,,,,,,,,54
BMW2SiteTreatment57,Katumani,,2.7,,,,,,,,57
BMW2SiteTreatment58,Katumani,,2.4,,,,,,,,60
BMW2SiteTreatment59,Katumani,,2.3,,,,,,,,60
BMW2SiteTreatment60,Katumani,,2,,,,,,,,60
Gains_Year1982,usa_18leaf,,4,,,,,,,,67
Gains_Year1983,usa_18leaf,,3.9,,,,,,,,55
JMW2KatumaniPopulation1.1FertiliserN0,Katumani,,,,1.11,,,,,,55
JMW2KatumaniPopulation2.17FertiliserN0,Katumani,,,,2.17,,,,,,55
JMW2KatumaniPopulation4.19FertiliserN0,Katumani,,,,4.19,,,,,,55
JMW2KatumaniPopulation6.26FertiliserN0,Katumani,,,,6.26,,,,,,58
JMW2KatumaniPopulation7.33FertiliserN0,Katumani,,,,7.33,,,,,,62
JMW2KatumaniPopulation1.1FertiliserN120,Katumani,,,,1.11,,,,,,56
JMW2KatumaniPopulation2.17FertiliserN120,Katumani,,,,2.2,,,,,,54
JMW2KatumaniPopulation4.19FertiliserN120,Katumani,,,,4.24,,,,,,56
JMW2KatumaniPopulation6.26FertiliserN120,Katumani,,,,6.13,,,,,,56
JMW2KatumaniPopulation7.33FertiliserN120,Katumani,,,,7.28,,,,,,57
JMW2KibokoPopulation1.1FertiliserN0,Katumani,,0.5,,1.11,,,,,,49
JMW2KibokoPopulation2.18FertiliserN0,Katumani,,0.8,,2.18,,,,,,50
JMW2KibokoPopulation4.23FertiliserN0,Katumani,,1.4,,4.23,,,,,,55
JMW2KibokoPopulation6.22FertiliserN0,Katumani,,1.8,,6.22,,,,,,59
JMW2KibokoPopulation7.91FertiliserN0,Katumani,,1.4,,7.91,,,,,,63
JMW2KibokoPopulation1.1FertiliserN120,Katumani,,0.5,,1.11,,,,,,48
JMW2KibokoPopulation2.18FertiliserN120,Katumani,,0.8,,2.17,,,,,,49
JMW2KibokoPopulation4.23FertiliserN120,Katumani,,1.7,,4.39,,,,,,50
JMW2KibokoPopulation6.22FertiliserN120,Katumani,,2.8,,6.54,,,,,,52
JMW2KibokoPopulation7.91FertiliserN120,Katumani,,2.7,,7.63,,,,,,53
DRKSowDate1991-08-14Cultivargh_5009,GH_5009,,5.4,,,,,,,,89
DRKSowDate1991-08-14Cultivarhycorn_40,Hycorn_40,,4.8,,,,,,,,85
DRKSowDate1991-08-14Cultivargh_5019wx,GH_5019WX,,4.8,,,,,,,,89
DRKSowDate1991-12-11Cultivargh_5009,GH_5009,,3.9,,,,,,,,56
DRKSowDate1991-12-11Cultivarhycorn_40,Hycorn_40,,3.4,,,,,,,,52
DRKSowDate1991-12-11Cultivargh_5019wx,GH_5019WX,,4.3,,,,,,,,60
DRKSowDate1991-02-20Cultivargh_5009,GH_5009,,4.2,,,,,,,,66
DRKSowDate1991-02-20Cultivarhycorn_40,Hycorn_40,,3.5,,,,,,,,60
DRKSowDate1991-02-20Cultivarhycorn_50,Hycorn_50,,3.9,,,,,,,,61
DRKSowDate1991-02-20Cultivargh_5019wx,GH_5019WX,,3.8,,,,,,,,68
DRKSowDate1991-01-31Cultivargh_5009,GH_5009,,3.8,,,,,,,,60
DRKSowDate1991-01-31Cultivarhycorn_40,Hycorn_40,,3.2,,,,,,,,56
DRKSowDate1991-01-31Cultivarhycorn_50,Hycorn_50,,3.1,,,,,,,,54
DRKSowDate1991-01-31Cultivargh_5019wx,GH_5019WX,,4,,,,,,,,62
DRKSowDate1991-03-12Cultivargh_5009,GH_5009,,3.5,,,,,,,,74
DRKSowDate1991-03-12Cultivarhycorn_40,Hycorn_40,,2.7,,,,,,,,69
DRKSowDate1991-03-12Cultivarhycorn_50,Hycorn_50,,2.9,,,,,,,,66
DRKSowDate1991-03-12Cultivargh_5019wx,GH_5019WX,,3.5,,,,,,,,76
DRKSowDate1991-11-07Cultivargh_5009,GH_5009,,4.4,,,,,,,,59
DRKSowDate1991-11-07Cultivarhycorn_40,Hycorn_40,,4.2,,,,,,,,54
DRKSowDate1991-11-07Cultivargh_5019wx,GH_5019WX,,4.7,,,,,,,,60
DRKSowDate1991-10-10Cultivargh_5009,GH_5009,,4.8,,,,,,,,65
DRKSowDate1991-10-10Cultivarhycorn_40,Hycorn_40,,4.2,,,,,,,,60
DRKSowDate1991-10-10Cultivargh_5019wx,GH_5019WX,,4.2,,,,,,,,66
DRKSowDate1991-09-19Cultivargh_5009,GH_5009,,5,,,,,,,,67
DRKSowDate1991-09-19Cultivarhycorn_40,Hycorn_40,,4.4,,,,,,,,63
DRKSowDate1991-09-19Cultivargh_5019wx,GH_5019WX,,4.4,,,,,,,,68
Angelo00FertN0,DEA,632.5433333,2.836666667,7.464915854,6.944444444,163.4966667,1.5,402.13,454.2233333,31.86333333,54
Angelo00FertN150,DEA,648.7,3.016666667,8.72855499,6.944444444,162.98,1.633333333,405.5566667,459.89,35.14333333,53
Angelo00FertN250,DEA,679.1066667,2.99,10.6679736,6.944444444,154.18,1.89,417.6966667,482.1233333,34.40666667,54
Maize_Exp1 2ND Yr3_4,DEA,470.54,1.756666667,7.893880525,3.472222222,146.0133333,2.18,272.46,348.5183333,19.27666667,54
Angelo98FertN0,DEA,529.6733333,2.496666667,5.255435074,6.666666667,188.05,0.98,324.7066667,383.1433333,28.49,60
Angelo98FertN50,DEA,671.3233333,3.116666667,8.68625758,6.666666667,178.0533333,1.49,398.0966667,487.3466667,31.98666667,59
Angelo98FertN250,DEA,725.2533333,3.6,12.4879012,6.666666667,178.1333333,1.746666667,410.4633333,519.06,28.76666667,59
Angelo99FertN10,DEA,384.7533333,1.663333333,2.419020653,6.666666667,184.6433333,0.596666667,211.57,,15.86333333,78
Angelo99FertN70,DEA,1108.243333,2.673333333,6.973930261,6.888888889,160.9466667,0.916666667,648.3333333,850.9833333,19.39333333,69
Angelo99FertN300,DEA,1116.266667,3.693333333,14.8316323,6.666666667,163.9033333,1.756666667,621.8866667,844.9933333,18.44333333,68
Maize_G5N2_G5N2,Dekalb_XL82,,4.5,,,,,,,,69
Maize_G6N2_G6N2,Dekalb_XL82,,4.7,,,,,,,,81
Maize_G7N2_G7N2,Dekalb_XL82,,4.9,,,,,,,,66
Maize_Gatton-89_m1g5n1,Dekalb_XL82,845.7,2.753,4.33,,,,,,,67
Maize_Gatton-89_m1g5n2,Dekalb_XL82,1050,3.976,14.17,,,,,,,69
Maize_Gatton-90-Early_m1g6n1,Dekalb_XL82,318.1,1.242,,,,,,,,91
Maize_Gatton-90-Early_m1g6n2,Dekalb_XL82,1097.2,3.907,,,,,,,,79
Maize_Gatton-90-Late_m1g7n1,Dekalb_XL82,247.3,1.778,1.84,,,,,,,70
Maize_Gatton-90-Late_m1g7n2,Dekalb_XL82,1062.4,4.448,13.991,,,,,,,63
Maize_Gatton-91_m1g8n1,Dekalb_XL82,532.2,1.924,2.772,,,,,,,70
Maize_Gatton-91_m1g8n2,Dekalb_XL82,900,3.63,12.362,,,,,,,62
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
K841Population7IrrigationDryCultivarhycorn_9,Hycorn_9,,,,,,,,,,55
K841Population7IrrigationWetCultivarhycorn_9,Hycorn_9,,,,,,,,,,52
K841Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,54
K841Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,51
K841Population7IrrigationDryCultivarQK_694,QK_694,,,,,,,,,,60
K841Population7IrrigationWetCultivarQK_694,QK_694,,,,,,,,,,55
K841Population7IrrigationDryCultivarsargeant,Sargeant,,,,,,,,,,55
K841Population7IrrigationWetCultivarsargeant,Sargeant,,,,,,,,,,52
K842Population7IrrigationDryCultivarhycorn_9,Hycorn_9,,,,,,,,,,50
K842Population7IrrigationWetCultivarhycorn_9,Hycorn_9,,,,,,,,,,49
K842Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
K842Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
K842Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
K842Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
K842Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,48
K842Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,49
K842Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
K842Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,45
