ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Maize_DRK_DRKFH40
           Date DaysAfterSowing          Stage        Biomass     GrainYield        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)             ()        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     20/02/1991               1          1.999            0.0          0.000           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        246.145           61.0          0.000          1.000          4.214          0.000          0.000          0.000          0.000
     21/02/1991               2          2.000            0.0          0.000           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        243.597           91.4          0.000          1.000          4.198          0.000          0.000          0.000          0.000
     22/02/1991               3          2.533            0.0          0.000           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        241.450          122.9          0.000          1.000          4.184          0.000          0.000          0.000          0.000
     23/02/1991               4          2.796            0.0          0.000           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        239.504          154.7          0.000          1.000          4.171          0.000          0.000          0.000          0.000
     24/02/1991               5          3.000            1.3          0.000           0.20           0.13           0.07           0.07           0.07           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        237.692          184.6          1.700          1.000          4.159          0.000          3.800          0.000          0.000
     25/02/1991               6          3.065            1.7          0.000           0.27           0.17           0.10           0.10           0.07           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.716          0.006          0.000        254.970          209.8          1.426          1.000          4.268          0.000          8.643          0.000          0.250
     26/02/1991               7          3.124            2.9          0.000           0.51           0.29           0.22           0.22           0.07           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          0.960          0.010          0.000        252.633          233.6          1.494          1.000          4.252          0.000         15.065          0.000          0.251
     27/02/1991               8          3.182            4.9          0.000           0.91           0.49           0.42           0.42           0.07           0.00           0.00           0.03           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.213          0.015          0.000        248.318          255.0          1.597          1.000          4.224          0.000         22.987          0.000          0.255
     28/02/1991               9          3.233            8.2          0.000           1.56           0.82           0.75           0.73           0.08           0.00           0.00           0.04           0.01           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.462          0.021          0.000        245.665          273.1          1.624          1.000          4.206          0.000         31.997          0.287          0.267
     01/03/1991              10          3.298           10.6          0.000           2.01           1.06           0.99           0.94           0.09           0.00           0.00           0.05           0.01           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.681          0.027          0.001        243.353          288.8          1.664          1.000          4.191          0.000         40.714          1.220          0.299
     02/03/1991              11          3.354           16.5          0.000           3.18           1.65           1.58           1.48           0.12           0.00           0.00           0.06           0.01           0.06           0.00           0.00           0.00           0.000          0.000          0.000          1.961          0.036          0.001        241.227          300.7          1.536          1.000          4.178          0.000         54.146          2.026          0.332
     03/03/1991              12          3.400           20.7          0.000           3.99           2.07           1.99           1.86           0.15           0.00           0.00           0.08           0.02           0.07           0.00           0.00           0.00           0.000          0.000          0.000          2.203          0.046          0.002        239.272          309.1          1.552          1.000          4.166          0.000         68.195          2.686          0.441
     04/03/1991              13          3.454           26.7          0.000           5.16           2.67           2.59           2.38           0.19           0.00           0.00           0.09           0.02           0.09           0.00           0.00           0.00           0.000          0.000          0.000          2.401          0.055          0.002        248.334          313.9          1.587          1.000          4.227          0.000         81.370          3.459          0.543
     05/03/1991              14          3.508           33.7          0.000           6.54           3.37           3.28           2.99           0.26           0.00           0.00           0.12           0.03           0.11           0.01           0.00           0.00           0.000          0.000          0.000          2.634          0.066          0.003        244.046          317.9          1.631          1.000          4.198          0.000         98.985          4.237          0.724
     06/03/1991              15          3.561           46.3          0.000           9.02           4.63           4.53           4.08           0.40           0.00           0.00           0.15           0.05           0.14           0.01           0.00           0.00           0.000          0.000          0.000          2.868          0.080          0.003        240.289          320.7          1.704          1.000          4.173          0.000        119.385          4.995          0.973
