ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Maize_K841_K841P5D
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI                                                                ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)                                                                 ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     17/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            8.9          0.000          1.000          2.927          0.000          0.000          0.000          0.000
     18/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            8.7          0.000          1.000          2.926          0.000          0.000          0.000          0.000
     19/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            8.2          0.000          1.000          2.912          0.000          0.000          0.000          0.000
     20/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            7.6          0.000          1.000          2.930          0.000          0.000          0.000          0.000
     21/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            6.9          0.000          1.000          2.927          0.000          0.000          0.000          0.000
     22/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000            6.6          0.000          1.000          2.883          0.000          0.000          0.000          0.000
     23/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000           29.9          0.000          1.000          2.857          0.000          0.000          0.000          0.000
     24/11/1983               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000 24565034888481331640412236736615656357381314365039460669718528.000           54.1          0.000          1.000          2.838          0.000          0.000          0.000          0.000
     25/11/1983               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000                                                            135.773           74.7          0.000          1.000          2.823          0.000          0.000          0.000          0.000
     25/11/1983               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000                                                            135.773           74.7          0.000          1.000          2.823          0.000          0.000          0.000          0.000
     26/11/1983               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000                                                            146.698           91.6          0.000          1.000          2.896          0.000          0.000          0.000          0.000
     26/11/1983               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000                                                            146.698           91.6          0.000          1.000          2.896          0.000          0.000          0.000          0.000
     27/11/1983               3          3.000            1.0           0.15           0.10           0.05           0.05           0.05           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.002          0.000                                                            142.365          104.2          1.700          1.000          2.867          0.000          3.800          0.000          0.000
     27/11/1983               3          3.000            1.0           0.15           0.10           0.05           0.05           0.05           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.002          0.000                                                            142.365          104.2          1.700          1.000          2.867          0.000          3.800          0.000          0.000
     28/11/1983               4          3.305            1.4           0.22           0.14           0.09           0.09           0.05           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.834          0.006          0.000                                                            139.362          112.9          1.378          1.000          2.847          0.000         12.034          0.000          0.250
     28/11/1983               4          3.305            1.4           0.22           0.14           0.09           0.09           0.05           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.834          0.006          0.000                                                            139.362          112.9          1.378          1.000          2.847          0.000         12.034          0.000          0.250
     29/11/1983               5          3.515            2.6           0.47           0.26           0.21           0.21           0.05           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.161          0.010          0.000                                                            136.937          118.6          1.688          1.000          2.831          0.000         20.177          0.000          0.251
     29/11/1983               5          3.515            2.6           0.47           0.26           0.21           0.21           0.05           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.161          0.010          0.000                                                            136.937          118.6          1.688          1.000          2.831          0.000         20.177          0.000          0.251
     30/11/1983               6          3.728            4.8           0.90           0.48           0.43           0.42           0.06           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.484          0.015          0.000                                                            141.728          122.0          1.871          1.000          2.863          0.000         30.237          0.052          0.259
     30/11/1983               6          3.728            4.8           0.90           0.48           0.43           0.42           0.06           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.484          0.015          0.000                                                            141.728          122.0          1.871          1.000          2.863          0.000         30.237          0.052          0.259
     01/12/1983               7          3.944            8.8           1.70           0.88           0.83           0.79           0.07           0.00           0.00           0.05           0.01           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.811          0.021          0.000                                                            138.853          124.0          2.283          1.000          2.845          0.000         42.084          0.908          0.284
     01/12/1983               7          3.944            8.8           1.70           0.88           0.83           0.79           0.07           0.00           0.00           0.05           0.01           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.811          0.021          0.000                                                            138.853          124.0          2.283          1.000          2.845          0.000         42.084          0.908          0.284
     02/12/1983               8          4.000           14.0           2.71           1.40           1.35           1.26           0.10           0.00           0.00           0.09           0.01           0.07           0.02           0.00           0.00           0.000          0.000          0.000          2.145          0.029          0.001                                                            137.020          125.1          2.469          1.000          2.832          0.000         57.284          1.707          0.363
     02/12/1983               8          4.000           14.0           2.71           1.40           1.35           1.26           0.10           0.00           0.00           0.09           0.01           0.07           0.02           0.00           0.00           0.000          0.000          0.000          2.145          0.029          0.001                                                            137.020          125.1          2.469          1.000          2.832          0.000         57.284          1.707          0.363
     03/12/1983               9          4.168           20.3           3.96           2.03           1.98           1.83           0.15           0.00           0.00           0.12           0.02           0.08           0.04           0.00           0.00           0.000          0.000          0.000          2.457          0.037          0.001                                                            135.028          125.7          2.142          1.000          2.819          0.000         74.884          2.523          0.508
     03/12/1983               9          4.168           20.3           3.96           2.03           1.98           1.83           0.15           0.00           0.00           0.12           0.02           0.08           0.04           0.00           0.00           0.000          0.000          0.000          2.457          0.037          0.001                                                            135.028          125.7          2.142          1.000          2.819          0.000         74.884          2.523          0.508
     04/12/1983              10          4.268           29.4           5.74           2.94           2.88           2.62           0.24           0.00           0.00           0.14           0.03           0.11           0.04           0.00           0.00           0.000          0.000          0.000          2.776          0.048          0.002                                                            133.707          126.1          2.200          1.000          2.810          0.000         96.719          3.348          0.753
