ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Quincy786
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     31/03/1978               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        120.700           13.2          0.000          1.000          2.430          0.000          0.000          0.000          0.000
     01/04/1978               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        120.087           17.5          0.000          1.000          2.425          0.000          0.000          0.000          0.000
     02/04/1978               3          2.511            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        119.505           22.1          0.000          1.000          2.420          0.000          0.000          0.000          0.000
     03/04/1978               4          2.792            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        118.949           26.9          0.000          1.000          2.415          0.000          0.000          0.000          0.000
     04/04/1978               5          3.000            1.2           0.18           0.12           0.06           0.06           0.06           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.002          0.000        118.415           31.7          1.700          1.000          2.411          0.000          3.800          0.000          0.000
     05/04/1978               6          3.155            1.7           0.27           0.17           0.11           0.11           0.06           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.698          0.005          0.000        117.900           36.5          1.406          1.000          2.407          0.000          8.246          0.000          0.250
     06/04/1978               7          3.269            2.7           0.48           0.27           0.21           0.21           0.06           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.882          0.008          0.000        117.388           41.3          1.430          1.000          2.403          0.000         13.027          0.000          0.251
     07/04/1978               8          3.413            4.3           0.81           0.43           0.37           0.37           0.06           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.058          0.011          0.000        116.878           46.0          1.477          1.000          2.399          0.000         18.232          0.000          0.255
     08/04/1978               9          3.567            6.4           1.23           0.64           0.58           0.58           0.07           0.00           0.00           0.02           0.01           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.279          0.015          0.000        116.368           50.7          1.484          1.000          2.396          0.000         25.651          0.000          0.264
     09/04/1978              10          3.718            9.3           1.80           0.93           0.87           0.86           0.08           0.00           0.00           0.03           0.01           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.515          0.021          0.000        137.664           55.2          1.488          1.000          2.533          0.000         34.873          0.000          0.282
     10/04/1978              11          3.848           13.3           2.59           1.33           1.26           1.23           0.09           0.00           0.00           0.04           0.01           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.749          0.027          0.000        134.721           59.8          1.518          1.000          2.508          0.000         45.520          0.000          0.316
     11/04/1978              12          3.989           18.7           3.68           1.87           1.80           1.75           0.12           0.00           0.00           0.06           0.02           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.949          0.034          0.000        132.562           64.3          1.544          1.000          2.490          0.000         56.159          0.000          0.382
     12/04/1978              13          4.000           24.7           4.88           2.47           2.40           2.32           0.16           0.00           0.00           0.07           0.02           0.06           0.00           0.00           0.00           0.000          0.000          0.000          2.166          0.042          0.000        130.235           68.7          1.538          1.000          2.475          0.000         69.245          0.000          0.502
