ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Champ83
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     02/06/1983              21          4.147           48.9           9.64           4.89           4.75           4.31           0.57           0.00           0.00           0.13           0.05           0.12           0.01           0.00           0.00           0.000          0.000          0.000          2.308          0.072          0.000        192.205           96.7          1.617          1.000          3.061          0.000         80.641          0.036          1.557
     03/06/1983              22          4.204           52.6          10.36           5.26           5.11           4.64           0.60           0.00           0.00           0.15           0.05           0.13           0.02           0.00           0.00           0.000          0.000          0.000          2.449          0.081          0.000        223.291          100.1          1.608          1.000          3.240          0.000         90.971          0.287          1.606
     04/06/1983              23          4.270           70.6          13.95           7.06           6.91           6.05           0.98           0.00           0.00           0.17           0.06           0.15           0.02           0.00           0.00           0.000          0.000          0.000          2.607          0.092          0.001        219.227          103.3          1.635          1.000          3.208          0.000        103.545          0.575          1.698
     05/06/1983              24          4.340           86.4          17.06           8.64           8.47           7.43           1.16           0.00           0.00           0.20           0.08           0.17           0.03           0.00           0.00           0.000          0.000          0.000          2.789          0.106          0.001        218.079          106.6          1.638          1.000          3.197          0.000        119.424          0.882          2.760
     06/06/1983              25          4.392          103.6          20.47          10.36          10.18           8.92           1.37           0.00           0.00           0.24           0.09           0.20           0.03           0.00           0.00           0.000          0.000          0.000          2.983          0.123          0.001        217.174          109.7          1.629          1.000          3.188          0.000        138.360          1.111          3.247
     07/06/1983              26          4.455          131.1          25.93          13.11          12.91          10.67           2.36           0.00           0.00           0.29           0.12           0.23           0.06           0.00           0.00           0.000          0.000          0.000          3.127          0.137          0.001        213.747          112.6          1.671          1.000          3.161          0.000        153.932          1.388          3.845
     08/06/1983              27          4.525          158.3          31.33          15.83          15.60          12.95           2.78           0.00           0.00           0.34           0.15           0.26           0.08           0.00           0.00           0.000          0.000          0.000          3.302          0.155          0.002        211.749          115.5          1.683          1.000          3.146          0.000        174.320          1.696          6.616
     09/06/1983              28          4.601          183.6          36.33          18.36          18.10          15.04           3.19           0.00           0.00           0.39           0.17           0.30           0.09           0.00           0.00           0.000          0.000          0.000          3.496          0.177          0.002        210.043          118.4          1.679          1.000          3.134          0.000        199.272          2.030          7.797
     10/06/1983              29          4.690          218.8          43.31          21.88          21.59          17.89           3.84           0.00           0.00           0.46           0.21           0.34           0.11           0.00           0.00           0.000          0.000          0.000          3.707          0.204          0.002        208.570          121.1          1.682          1.000          3.123          0.000        229.032          2.418          8.974
     11/06/1983              30          4.778          256.9          50.84          25.69          25.35          20.90           4.60           0.00           0.00           0.54           0.24           0.40           0.13           0.00           0.00           0.000          0.000          0.000          3.951          0.238          0.002        206.962          123.5          1.677          1.000          3.113          0.000        267.532          2.806         10.774
