ApsimVersion = 7.10 r0
Title = Sorghum_WaterStress
           Date            Das          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT           SPLA     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)         RLV(8)         RLV(9)        RLV(10)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) RootProportion(8) RootProportion(9) RootProportion(10) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)  sw_deficit(8)  sw_deficit(9) sw_deficit(10)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)   sw_uptake(8)   sw_uptake(9)  sw_uptake(10)     n_sd_ratio     no3_demand
   (dd/mm/yyyy)         (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)           (m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)              (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)
     18/01/1997              9          3.312           21.5           3.30           2.15           1.15           1.15           1.00           0.00           0.00           0.06           0.08           0.02           0.02           0.04           0.00           0.00           0.000          0.000          0.000          0.000          1.663          0.016          0.000         41.752          103.1          1.338          1.000          3.173         15.545          0.000           0.11          0.929          0.043           0.05          0.007           0.00           0.01           0.00           0.00           0.00            0.01          0.000         10.250          0.000           0.01           0.00           0.00           0.01           0.00           0.00          0.033          0.046          0.091          0.000          0.000          0.000          0.000          0.000          0.000          0.000        246.000             0.963             0.780             0.096             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.002           0.01           0.01           0.05          0.002         15.853          3.402         24.370         31.922         32.299         19.200          7.000          0.000          0.000          0.000        246.000            9.1            4.9            5.2            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.261          0.386          0.338          0.300          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.001          0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.501           0.02
     19/01/1997             10          3.414           23.4           3.67           2.34           1.33           1.33           1.00           0.00           0.00           0.07           0.09           0.02           0.03           0.04           0.00           0.00           0.000          0.000          0.000          0.000          1.913          0.022          0.000         40.685          103.0          1.290          1.000          3.162         22.311          0.000           0.37          1.065          0.149           0.18          0.007           0.00           0.01           0.00           0.00           0.00            0.01          0.000         10.200          0.000           0.01           0.00           0.00           0.01           0.00           0.00          0.023          0.041          0.081          0.000          0.000          0.000          0.000          0.000          0.000          0.000        273.000             1.000             0.912             0.199             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.025           0.01           0.01           0.06          0.025         16.662          3.723         24.304         31.911         32.290         19.200          7.000          0.000          0.000          0.000        273.000            9.2            4.7            5.2            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.253          0.383          0.338          0.300          0.269          0.304          0.335          0.330          0.320          0.330          0.004          0.020          0.001         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.513           0.02
     20/01/1997             11          3.499           26.0           4.20           2.60           1.59           1.59           1.01           0.00           0.00           0.08           0.10           0.02           0.04           0.04           0.00           0.00           0.000          0.000          0.000          0.000          2.162          0.030          0.000         39.647          102.9          1.261          1.000          3.152         30.275          0.000           0.53          1.200          0.222           0.27          0.008           0.00           0.01           0.00           0.00           0.00            0.01          0.000          8.500          0.000           0.01           0.00           0.00           0.01           0.00           0.00          0.015          0.037          0.073          0.000          0.000          0.000          0.000          0.000          0.000          0.000        300.000             1.000             1.000             0.332             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.045           0.01           0.01           0.07          0.045         17.438          4.042         24.247         31.899         32.281         19.200          7.000          0.000          0.000          0.000        300.000            9.2            4.6            5.1            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.246          0.379          0.339          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.005          0.037          0.003         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.518           0.02
     21/01/1997             12          3.611           29.3           4.85           2.93           1.92           1.91           1.02           0.00           0.00           0.09           0.11           0.02           0.05           0.04           0.00           0.00           0.000          0.000          0.000          0.000          2.369          0.038          0.000         38.646          102.8          1.263          1.000          3.141         37.879          0.000           0.65          1.326          0.265           0.33          0.008           0.00           0.01           0.00           0.00           0.00            0.01          0.000         11.150          0.000           0.02           0.00           0.00           0.02           0.00           0.00          0.008          0.033          0.067          0.000          0.000          0.000          0.000          0.000          0.000          0.000        327.000             1.000             1.000             0.492             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.053           0.01           0.01           0.08          0.053         18.184          4.358         24.201         31.888         32.271         19.200          7.000          0.000          0.000          0.000        327.000            9.2            4.5            5.1            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.238          0.376          0.339          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.003          0.042          0.007         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.519           0.02
     22/01/1997             13          3.701           34.5           5.88           3.45           2.43           2.42           1.04           0.00           0.00           0.11           0.13           0.02           0.06           0.04           0.00           0.00           0.000          0.000          0.000          0.000          2.641          0.050          0.000         37.625          102.6          1.244          1.000          3.131         49.740          0.000           1.04          1.422          0.421           0.52          0.012           0.00           0.01           0.00           0.00           0.00            0.01          0.000          9.000          0.000           0.02           0.00           0.00           0.02           0.00           0.00          0.003          0.031          0.061          0.000          0.000          0.000          0.000          0.000          0.000          0.000        354.000             1.000             1.000             0.679             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.110           0.01           0.01           0.09          0.110         18.901          4.661         24.166         31.876         32.262         19.200          7.000          0.000          0.000          0.000        354.000            9.2            4.4            5.1            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.231          0.373          0.339          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.003          0.080          0.027         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.524           0.03
     23/01/1997             14          3.807           41.8           7.34           4.18           3.16           3.12           1.07           0.00           0.00           0.12           0.14           0.02           0.08           0.04           0.00           0.00           0.000          0.000          0.000          0.000          2.860          0.061          0.000         36.743          102.5          1.276          1.000          3.120         60.703          0.000           1.46          1.603          0.591           0.73          0.011           0.00           0.02           0.00           0.00           0.00            0.02          0.000         10.650          0.000           0.03           0.00           0.00           0.03           0.00           0.00          0.000          0.028          0.056          0.000          0.000          0.000          0.000          0.000          0.000          0.000        381.000             1.000             1.000             0.892             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.193           0.02           0.02           0.11          0.193         19.589          4.988         24.158         31.864         32.253         19.200          7.000          0.000          0.000          0.000        381.000            9.3            4.2            5.0            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.224          0.369          0.339          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.122          0.072         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.534           0.03
     24/01/1997             15          3.921           49.5           8.87           4.95           3.92           3.85           1.10           0.00           0.00           0.14           0.16           0.02           0.10           0.04           0.00           0.00           0.000          0.000          0.000          0.000          3.120          0.076          0.000         36.368          102.2          1.272          1.000          3.110         75.855          0.000           1.54          1.899          0.624           0.77          0.015           0.00           0.02           0.00           0.00           0.00            0.02          0.000         11.391          0.000           0.03           0.00           0.00           0.03           0.00           0.00          0.000          0.026          0.052          0.000          0.000          0.000          0.000          0.000          0.000          0.000        408.000             1.000             1.000             1.000             0.009             0.000             0.000             0.000             0.000             0.000              0.000          0.185           0.02           0.02           0.13          0.185         20.246          5.349         24.201         31.853         32.244         19.200          7.000          0.000          0.000          0.000        408.000            9.3            4.1            4.9            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.218          0.366          0.339          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.096          0.089         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.524           0.04
     25/01/1997             16          4.000           57.3          10.42           5.73           4.69           4.58           1.14           0.00           0.00           0.16           0.18           0.02           0.12           0.04           0.00           0.00           0.000          0.000          0.000          0.000          3.398          0.095          0.000         36.052          102.0          1.265          1.000          3.101         94.868          0.000           1.55          2.090          0.628           0.78          0.019           0.00           0.02           0.00           0.00           0.00            0.02          0.000         12.350          0.000           0.04           0.00           0.00           0.04           0.00           0.00          0.000          0.025          0.049          0.032          0.000          0.000          0.000          0.000          0.000          0.000        425.503             1.000             1.000             1.000             0.053             0.000             0.000             0.000             0.000             0.000              0.000          0.128           0.02           0.02           0.15          0.128         20.877          5.676         24.268         31.842         32.234         19.200          7.000          0.000          0.000          0.000        425.503            9.3            3.9            4.8            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.211          0.363          0.338          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.059          0.069          0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.513           0.05
     26/01/1997             17          4.087           62.3          11.42           6.23           5.19           5.06           1.18           0.00           0.00           0.19           0.21           0.02           0.15           0.04           0.00           0.00           0.000          0.000          0.000          0.000          3.699          0.116          0.000         35.794          101.7          1.269          1.000          3.092        116.171          0.000           1.01          2.069          0.410           0.51          0.021           0.00           0.03           0.00           0.00           0.00            0.03          0.000         11.500          0.000           0.05           0.00           0.00           0.05           0.00           0.00          0.000          0.024          0.047          0.031          0.000          0.000          0.000          0.000          0.000          0.000        443.037             1.000             1.000             1.000             0.117             0.000             0.000             0.000             0.000             0.000              0.000          0.070           0.03           0.03           0.18          0.070         21.484          5.961         24.320         31.831         32.225         19.200          7.000          0.000          0.000          0.000        443.037            9.3            3.7            4.7            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.205          0.360          0.338          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.032          0.038          0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.506           0.05
     27/01/1997             18          4.149           73.0          13.54           7.30           6.24           6.04           1.26           0.00           0.00           0.22           0.24           0.02           0.18           0.04           0.00           0.00           0.000          0.000          0.000          0.000          3.980          0.142          0.000         35.452          101.4          1.239          1.000          3.083        142.456          0.000           2.13          2.058          0.863           1.07          0.026           0.00           0.03           0.00           0.00           0.00            0.03          0.000         11.250          0.000           0.06           0.00           0.00           0.06           0.00           0.00          0.000          0.023          0.045          0.029          0.000          0.000          0.000          0.000          0.000          0.000        460.602             1.000             1.000             1.000             0.199             0.000             0.000             0.000             0.000             0.000              0.000          0.154           0.03           0.03           0.21          0.154         22.068          6.214         24.345         31.820         32.216         19.200          7.000          0.000          0.000          0.000        460.602            9.4            3.5            4.6            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.199          0.357          0.338          0.301          0.269          0.304          0.335          0.330          0.320          0.330          0.000          0.069          0.084          0.001         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.440           0.07
