ApsimVersion = 7.10 r0
Title = Sorghum_WaterStress
           Date            Das          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT           SPLA     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)         RLV(8)         RLV(9)        RLV(10)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) RootProportion(8) RootProportion(9) RootProportion(10) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)  sw_deficit(8)  sw_deficit(9) sw_deficit(10)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)   sw_uptake(8)   sw_uptake(9)  sw_uptake(10)     n_sd_ratio     no3_demand
   (dd/mm/yyyy)         (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)           (m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)              (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)
     23/02/1997             45          5.372         1306.9         191.83         130.69          66.30          86.65          29.32           9.56           0.00           3.21           3.23           0.12           2.72           0.33           0.05           0.00           0.000          0.000          0.000          0.000         10.498          1.903          0.148         70.309          129.9          1.431          1.000          3.324       2051.787        148.343          20.96          5.193         12.656          15.76          0.139           0.01           0.19           0.03           0.01           0.00            0.19          0.000         12.784        148.343           6.86           0.10           0.00           1.70           5.16           0.10          0.016          0.016          0.032          0.032          0.003          0.000          0.000          0.000          0.000          0.000        626.068             1.000             1.000             1.000             1.000             0.066             0.000             0.000             0.000             0.000              0.000          4.522           0.23           0.23           3.30          4.522         13.981          2.398          5.370         21.270         31.751         19.200          7.000          0.000          0.000          0.000        626.068           18.0           13.3           13.1            4.0            3.2            4.5           11.6           18.5           19.3           24.4          0.277          0.386          0.422          0.349          0.271          0.304          0.335          0.330          0.320          0.330          0.330          1.036          2.135          1.020          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.448           0.52
     24/02/1997             46          5.417         1446.2         210.23         144.62          70.77          95.04          33.20          11.22           0.00           3.41           3.44           0.13           2.90           0.36           0.06           0.00           0.000          0.000          0.000          0.000         10.810          2.049          0.148         65.304          128.0          1.413          1.000          3.287       2197.192        148.343          18.53          4.778         11.193          13.93          0.145           0.01           0.17           0.03           0.00           0.00            0.17          0.000         13.554        148.343           6.99           0.10           0.00           1.83           5.16           0.10          0.013          0.016          0.032          0.032          0.003          0.000          0.000          0.000          0.000          0.000        628.337             1.000             1.000             1.000             1.000             0.075             0.000             0.000             0.000             0.000              0.000          3.636           0.21           0.21           3.51          3.636         15.447          3.540          7.739         22.214         31.719         19.200          7.000          0.000          0.000          0.000        628.337           17.9           12.4           12.3            3.9            3.2            4.5           11.6           18.5           19.3           24.4          0.263          0.376          0.413          0.345          0.271          0.304          0.335          0.330          0.320          0.330          0.211          0.845          1.740          0.841          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.360           0.59
     25/02/1997             47          5.466         1557.6         224.90         155.76          74.30         101.59          36.42          12.60           0.00           3.60           3.64           0.13           3.06           0.38           0.06           0.00           0.000          0.000          0.000          0.000         11.141          2.200          0.148         62.417          126.1          1.392          1.000          3.265       2348.212        148.343          14.81          4.434          8.950          11.14          0.151           0.01           0.17           0.02           0.00           0.00            0.17          0.000         14.888        148.343           7.13           0.10           0.00           1.98           5.16           0.10          0.009          0.016          0.032          0.032          0.003          0.000          0.000          0.000          0.000          0.000        630.703             1.000             1.000             1.000             1.000             0.085             0.000             0.000             0.000             0.000              0.000          1.626           0.20           0.20           3.71          1.626         16.719          4.479          9.674         22.995         31.690         19.200          7.000          0.000          0.000          0.000        630.703           17.8           11.6           11.5            3.8            3.2            4.5           11.6           18.5           19.3           24.4          0.252          0.371          0.408          0.343          0.272          0.304          0.335          0.330          0.320          0.330          0.069          0.383          0.789          0.385          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.298           0.66
     26/02/1997             48          5.511         1681.3         240.61         168.13          78.23         108.08          40.11          14.18           0.00           3.76           3.79           0.14           3.18           0.41           0.06           0.00           0.000          0.000          0.000          0.000         11.504          2.347          0.161         59.199          124.6          1.354          1.000          3.242       2508.689        161.271          16.45          4.259          9.948          12.37          0.160           0.00           0.16           0.03           0.00           0.00            0.16          0.013         13.853        161.271           7.88           0.12           0.00           2.12           5.75           0.12          0.006          0.016          0.032          0.032          0.003          0.000          0.000          0.000          0.000          0.000        633.162             1.000             1.000             1.000             1.000             0.095             0.000             0.000             0.000             0.000              0.000          2.378           0.16           0.16           3.87          2.378         17.443          4.949         10.641         23.328         31.662         19.200          7.000          0.000          0.000          0.000        633.162           17.8           10.9           10.8            3.6            3.3            4.5           11.6           18.5           19.3           24.4          0.245          0.365          0.401          0.340          0.272          0.304          0.335          0.330          0.320          0.330          0.076          0.565          1.163          0.573          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.210           0.78
     27/02/1997             49          5.549         1772.0         252.52         177.20          81.07         113.14          42.92          15.39           0.00           3.92           3.95           0.14           3.32           0.42           0.06           0.00           0.000          0.000          0.000          0.000         11.842          2.491          0.161         64.671          123.2          1.334          1.000          3.298       2652.045        161.271          12.07          4.503          7.308           9.07          0.143           0.00           0.14           0.02           0.00           0.00            0.14          0.000         11.550        161.271           8.03           0.12           0.00           2.28           5.75           0.12          0.016          0.016          0.032          0.032          0.003          0.000          0.000          0.000          0.000          0.000        635.709             1.000             1.000             1.000             1.000             0.107             0.000             0.000             0.000             0.000              0.000          0.414           0.16           0.16           4.03          0.414         11.499          5.561         11.961         23.857         31.636         19.200          7.000          0.000          0.000          0.000        635.709           17.5           10.4           10.3            3.6            3.3            4.5           11.6           18.5           19.3           24.4          0.304          0.363          0.399          0.340          0.272          0.304          0.335          0.330          0.320          0.330          0.051          0.089          0.183          0.091          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.183           0.88
     28/02/1997             50          5.585         1959.8         277.34         195.98          87.11         123.34          48.93          17.96           0.00           4.13           4.16           0.15           3.46           0.50           0.06           0.00           0.000          0.000          0.000          0.000         12.124          2.605          0.161         75.886          121.2          1.326          1.000          3.417       2766.728        161.271          24.98          5.420         15.138          18.78          0.115           0.01           0.13           0.07           0.00           0.00            0.13          0.000         10.900        161.271           8.20           0.12           0.00           2.44           5.75           0.12          0.016          0.016          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        638.343             1.000             1.000             1.000             1.000             0.119             0.000             0.000             0.000             0.000              0.000          2.327           0.22           0.22           4.25          2.327         -0.127          3.744         12.253         23.907         31.610         19.200          7.000          0.000          0.000          0.000        638.343           15.8           10.6            9.8            3.5            3.3            4.5           11.6           18.5           19.3           24.4          0.415          0.378          0.395          0.338          0.272          0.304          0.335          0.330          0.320          0.330          0.587          0.471          0.846          0.424          0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.215           1.01
     01/03/1997             51          5.621         2160.5         303.86         216.05          93.56         134.00          55.52          20.78           0.00           4.31           4.35           0.16           3.58           0.55           0.07           0.00           0.000          0.000          0.000          0.000         12.389          2.709          0.161         69.602          119.5          1.321          1.000          3.367       2870.186        161.271          26.69          5.129         16.183          20.07          0.103           0.01           0.12           0.06           0.00           0.00            0.12          0.000         10.850        161.271           8.37           0.12           0.00           2.62           5.75           0.12          0.016          0.016          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        641.060             1.000             1.000             1.000             1.000             0.132             0.000             0.000             0.000             0.000              0.000          4.474           0.19           0.19           4.44          4.474          2.384          4.067         13.195         24.294         31.585         19.200          7.000          0.000          0.000          0.000        641.060           15.1           10.1            9.4            3.4            3.3            4.5           11.6           18.5           19.3           24.4          0.386          0.370          0.386          0.334          0.272          0.304          0.335          0.330          0.320          0.330          1.039          0.936          1.661          0.837          0.001         -0.000         -0.000         -0.000         -0.000         -0.000          0.176           1.08
     02/03/1997             52          5.664         2332.8         326.58         233.28          99.05         142.97          61.30          23.26           0.00           4.50           4.55           0.16           3.70           0.61           0.08           0.00           0.000          0.000          0.000          0.000         12.654          2.807          0.161         64.743          117.7          1.319          1.000          3.328       2968.072        161.271          22.91          4.708         13.894          17.23          0.098           0.01           0.12           0.05           0.01           0.00            0.12          0.000         12.900        161.271           8.56           0.12           0.00           2.80           5.75           0.12          0.016          0.016          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        643.851             1.000             1.000             1.000             1.000             0.146             0.000             0.000             0.000             0.000              0.000          3.325           0.19           0.19           4.63          3.325          4.966          4.964         14.937         25.102         31.563         19.200          7.000          0.000          0.000          0.000        643.851           14.4            9.6            9.0            3.3            3.3            4.5           11.6           18.5           19.3           24.4          0.363          0.363          0.379          0.331          0.272          0.304          0.335          0.330          0.320          0.330          0.714          0.714          1.259          0.638          0.001         -0.000         -0.000         -0.000         -0.000         -0.000          0.170           1.15
     03/03/1997             53          5.705         2523.8         351.78         252.38         105.16         152.71          67.85          26.07           0.00           4.66           4.71           0.17           3.81           0.65           0.08           0.00           0.000          0.000          0.000          0.000         12.969          2.895          0.161         58.596          116.3          1.314          0.913          3.279       3056.483        161.271          25.39          4.348         16.865          19.09          0.088           0.01           0.10           0.05           0.01           0.00            0.10          0.000         12.657        161.271           8.75           0.12           0.01           3.00           5.75           0.12          0.016          0.016          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        646.710             1.000             1.000             1.000             1.000             0.161             0.000             0.000             0.000             0.000              0.000          4.348           0.16           0.16           4.80          4.761          7.430          5.699         16.268         25.717         31.542         19.200          7.000          0.000          0.000          0.000        646.710           13.9            9.1            8.6            3.2            3.3            4.5           11.6           18.5           19.3           24.4          0.337          0.353          0.370          0.327          0.272          0.304          0.335          0.330          0.320          0.330          0.838          0.959          1.689          0.860          0.002         -0.000         -0.000         -0.000         -0.000         -0.000          0.135           1.21
     04/03/1997             54          5.750         2705.9         375.79         270.59         110.96         161.77          74.25          28.81           0.00           4.80           4.86           0.17           3.89           0.70           0.09           0.00           0.000          0.000          0.000          0.000         13.277          2.974          0.161         52.950          115.1          1.309          0.892          3.235       3134.926        161.271          24.22          3.922         16.462          18.21          0.078           0.01           0.09           0.05           0.01           0.00            0.09          0.000         13.455        161.271           8.96           0.12           0.01           3.21           5.75           0.12          0.015          0.015          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        649.628             1.000             1.000             1.000             1.000             0.177             0.000             0.000             0.000             0.000              0.000          3.922           0.15           0.15           4.94          4.394          9.918          6.706         18.020         26.560         31.525         19.200          7.000          0.000          0.000          0.000        649.628           13.5            8.7            8.2            3.1            3.3            4.5           11.6           18.5           19.3           24.4          0.314          0.344          0.362          0.323          0.272          0.304          0.335          0.330          0.320          0.330          0.664          0.889          1.567          0.801          0.002         -0.000         -0.000         -0.000         -0.000         -0.000          0.113           1.28
     05/03/1997             55          5.787         2800.7         388.18         280.07         113.86         166.38          77.66          30.27           0.00           4.90           4.96           0.18           3.99           0.71           0.09           0.00           0.000          0.000          0.000          0.000         13.606          3.070          0.161         50.902          114.3          1.299          1.000          3.219       3231.261        161.271          12.61          3.595          7.652           9.48          0.096           0.00           0.10           0.02           0.00           0.00            0.10          0.000         11.400        161.271           9.19           0.12           0.01           3.43           5.75           0.12          0.015          0.015          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        652.598             1.000             1.000             1.000             1.000             0.193             0.000             0.000             0.000             0.000              0.000          1.313           0.11           0.11           5.05          1.313         11.247          7.639         19.641         27.348         31.509         19.200          7.000          0.000          0.000          0.000        652.598           13.4            8.3            8.0            3.1            3.3            4.5           11.6           18.5           19.3           24.4          0.305          0.341          0.359          0.322          0.272          0.304          0.335          0.330          0.320          0.330          0.208          0.301          0.531          0.272          0.001         -0.000         -0.000         -0.000         -0.000         -0.000          0.080           1.34
     06/03/1997             56          5.828         2905.8         399.91         290.58         117.10         169.34          81.53          31.93           0.00           5.01           5.03           0.18           4.01           0.74           0.10           0.00           0.000          0.000          0.000          0.000         14.176          3.173          0.199         50.397          113.4          1.264          1.000          3.217       3371.719        199.143          13.98          3.544          8.485          10.51          0.140           0.00           0.14           0.04           0.00           0.00            0.14          0.038         12.500        199.143          11.44           0.17           0.01           3.66           7.77           0.16          0.015          0.015          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        655.621             1.000             1.000             1.000             1.000             0.210             0.000             0.000             0.000             0.000              0.000          1.105           0.11           0.11           5.16          1.105         10.802          7.970         20.224         27.609         31.493         19.200          7.000          0.000          0.000          0.000        655.621           13.1            8.0            7.7            3.0            3.3            4.5           11.6           18.5           19.3           24.4          0.310          0.338          0.357          0.321          0.273          0.304          0.335          0.330          0.320          0.330          0.188          0.250          0.440          0.227          0.001         -0.000         -0.000         -0.000         -0.000         -0.000          0.076           1.51
     07/03/1997             57          5.865         3012.4         412.04         301.24         120.39         172.36          85.61          33.68           0.00           5.10           5.08           0.19           4.03           0.77           0.10           0.00           0.000          0.000          0.000          0.000         14.801          3.261          0.233         48.986          112.6          1.235          1.000          3.206       3494.900        233.445          14.18          3.441          8.627          10.66          0.123           0.00           0.12           0.03           0.01           0.00            0.12          0.034         11.050        233.445          13.48           0.21           0.01           3.90           9.59           0.20          0.015          0.015          0.031          0.031          0.003          0.000          0.000          0.000          0.000          0.000        658.695             1.000             1.000             1.000             1.000             0.228             0.000             0.000             0.000             0.000              0.000          1.053           0.09           0.09           5.26          1.053         11.293          8.250         20.714         27.826         31.478         19.200          7.000          0.000          0.000          0.000        658.695           12.9            7.7            7.5            3.0            3.3            4.5           11.6           18.5           19.3           24.4          0.305          0.335          0.354          0.320          0.273          0.304          0.335          0.330          0.320          0.330          0.174          0.239          0.422          0.218          0.001         -0.000         -0.000         -0.000         -0.000         -0.000          0.058           1.64
     08/03/1997             58          5.898         3201.1         434.50         320.11         126.37         178.12          93.11          36.89           0.00           5.17           5.10           0.19           3.98           0.82           0.11           0.00           0.000          0.000          0.000          0.000         15.353          3.304          0.278         45.481          112.1          1.205          1.000          3.178       3581.856        277.827          25.10          3.278         15.303          18.87          0.087           0.00           0.09           0.06           0.01           0.00            0.09          0.044         10.000        277.827          16.12           0.26           0.01           4.14          11.98           0.26          0.015          0.015          0.030          0.030          0.004          0.000          0.000          0.000          0.000          0.000        661.819             1.000             1.000             1.000             1.000             0.247             0.000             0.000             0.000             0.000              0.000          2.229           0.08           0.08           5.34          2.229         12.677          8.532         21.184         28.036         31.463         19.200          7.000          0.000          0.000          0.000        661.819           12.8            7.5            7.3            2.9            3.3            4.5           11.6           18.5           19.3           24.4          0.290          0.330          0.350          0.317          0.273          0.304          0.335          0.330          0.320          0.330          0.320          0.517          0.915          0.474          0.003         -0.000         -0.000         -0.000         -0.000         -0.000          0.043           1.80
     09/03/1997             59          5.927         3390.4         457.09         339.04         132.37         183.62         100.88          40.22           0.00           5.23           5.11           0.19           3.92           0.88           0.12           0.00           0.000          0.000          0.000          0.000         15.853          3.330          0.320         41.810          111.6          1.177          1.000          3.149       3650.209        320.381          25.19          3.035         15.399          18.94          0.068           0.00           0.07           0.06           0.01           0.00            0.07          0.043          8.900        320.381          18.72           0.31           0.01           4.39          14.33           0.31          0.015          0.015          0.030          0.030          0.004          0.000          0.000          0.000          0.000          0.000        664.984             1.000             1.000             1.000             1.000             0.267             0.000             0.000             0.000             0.000              0.000          2.436           0.06           0.06           5.40          2.436         14.162          9.096         22.142         28.503         31.450         19.200          7.000          0.000          0.000          0.000        664.984           12.7            7.3            7.1            2.9            3.3            4.5           11.6           18.5           19.3           24.4          0.275          0.323          0.344          0.315          0.273          0.304          0.335          0.330          0.320          0.330          0.294          0.579          1.026          0.534          0.003         -0.000         -0.000         -0.000         -0.000         -0.000          0.030           1.96
     10/03/1997             60          5.959         3552.9         476.33         355.29         137.47         187.99         107.72          43.15           0.00           5.29           5.13           0.19           3.88           0.93           0.13           0.00           0.000          0.000          0.000          0.000         16.298          3.355          0.358         39.614          111.2          1.155          1.000          3.133       3713.356        357.921          21.61          2.819         13.249          16.24          0.063           0.00           0.06           0.05           0.01           0.00            0.06          0.038          9.750        357.921          21.08           0.36           0.01           4.65          16.43           0.35          0.013          0.015          0.030          0.028          0.004          0.000          0.000          0.000          0.000          0.000        668.183             1.000             1.000             1.000             1.000             0.287             0.000             0.000             0.000             0.000              0.000          1.539           0.06           0.06           5.45          1.539         15.050          9.718         23.208         29.031         31.440         19.200          7.000          0.000          0.000          0.000        668.183           12.7            7.1            7.0            2.9            3.3            4.5           11.6           18.5           19.3           24.4          0.268          0.319          0.341          0.313          0.273          0.304          0.335          0.330          0.320          0.330          0.166          0.370          0.657          0.343          0.003         -0.000         -0.000         -0.000         -0.000         -0.000          0.028           2.10
     11/03/1997             61          5.988         3715.5         495.16         371.55         142.56         191.75         114.71          46.15           0.00           5.33           5.12           0.19           3.81           0.98           0.14           0.00           0.000          0.000          0.000          0.000         16.786          3.377          0.402         36.459          110.8          1.129          1.000          3.108       3779.360        402.203          21.62          2.638         13.297          16.26          0.066           0.00           0.06           0.05           0.01           0.00            0.06          0.044          8.800        402.203          23.87           0.41           0.01           4.93          18.94           0.40          0.010          0.015          0.030          0.027          0.004          0.000          0.000          0.000          0.000          0.000        671.417             1.000             1.000             1.000             1.000             0.309             0.000             0.000             0.000             0.000              0.000          2.120           0.05           0.05           5.50          2.120         16.186         10.132         23.903         29.370         31.430         19.200          7.000          0.000          0.000          0.000        671.417           12.6            7.0            6.8            2.8            3.3            4.5           11.6           18.5           19.3           24.4          0.256          0.313          0.336          0.311          0.273          0.304          0.335          0.330          0.320          0.330          0.181          0.521          0.928          0.485          0.005         -0.000         -0.000         -0.000         -0.000         -0.000          0.021           2.25
     12/03/1997             62          6.000         3887.0         517.01         388.70         147.93         196.34         123.03          49.72           0.00           5.37           5.15           0.20           3.79           1.01           0.15           0.00           0.000          0.000          0.000          0.000         17.102          3.398          0.414         33.412          110.5          1.117          1.000          3.086       3812.081        413.806          22.81          2.442         14.079          17.15          0.033           0.00           0.02           0.07           0.01           0.00            0.02          0.012          9.250        413.806          24.83           0.42           0.01           5.22          19.61           0.41          0.007          0.015          0.030          0.026          0.004          0.000          0.000          0.000          0.000          0.000        674.675             1.000             1.000             1.000             1.000             0.331             0.000             0.000             0.000             0.000              0.000          2.357           0.04           0.04           5.54          2.357         16.997         10.693         24.866         29.852         31.422         19.200          7.000          0.000          0.000          0.000        674.675           12.6            6.8            6.7            2.8            3.3            4.5           11.6           18.5           19.3           24.4          0.248          0.307          0.330          0.308          0.273          0.304          0.335          0.330          0.320          0.330          0.162          0.588          1.049          0.550          0.006         -0.000         -0.000         -0.000         -0.000         -0.000          0.038           1.13
     13/03/1997             63          6.085         4001.3         530.42         400.13         151.41         194.84         131.03          53.14           0.00           5.40           5.16           0.20           3.72           1.07           0.16           0.00           0.000          0.000          0.000          0.000         17.102          3.372          0.440         29.859          110.2          1.104          0.527          3.058       3812.081        439.783          15.20          2.181         17.836          11.43          0.000           0.00           0.00           0.06           0.01           0.00            0.00          0.026          8.800        439.783          26.62           0.45           0.01           5.51          21.11           0.44          0.003          0.015          0.030          0.024          0.004          0.000          0.000          0.000          0.000          0.000        677.950             1.000             1.000             1.000             1.000             0.353             0.000             0.000             0.000             0.000              0.000          2.181           0.03           0.03           5.58          4.137         18.474         11.321         25.947         30.401         31.418         19.200          7.000          0.000          0.000          0.000        677.950           12.6            6.7            6.6            2.8            3.3            4.5           11.6           18.5           19.3           24.4          0.235          0.301          0.325          0.305          0.273          0.304          0.335          0.330          0.320          0.330          0.065          0.566          1.012          0.532          0.007         -0.000         -0.000         -0.000         -0.000         -0.000          0.028           1.19
     14/03/1997             64          6.139         4107.2         543.57         410.72         154.60         194.21         138.44          56.32           0.00           5.43           5.17           0.20           3.69           1.11           0.17           0.00           0.000          0.000          0.000          0.000         17.102          3.361          0.451         26.975          110.0          1.099          0.491          3.032       3812.081        450.743          14.09          1.965         17.772          10.59          0.000           0.00           0.00           0.03           0.01           0.00            0.00          0.011          9.300        450.743          27.56           0.46           0.01           5.81          21.75           0.46          0.000          0.015          0.030          0.022          0.004          0.000          0.000          0.000          0.000          0.000        681.234             1.000             1.000             1.000             1.000             0.376             0.000             0.000             0.000             0.000              0.000          1.965           0.03           0.03           5.60          3.999         19.864         11.925         26.988         30.932         31.415         19.200          7.000          0.000          0.000          0.000        681.234           12.6            6.6            6.5            2.7            3.3            4.5           11.6           18.5           19.3           24.4          0.221          0.296          0.320          0.303          0.273          0.304          0.335          0.330          0.320          0.330          0.000          0.523          0.939          0.495          0.008         -0.000         -0.000         -0.000         -0.000         -0.000          0.023           1.26
     15/03/1997             65          6.202         4188.9         554.12         418.89         156.98         194.21         144.16          58.77           0.00           5.45           5.20           0.20           3.69           1.13           0.18           0.00           0.000          0.000          0.000          0.000         17.102          3.361          0.451         25.091          109.7          1.099          0.380          3.006       3812.081        450.743          10.86          1.824         17.744           8.16          0.000           0.00           0.00           0.02           0.01           0.00            0.00          0.000         10.650        450.743          27.87           0.46           0.01           6.12          21.75           0.46          0.000          0.015          0.029          0.020          0.004          0.000          0.000          0.000          0.000          0.000        684.522             1.000             1.000             1.000             1.000             0.400             0.000             0.000             0.000             0.000              0.000          1.824           0.03           0.03           5.63          4.804         21.229         12.492         27.953         31.427         31.414         19.200          7.000          0.000          0.000          0.000        684.522           12.6            6.4            6.4            2.7            3.3            4.5           11.6           18.5           19.3           24.4          0.208          0.290          0.316          0.301          0.273          0.304          0.335          0.330          0.320          0.330          0.000          0.484          0.871          0.460          0.009         -0.000         -0.000         -0.000         -0.000         -0.000          0.023           1.31
     16/03/1997             66          6.259         4264.2         563.83         426.42         159.16         194.21         149.43          61.03           0.00           5.48           5.23           0.21           3.69           1.14           0.19           0.00           0.000          0.000          0.000          0.000         17.102          3.361          0.451         23.335          109.5          1.099          0.382          2.983       3812.081        450.743          10.02          1.693         16.265           7.53          0.000           0.00           0.00           0.01           0.01           0.00            0.00          0.000          9.717        450.743          28.18           0.47           0.01           6.44          21.75           0.46          0.000          0.015          0.029          0.019          0.004          0.000          0.000          0.000          0.000          0.000        687.807             1.000             1.000             1.000             1.000             0.425             0.000             0.000             0.000             0.000              0.000          1.693           0.02           0.02           5.66          4.429         22.467         13.022         28.848         31.888         31.414         19.200          7.000          0.000          0.000          0.000        687.807           12.7            6.3            6.3            2.7            3.3            4.5           11.6           18.5           19.3           24.4          0.195          0.285          0.312          0.298          0.273          0.304          0.335          0.330          0.320          0.330          0.000          0.446          0.809          0.428          0.010         -0.000         -0.000         -0.000         -0.000         -0.000          0.019           1.35
     17/03/1997             67          6.313         4338.7         573.42         433.87         161.30         194.21         154.65          63.27           0.00           5.50           5.25           0.21           3.70           1.15           0.19           0.00           0.000          0.000          0.000          0.000         17.102          3.361          0.451         21.700          109.3          1.099          0.378          2.961       3812.081        450.743           9.91          1.571         16.265           7.45          0.000           0.00           0.00           0.01           0.01           0.00            0.00          0.000          9.119        450.743          28.50           0.47           0.01           6.76          21.75           0.46          0.000          0.015          0.029          0.017          0.004          0.000          0.000          0.000          0.000          0.000        691.085             1.000             1.000             1.000             1.000             0.449             0.000             0.000             0.000             0.000              0.000          1.571           0.02           0.02           5.68          4.158         23.624         13.517         29.679         32.317         31.417         19.200          7.000          0.000          0.000          0.000        691.085           12.7            6.2            6.2            2.7            3.3            4.5           11.6           18.5           19.3           24.4          0.184          0.281          0.308          0.296          0.273          0.304          0.335          0.330          0.320          0.330          0.000          0.412          0.750          0.398          0.011         -0.000         -0.000         -0.000         -0.000         -0.000          0.015           1.39
     18/03/1997             68          6.362         4402.4         581.57         440.24         163.08         194.21         159.11          65.18           0.00           5.51           5.27           0.21           3.70           1.16           0.20           0.00           0.000          0.000          0.000          0.000         17.102          3.361          0.451         20.176          109.2          1.100          0.323          2.941       3812.081        450.743           8.48          1.458         16.265           6.37          0.000           0.00           0.00           0.01           0.01           0.00            0.00          0.000          8.395        450.743          28.83           0.47           0.01           7.08          21.75           0.46          0.000          0.014          0.029          0.016          0.003          0.000          0.000          0.000          0.000          0.000        694.350             1.000             1.000             1.000             1.000             0.472             0.000             0.000             0.000             0.000              0.000          1.458           0.02           0.02           5.70          4.509         24.633         13.979         30.451         32.716         31.421         19.200          7.000          0.000          0.000          0.000        694.350           12.7            6.2            6.1            2.6            3.3            4.5           11.6           18.5           19.3           24.4          0.174          0.276          0.304          0.295          0.273          0.304          0.335          0.330          0.320          0.330          0.000          0.379          0.696          0.370          0.012         -0.000         -0.000         -0.000         -0.000         -0.000          0.013           1.42
