"site","Lentil.SowingData.Cultivar","TOS","FloweringDAS"
"Horsham","Digger","TOS1",124
"Horsham","Digger","TOS2",113
"Horsham","Digger","TOS3",114
"Horsham","Digger","TOS4",93
"Horsham","Northfield","TOS1",134
"Horsham","Northfield","TOS2",115
"Horsham","Northfield","TOS3",113
"Horsham","Northfield","TOS4",93
"Horsham","Nugget","TOS1",127
"Horsham","Nugget","TOS2",113
"Horsham","Nugget","TOS3",114
"Horsham","Nugget","TOS4",93
"Beulah","Digger","TOS1",139
"Beulah","Digger","TOS2",102
"Beulah","Digger","TOS3",85
"Beulah","Northfield","TOS1",141
"Beulah","Northfield","TOS2",106
"Beulah","Northfield","TOS3",90
"Beulah","Nugget","TOS1",139
"Beulah","Nugget","TOS2",104
"Beulah","Nugget","TOS3",88
"Birchip","Digger","TOS1",138
"Birchip","Digger","TOS2",102
"Birchip","Digger","TOS3",82
"Birchip","Northfield","TOS1",140
"Birchip","Northfield","TOS2",103
"Birchip","Northfield","TOS3",83
"Birchip","Nugget","TOS1",139
"Birchip","Nugget","TOS2",102
"Birchip","Nugget","TOS3",84
